Name,Year
Petros Ioannou,1995
Jing Sun,1995
Neville Hogan,1984
Mina Fazel,2001
Haitham Hindi,2001
Stephen Boyd,2001
Simon Julier,2002
Wei Ren,2005
Randal W. Beard,2005
Ella M. Atkins,2005
Simon Julier,1997
Jeffrey Uhlmann,1997
Zhiqiang Gao,2003
YangQuan Chen,2009
Ivo Petras,2009
Dingyu Xue,2009
A. Mark Richards,2002
Jonathan P. How,2002
R.O. Saber,2003
Robin M. Murray,2003
Robert M. Sanner,1991
Jean-Jacques E. Slotine,1991
Emanuel Todorov,2005
Weiwei Li,2005
John Doyle,1988
Keith Glover,1988
Pramod P. Khargonekar,1988
Bruce A. Francis,1988
Maryam Fazel,2003
Haitham Hindi,2003
Stephen Boyd,2003
S. V. Bhat,1997
Dennis S. Bernstein,1997
Daniel P. Scharf,2004
Fred Y. Hadaegh,2004
Scott R. Ploen,2004
J.R. Cloutier,1997
Karl Johan Åström,1989
Lars Rundqwist,1989
Zhiqiang Gao,2006
Frauke Oldewurtel,2010
Alessandra Parisio,2010
Colin Jones,2010
Manfred Morari,2010
Dimitrios Gyalistras,2010
Markus Gwerder,2010
Vanessa J. Stauch,2010
Beat Lehmann,2010
Katharina Wirth,2010
Philippos Peleties,1991
Raymond A. DeCarlo,1991
Reza Olfati-Saber,2005
G.C. Walsh,1999
Hong Ye,1999
Linda Bushnell,1999
Michael S. Branicky,2000
Sidney F. Phillips,2000
Wei Zhang,2000
Lucy Y. Pao,2009
Kathryn Johnson,2009
Simon Julier,2002
Jeffrey Uhlmann,2002
Lorenzo Serrao,2009
Simona Onori,2009
Giorgio Rizzoni,2009
Scott A. Bortoff,2000
Arjang Hassibi,1998
Stephen Boyd,1998
Paul G. Otanez,2002
James Moyne,2002
Dawn M. Tilbury,2002
Shahab Sheikholeslam,1990
Charles A. Desoer,1990
J. Karl Hedrick,1991
D. H. McMahon,1991
V. K. Narendran,1991
D. Swaroop,1991
David W. Casbeer,2005
Randal W. Beard,2005
Timothy W. McLain,2005
Sai-Ming Li,2005
Raman K. Mehra,2005
A. Radke,2006
Zhiqiang Gao,2006
Peter Seiler,2001
Raja Sengupta,2001
John Bellingham,2002
A. Richards,2002
Jonathan P. How,2002
A. Brahma,2000
Yann Guezennec,2000
Gianfranco Rizzoni,2000
Lin Xiao,2000
Arash Hassibi,2000
Jonathan P. How,2000
Norunaluwar Jalil,1997
N.A. Kheir,1997
Mowafak D. Salman,1997
D. Swaroop,1997
J.C. Gerdes,1997
P.P. Yip,1997
J. Karl Hedrick,1997
Simon Julier,2003
Wallace E. Larimore,1983
Jr. J.J. LaViola,2003
