Name,Year
Kaiming He,2016
Xiangyu Zhang,2016
Shaoqing Ren,2016
Jian Sun,2016
Jia Deng,2009
Wei Dong,2009
Richard Socher,2009
Li-Jia Li,2009
Kai Li,2009
Li Fei-Fei,2009
Christian Szegedy,2015
Wei Liu,2015
Yangqing Jia,2015
Pierre Sermanet,2015
Scott M. Reed,2015
Dragomir Anguelov,2015
Dumitru Erhan,2015
Vincent Vanhoucke,2015
Andrew Rabinovich,2015
Navneet Dalal,2005
Bill Triggs,2005
Ross Girshick,2014
Jeff Donahue,2014
Trevor Darrell,2014
Jitendra Malik,2014
Karen Simonyan,2014
Andrew Zisserman,2014
Joseph Redmon,2016
Santosh K. Divvala,2016
Ross Girshick,2016
Ali Farhadi,2016
Christian Szegedy,2016
Vincent Vanhoucke,2016
Sergey Ioffe,2016
Jonathon Shlens,2016
Zbigniew Wojna,2016
Paul A. Viola,2001
M. Jones,2001
Phillip Isola,2017
Jun-Yan Zhu,2017
Tinghui Zhou,2017
Alexei A. Efros,2017
Joseph Redmon,2017
Ali Farhadi,2017
Andreas Geiger,2012
Philip Lenz,2012
Raquel Urtasun,2012
François Chollet,2017
Hengshuang Zhao,2017
Jianping Shi,2017
Xiaojuan Qi,2017
Xiaogang Wang,2017
Jiaya Jia,2017
Marius Cordts,2016
Mohamed M. Omran,2016
Sebastian Ramos,2016
Timo Rehfeld,2016
Markus Enzweiler,2016
Rodrigo Benenson,2016
Uwe Franke,2016
Stefan Roth,2016
Bernt Schiele,2016
Christian Ledig,2017
Lucas Theis,2017
Ferenc Huszar,2017
Jose Caballero,2017
Andrew Cunningham,2017
Alejandro Acosta,2017
Andrew Aitken,2017
Alykhan Tejani,2017
Johannes Totz,2017
Zehan Wang,2017
Wenzhe Shi,2017
Svetlana Lazebnik,2006
Cordelia Schmid,2006
J. M. Iturbe Ponce,2006
Saining Xie,2017
Ross Girshick,2017
Piotr Dollár,2017
Zhuowen Tu,2017
Kaiming He,2017
Bolei Zhou,2016
Aditya Khosla,2016
Agata Lapedriza,2016
Aude Oliva,2016
Antonio Torralba,2016
Chris Stauffer,1999
W.E.L. Grimson,1999
Joao Carreira,2017
Andrew Zisserman,2017
Yaniv Taigman,2014
Ming Yang,2014
Marc'Aurelio Ranzato,2014
Lior Wolf,2014
Andrej Karpathy,2014
George Toderici,2014
Sanketh Shetty,2014
Thomas W. Leung,2014
Rahul Sukthankar,2014
Li Fei-Fei,2014
Matthew Turk,1991
Alex Pentland,1991
Oriol Vinyals,2015
Alexander Toshev,2015
Samy Bengio,2015
Dumitru Erhan,2015
Antoni Buades,2005
Bartomeu Coll,2005
J. Morel,2005
Tero Karras,2019
Samuli Laine,2019
Timo Aila,2019
Jiwon Kim,2016
Jung Pyo Lee,2016
Kyoung Min Lee,2016
Jianbo Shi,1994
Tomasi,1994
Leon A. Gatys,2016
Alexander S. Ecker,2016
Matthias Bethge,2016
Jeff Donahue,2015
Lisa Anne Hendricks,2015
Sergio Guadarrama,2015
Marcus Rohrbach,2015
Subhashini Venugopalan,2015
Trevor Darrell,2015
Kate Saenko,2015
Rebecca L. Charles,2017
Hao Su,2017
Mo Kaichun,2017
Leonidas J. Guibas,2017
Barret Zoph,2018
Vijay K. Vasudevan,2018
Jonathon Shlens,2018
Quoc V. Le,2018
Andrej Karpathy,2015
Li Fei-Fei,2015
Wenzhe Shi,2016
Jose Caballero,2016
Ferenc Huszar,2016
Johannes Totz,2016
Andrew Aitken,2016
Rob Bishop,2016
Daniel Rueckert,2016
Zehan Wang,2016
Bee Jik Lim,2017
Sanghyun Son,2017
Heewon Kim,2017
Seungjun Nah,2017
Kyoung Min Lee,2017
Deepak Pathak,2016
Philipp Krähenbühl,2016
Jeff Donahue,2016
Trevor Darrell,2016
Alexei A. Efros,2016
Ivan Laptev,2008
Marcin Marszalek,2008
Christoph Schmid,2008
B. Rozenfeld,2008
Eric Tzeng,2017
Judy Hoffman,2017
Kate Saenko,2017
Trevor Darrell,2017
Seyed-Mohsen Moosavi-Dezfooli,2016
Alhussein Fawzi,2016
Pascal Frossard,2016
Yi Wu,2013
Jongwoo Lim,2013
Jamie Shotton,2011
Andrew Fitzgibbon,2011
Mat Cook,2011
Toby Sharp,2011
Mark J. Finocchio,2011
Richard D. Moore,2011
Alex Aben-Athar Kipman,2011
Andrew Blake,2011
Ali Sharif Razavian,2014
Hossein Azizpour,2014
Josephine Sullivan,2014
Stefan Carlsson,2014
David Nister,2006
