Name,Year
Jin-Shyan Lee,2007
Yu-Wei Su,2007
Chung-Chou Shen,2007
Pedro Rodriguez,2006
Alvaro Luna,2006
Mihai Ciobotaru,2006
Remus Teodorescu,2006
Frede Blaabjerg,2006
Stamatis Karnouskos,2011
Aleksandar Prodic,2001
Dragan Maksimovic,2001
Robert W. Erickson,2001
Leila Parsa,2005
Huai Wang,2012
Ke Ma,2012
Frede Blaabjerg,2012
Aldo Boglietti,2009
Andrea Cavagnino,2009
Alberto Tenconi,2009
Silvio Vaschetto,2009
Friedrich W. Fuchs,2003
M. Linke,2002
Ralph Kennel,2002
Joachim Holtz,2002
Mickel Bipin Budhia,2010
Grant A. Covic,2010
John T. Boys,2010
Sandeep Anand,2010
Baylon G. Fernandes,2010
Pedro Rodriguez,2008
Alvaro Luna,2008
Jose Ignacio Candela,2008
Remus Teodorescu,2008
Frede Blaabjerg,2008
Mo-Yuen Chow,2001
Y. Tipsuwan,2001
Kyle R. Anderson,2012
Mario Berges,2012
Adrian Ocneanu,2012
Diego S. Benitez,2012
Jose M. F. Moura,2012
Robert W. Erickson,2001
Osama A. Al-Naseem,2001
Ju-Won Baek,2005
Myung-Hyo Ryoo,2005
Taejin Kim,2005
Dong-Wook Yoo,2005
Jong-Soo Kim,2005
Alfredo Vagati,1994
Rui Wu,2013
Frede Blaabjerg,2013
Huai Wang,2013
Marco Liserre,2013
Francesco Iannuzzo,2013
Mario Schweizer,2010
Ignacio Lizama,2010
Thomas Friedli,2010
Johann W. Kolar,2010
F. Varela Rodriguez,2008
Emilio Bueno,2008
Mauricio Aredes,2008
Luis G. B. Rolim,2008
F. Neves,2008
Marcelo M. Cavalcanti,2008
Zhang Yan,2002
Vadim I. Utkin,2002
Bernhard Kramer,2008
Sudip Chakraborty,2008
Benjamin Kroposki,2008
Philipp Münch,2010
Daniel Gorges,2010
Michal Izak,2010
Steven Liu,2010
Diego Casadei,1994
Gabriele Grandi,1994
Giovanni Serra,1994
Angelo Tani,1994
Patrick Giroux,2001
G. Sybille,2001
Hoang Le-Huy,2001
Samir Kouro,2009
Bin Wu,2009
Alvaro Moya,2009
Elena Ferris Villanueva,2009
Pablo Correa,2009
Jose Rodriguez,2009
Kenya Yuki,1993
T. Murakami,1993
Kouhei Ohnishi,1993
Hitoshi Kubota,1990
Kouki Matsuse,1990
T. Nakano,1990
Jin Zhao,2002
Bimal K. Bose,2002
Marian P. Kazmierkowski,1994
M.A. Dzieniakowski,1994
G. Ortiz,2010
Jurgen Biela,2010
Johann W. Kolar,2010
Lee D. Hansen,2001
P.H. Madsen,2001
Frede Blaabjerg,2001
H.C. Christensen,2001
U. Lindhard,2001
K. Eskildsen,2001
Qingrui Tu,2010
Zheng Xu,2010
Jing Zhang,2010
Alexis Marcano-Cedeño,2010
J. Quintanilla-Dominguez,2010
M. G. Cortina-Januchs,2010
Diego Andina,2010
L. Malesani,1993
P. Tomasin,1993
Arman Hassanpoor,2012
Staffan Norrga,2012
Hans-Peter Nee,2012
Lennart Angquist,2012
Minyuan Guan,2011
Zheng Xu,2011
Hairong Chen,2011
Yang Qin,2008
Henry Shu-Hung Chung,2008
D. X. Lin,2008
Shu Yuen Ron Hui,2008
Xin Pei,2016
Oliver Cwikowski,2016
D.S. Vilchis-Rodriguez,2016
Mike Barnes,2016
A. M. Smith,2016
Roger Shuttleworth,2016
Stamatis Karnouskos,2011
Armando Walter Colombo,2011
D. Das,2005
R. Esmaili,2005
Lingshan Xu,2005
David A. Nichols,2005
Mohamed Benbouzid,1998
Gil D. Marques,1998
Ionut Trintis,2011
Stig Munk-Nielsen,2011
Remus Teodorescu,2011
D.M. Vilathgamuwa,1999
A.A.D. Ranjith Perera,1999
Suyong Choi,1999
King Jet Tseng,1999
Kalle Ilves,2011
Antonios Antonopoulos,2011
Lennart Harnefors,2011
Staffan Norrga,2011
Lennart Angquist,2011
Hans-Peter Nee,2011
Ruben Pena,2001
Roberto Cardenas,2001
R. Blasco,2001
Greg Asher,2001
Jon Clare,2001
Oratile Khutsoane,2017
Bassey Isong,2017
Adnan M. Abu-Mahfouz,2017
Mehrdad Ehsani,2003
Yimin Gao,2003
Kaushik Rajashekara,2003
Xu She,2012
Alex Q. Huang,2012
Xijun Ni,2012
Rolando Burgos,2012
Robin Roche,2010
Benjamin Blunier,2010
Abdellatif Miraoui,2010
Vincent Hilaire,2010
Abder Koukam,2010
Tehseen Zia,2011
Dietmar Bruckner,2011
Adeel Abbas Zaidi,2011
Carlo Cecati,2010
Geev Mokryani,2010
Antonio Piccolo,2010
Pierluigi Siano,2010
Marcelo Gradella Villalva,2009
F Ernesto Ruppert,2009
Huiqing Wen,2011
Ammar Elnosh,2011
Vinod Khadkikar,2011
Hatem H. Zeineldin,2011
