Name,Year
Andreas Stolcke,2002
Tomas Mikolov,2010
Martin Karafiat,2010
Lukas Burget,2010
Jan Cernocký,2010
Sanjeev Khudanpur,2010
Hasim Sak,2014
Andrew W. Senior,2014
Francoise Beaufays,2014
Felix Burkhardt,2005
Astrid Paeschke,2005
M. Rolfes,2005
Walter F. Sendlmeier,2005
Benjamin P. Weiss,2005
Martin Sundermeyer,2012
Ralf Schlüter,2012
Hermann Ney,2012
David Pearce,2000
Hans-Günter Hirsch,2000
Alvin F. Martin,1997
George R. Doddington,1997
Terri Kamm,1997
Mark L. Ordowski,1997
Mark A. Przybocki,1997
Daniel Garcia-Romero,2011
Carol Y. Espy-Wilson,2011
Frank Seide,2011
G. Li,2011
Dong Yu,2011
Daniel Povey,2016
Vijayaditya Peddinti,2016
Daniel Galvez,2016
Pegah Ghahremani,2016
Vimal Manohar,2016
Xingyu Na,2016
Yiming Wang,2016
Sanjeev Khudanpur,2016
Shinji Watanabe,2018
Takaaki Hori,2018
Shigeki Karita,2018
Tomoki Hayashi,2018
Jiro Nishitoba,2018
Yuya Unno,2018
Nelson Yalta,2018
Jahn Heymann,2018
Matthew Wiesner,2018
Nanxin Chen,2018
Adithya Renduchintala,2018
Tsubasa Ochiai,2018
Tom Ko,2015
Vijayaditya Peddinti,2015
Daniel Povey,2015
Sanjeev Khudanpur,2015
Björn Schuller,2009
Stefan Steidl,2009
Anton Batliner,2009
Vijayaditya Peddinti,2015
Daniel Povey,2015
Sanjeev Khudanpur,2015
Frank Seide,2014
Hao Fu,2014
Jasha Droppo,2014
G. Li,2014
Dong Yu,2014
Santiago Pascual,2017
Antonio Bonafonte,2017
Joan Serrà,2017
Bing Liu,2016
Ian R. Lane,2016
Kim E. A. Silverman,1992
Mary E. Beckman,1992
John F. Pitrelli,1992
Mari Ostendorf,1992
Colin W. Wightman,1992
Patti Price,1992
Janet B. Pierrehumbert,1992
Julia Hirschberg,1992
Takayoshi Yoshimura,1999
Keiichi Tokuda,1999
Takashi Sato,1999
Takao Kobayashi,1999
Tadashi Kitamura,1999
Steffen Schneider,2019
Alexei Baevski,2019
Ronan Collobert,2019
Michael Auli,2019
David S. Snyder,2017
Daniel Garcia-Romero,2017
Daniel Povey,2017
Sanjeev Khudanpur,2017
Anmol Gulati,2020
James Qin,2020
Chung-Cheng Chiu,2020
Niki Parmar,2020
Yu Zhang,2020
Jiahui Yu,2020
Wei Han,2020
Shi-Bo Wang,2020
Zhengdong Zhang,2020
Yonghui Wu,2020
Ruoming Pang,2020
Philip Clarkson,1997
Ron G. Rosenfeld,1997
Xugang Lu,2013
Yu Tsao,2013
Shigeki Matsuda,2013
Chiori Hori,2013
Michael McAuliffe,2017
Michaela Socolof,2017
Sarah Mihuc,2017
Michael Wagner,2017
Morgan Sonderegger,2017
Karel Veselý,2013
Arnab Ghoshal,2013
Lukas Burget,2013
Daniel Povey,2013
Akinobu Lee,2001
Tatsuya Kawahara,2001
Kiyohiro Shikano,2001
Kun Han,2014
Dong Yu,2014
Ivan Tashev,2014
Dilek Hakkani-Tur,2016
Gokhan Tur,2016
Asli Celikyilmaz,2016
Yun-Nung Chen,2016
Jianfeng Gao,2016
Li Deng,2016
Ye-Yi Wang,2016
Kåre Sjölander,2000
Jonas Beskow,2000
Nikko Strom,2015
Grégoire Mesnil,2013
Xiaodong He,2013
Li Deng,2013
Yoshua Bengio,2013
Björn Schuller,2010
Stefan Steidl,2010
Anton Batliner,2010
Felix Burkhardt,2010
Laurence Devillers,2010
Christian P. Müller,2010
Shrikanth S. Narayanan,2010
Andrew O. Hatch,2006
Sachin S. Kajarekar,2006
Andreas Stolcke,2006
Ciprian Chelba,2014
Tomas Mikolov,2014
Mike Schuster,2014
Nicholas X. Fang,2014
Thorsten Brants,2014
Phillipp Koehn,2014
Tony Robinson,2014
Marcello Federico,2008
Nicola Bertoldi,2008
Mauro Cettolo,2008
Li Deng,2010
Michael L. Seltzer,2010
