Name,Year
Wpmh Maurice Heemels,2012
Karl Henrik Johansson,2012
Paulo Tabuada,2012
Joao P. Hespanha,1999
A.S. Morse,1999
Reza Olfati-Saber,2007
Donald E. Gustafson,1978
William Kessel,1978
Naomi Ehrich Leonard,2001
E. Fiorelli,2001
J. Salisbury,1980
Keqin Gu,2000
Taeyoung Lee,2010
Melvin Leoky,2010
N. Harris McClamroch,2010
Reza Olfati-Saber,2005
Reza Olfati-Saber,2005
Jeff S. Shamma,2005
Vincent D. Blondel,2005
Julien M. Hendrickx,2005
Alex Olshevsky,2005
John N. Tsitsiklis,2005
Karl Johan Åström,2002
Bo Bernhardsson,2002
Vadim I. Utkin,1996
Jingxin Shi,1996
Juan Moreno,2008
M. R. Zapatero Osorio,2008
Dale F. Enns,1984
Luc Moreau,2004
Pascal Gahinet,1994
A. Nemirovskii,1994
A. Laub,1994
M. Chilali,1994
Aaron D. Ames,2014
Jessy W. Grizzle,2014
Paulo Tabuada,2014
John Doyle,1982
Joseph Wall,1982
Gunter Stein,1982
John Doyle,1985
Wallace E. Larimore,1990
Rafael Fierro,1995
Frank L. Lewis,1995
Reza Olfati-Saber,2009
Herbert G. Tanner,2003
Ali Jadbabaie,2003
George J. Pappas,2003
S. Prajna,2002
Antonis Papachristodoulou,2002
Pablo A. Parrilo,2002
Randy A. Freeman,2006
Peng Yang,2006
Kristina A. Lynch,2006
Herbert G. Tanner,2004
Jing Wang,2011
Nicola Elia,2011
Antonis Papachristodoulou,2002
S. Prajna,2002
Andre F. Teixeira,2010
Saurabh Amin,2010
Henrik Sandberg,2010
Karl Henrik Johansson,2010
S. Shankar Sastry,2010
Yilin Mo,2010
Emanuele Garone,2010
Alessandro Casavola,2010
Bruno Sinopoli,2010
Rong Xu,2006
Umit Ozguner,2006
Suguru Arimoto,1984
Seiji Kawamura,1984
Fumio Miyazaki,1984
Ermin Wei,2012
Asuman Ozdaglar,2012
Yuko Hatano,2004
Mehran Mesbahi,2004
Reza Olfati-Saber,2002
Robin M. Murray,2002
Pradeep K. Khosla,1985
Takeo Kanade,1985
T.J. Koo,1998
S. Shankar Sastry,1998
Herbert G. Tanner,2003
Ali Jadbabaie,2003
George J. Pappas,2003
Jaw-Town Lin,2003
A.S. Morse,2003
Brian J. Anderson,2003
Michael S. Branicky,1994
Giuseppe Oriolo,1991
Yoshihiko Nakamura,1991
A.K. Ghosh,2006
Stephen Boyd,2006
Alexander Domahidi,2012
Aldo U. Zgraggen,2012
Melanie N. Zeilinger,2012
Manfred Morari,2012
Colin Jones,2012
Henk A. P. Blom,1984
Charles E. Rohrs,1982
Lena Valavani,1982
Michael Athans,1982
Gunter Stein,1982
Sertac Karaman,2010
Emilio Frazzoli,2010
Tzyh-Jong Tarn,1984
Antal K. Bejczy,1984
Alberto Isidori,1984
Y. Chen,1984
Björn Johansson,2008
Tamas Keviczky,2008
Mikael Johansson,2008
K. E. Johansson,2008
Xiaojun Lin,2004
Ness B. Shroff,2004
J. G. Doyle,1991
Andrew Packard,1991
Kang Zhou,1991
J.O. Moody,1994
K. Yamalidou,1994
Mark T. Lemmon,1994
Panos J. Antsaklis,1994
M.C. De Gennaro,2006
Ali Jadbabaie,2006
Héctor J. Sussmann,1999
Girish Chowdhary,2010
Eric Johnson,2010
Dimitri P. Bertsekas,1995
John N. Tsitsiklis,1995
Manohar Shamaiah,2010
Siddhartha Banerjee,2010
Haris Vikalo,2010
Konstantinos I. Tsianos,2012
Sean Dean Lawlor,2012
Michael G. Rabbat,2012
Thomas Fortmann,1980
Yaakov Bar-Shalom,1980
Molly M. Scheffe,1980
K.B. Ngo,2005
Robert Mahony,2005
Zhong-Ping Jiang,2005
Fernando Paganini,2001
J. G. Doyle,2001
Steven H. Low,2001
Samad Hayati,1983
Haitham Hindi,1998
Stephen Boyd,1998
Håkan Hjalmarsson,1994
Svante Gunnarsson,1994
Michel Gevers,1994
Luiz Pimenta,2008
Vineet Kumar,2008
Renato C. Mesquita,2008
Guilherme A. S. Pereira,2008
Qing Yin Zheng,2007
Ling Gao,2007
Zhiqiang Gao,2007
Vasumathi Raman,2014
Alexandre Donzé,2014
Mehdi Maasoumy,2014
Richard M. Murray,2014
Alberto Sangiovanni-Vincentelli,2014
Sanjit A. Seshia,2014
Piyush Gupta,1998
P. Senthil Kumar,1998
M. Wicks,1994
Philippos Peleties,1994
Raymond A. DeCarlo,1994
Paul J. Werbos,1989
René Vidal,2003
Stefano Soatto,2003
Yi Ma,2003
S. Shankar Sastry,2003
R.O. Saber,2003
Robin M. Murray,2003
William A. Wolovich,1984
H. Elliott,1984
Daniel E. Koditschek,1984
C. Musardo,2005
Giorgio Rizzoni,2005
Benedetto Staccia,2005
Eduardo D. Sontag,1990
Héctor J. Sussmann,1990
Manuel Mazo,2008
Paulo Tabuada,2008
Mark W. Spong,1995
Daniel J. Block,1995
Sergey V. Drakunov,1995
Vadim I. Utkin,1995
Anouck Girard,2004
A.S. Howell,2004
J. Karl Hedrick,2004
Robin Hecht,2011
Stefan Jablonski,2011
Petros Kapasouris,1988
Michael Athans,1988
Günter Stein,1988
Torsten Koller,2018
Felix Berkenkamp,2018
Matteo Turchetta,2018
Andreas Krause,2018
Martina Althoff,2008
Olaf Stursberg,2008
Martin Buss,2008
Romeo Ortega,1988
Mark W. Spong,1988
Jinming Xu,2015
Shanying Zhu,2015
Yeng Chai Soh,2015
Lihua Xie,2015
Randal W. Beard,2003
Timothy W. McLain,2003
Y. W. Liu,1989
Brian J. Anderson,1989
Michael S. Branicky,2002
Sidney F. Phillips,2002
Wei Zhang,2002
Mark B. Milam,2000
K. Mushambi,2000
Richard M. Murray,2000
Abhishek Gupta,2010
Cedric Langbort,2010
Tamer Basar,2010
Aswin N. Venkat,2005
James B. Rawlings,2005
S. Wright,2005
Zhiqiang Gao,2001
Yi Huang,2001
Jingqing Han,2001
Emanuel Todorov,2008
Ralf Bachmayer,2002
Naomi Ehrich Leonard,2002
Xiangheng Liu,2004
Andrea Goldsmith,2004
Dimos V. Dimarogonas,2009
Karl Henrik Johansson,2009
Minyi Huang,2003
Peter E. Caines,2003
Roland P. Malhamé,2003
Robert Mahony,2005
Tarek Hamel,2005
Jean Michel Pflimlin,2005
Anthony J. Ryan,2004
Maria-Christina Zennaro,2004
A.S. Howell,2004
Raj Sengupta,2004
J. Karl Hedrick,2004
Zhongjing Ma,2010
Duncan S. Callaway,2010
Ian A. Hiskens,2010
Stefan Pettersson,1996
Bengt Lennartson,1996
John Doyle,1983
T. Madani,2006
Abdelaziz Benallegue,2006
Masoud Farivar,2013
Lin X. Chen,2013
Steven H. Low,2013
Eduardo D. Sontag,1989
A. Giridhar,2006
P. R. Kumar,2006
Gokhan Inalhan,2002
Dusan M. Stipanovic,2002
Claire J. Tomlin,2002
Daniel B. Work,2008
Olli-Pekka Tossavainen,2008
S. Blandin,2008
Alexandre M. Bayen,2008
T. Iwuchukwu,2008
K. Tracton,2008
Tansu Alpcan,2003
Tamer Basar,2003
Pierre Rouchon,1993
Michel Fliess,1993
Jean Lévine,1993
Peter G. Martin,1993
James B. Rawlings,2012
David Angeli,2012
Cuyler N. Bates,2012
Aleks Göllü,1989
Pravin Varaiya,1989
Anders Rantzer,2011
Anthony F. Hotz,1985
Robert E. Skelton,1985
R.L. Raffard,2004
Claire J. Tomlin,2004
Stephen Boyd,2004
Luca Schenato,2007
G. Gamba,2007
Sven Hedlund,1999
Anders Rantzer,1999
Hamidreza Chitsaz,2007
Steven M. LaValle,2007
Abdelhamid Tayebi,2004
S. McGilvray,2004
Roberto Solis,2006
Vivek S. Borkar,2006
P. Senthil Kumar,2006
D. Mignone,2000
Giancarlo Ferrari-Trecate,2000
Manfred Morari,2000
Héctor J. Sussmann,1991
Yang Yang,1991
Babak Azimi-Sadjadi,2003
Chae An,1985
Christopher G. Atkeson,1985
John M. Hollerbach,1985
Daniel Limón Marruedo,2002
Teodoro Alamo,2002
Eduardo F. Camacho,2002
Sette Diop,1991
Michel Fliess,1991
Richard J. Paul,1978
B. Shimano,1978
Arash Hassibi,1999
Stephen Boyd,1999
Jonathan P. How,1999
Ronald R. Yager,1978
Emilio Frazzoli,2000
Munther A. Dahleh,2000
Eric Feron,2000
Koushil Sreenath,2013
Taeyoung Lee,2013
Vijay Kumar,2013
Michael M. Zavlanos,2007
Ali Jadbabaie,2007
George J. Pappas,2007
Arthur Richards,2004
Jonathan P. How,2004
Kin Cheong Sou,2011
James Weimer,2011
Henrik Sandberg,2011
Karl Henrik Johansson,2011
William B. Dunbar,2002
Robin M. Murray,2002
Somil Bansal,2017
Mo Chen,2017
Sylvia L. Herbert,2017
Claire J. Tomlin,2017
D. Willner,1976
C. Chang,1976
K. Dunn,1976
Mario Sznaier,1987
M.J. Damborg,1987
Anooshiravan Saboori,2007
Christoforos N. Hadjicostis,2007
Rafael Vazquez,2011
Miroslav Krstic,2011
Jean-Michel Coron,2011
John Bellingham,2002
Michael Tillerson,2002
M. Alighanbari,2002
Jonathan P. How,2002
Michael M. Zavlanos,2008
L. Spesivtsev,2008
George J. Pappas,2008
Sergey V. Drakunov,1992
Keat-Choon Goh,1994
Michael G. Safonov,1994
George P. Papavassilopoulos,1994
Do-Jun Shim,2003
Hyun-Chul Kim,2003
S. Shankar Sastry,2003
Bin Yao,1997
John Baillieul,1984
John M. Hollerbach,1984
Roger W. Brockett,1984
Suguru Arimoto,1985
Seiji Kawamura,1985
Fumio Miyazaki,1985
S. Tamaki,1985
Songhwai Oh,2004
Stuart Russell,2004
S. Shankar Sastry,2004
Héctor J. Sussmann,1991
Wensheng Liu,1991
Lingwen Gan,2011
Ufuk Topcu,2011
Steven H. Low,2011
Frauke Oldewurtel,2010
Andreas Ulbig,2010
Alessandra Parisio,2010
Göran Andersson,2010
Manfred Morari,2010
Roger W. Brockett,1995
D. Soetanto,2003
Lionel Lapierre,2003
Antonio M. Pascoal,2003
L. M. Sweet,1984
Malcolm Good,1984
Prabir Barooah,2006
Joao P. Hespanha,2006
Paolo Falcone,2007
M. Tufo,2007
Francesco Borrelli,2007
J. Asgari,2007
H. Eric Tseng,2007
Andrew Packard,1991
Kang Zhou,1991
Prem C. Pandey,1991
Gerd Becker,1991
Andrew R. Teel,1992
Robin M. Murray,1992
G. Walsh,1992
Vassilis L. Syrmos,1994
Chaouki T. Abdallah,1994
Peter Dorato,1994
Xiaobo Tan,2002
John S. Baras,2002
Alex Olshevsky,2006
John N. Tsitsiklis,2006
Christelle Pittet,1997
Sophie Tarbouriech,1997
C. Burgat,1997
Saverio Bolognani,2013
Nicoletta Bof,2013
Davide Michelotti,2013
Riccardo Muraro,2013
Luca Schenato,2013
Yongcan Cao,2009
Wei Ren,2009
Quanyan Zhu,2011
Tamer Basar,2011
E. Borhaug,2008
Alexey N. Pavlov,2008
Kristin Y. Pettersen,2008
He Bai,2010
Randy A. Freeman,2010
Kevin G. Lynch,2010
K. Mani Chandy,2010
Steven H. Low,2010
Ufuk Topcu,2010
Huan Xu,2010
Christopher I. Byrnes,1984
Jan C. Willems,1984
X. F. Wang,2008
Michael D. Lemmon,2008
Frauke Oldewurtel,2008
C. R. Jones,2008
Manfred Morari,2008
Alberto Bemporad,1998
Ron J. Patton,1991
J. C. Chen,1991
Guy Bornard,1991
Hassan Hammouri,1991
Basilio Bona,2005
Marina Indri,2005
Aryan Mokhtari,2016
Shahin Shahrampour,2016
Ali Jadbabaie,2016
Alejandro Ribeiro,2016
Z. Jarvis-Wloszek,2003
Ryan Feeley,2003
Weehong Tan,2003
Kunpeng Sun,2003
Andrew Packard,2003
Oliver Nelles,1996
Rolf Isermann,1996
Kristin Y. Pettersen,1996
Olav Egeland,1996
Aditya Mahajan,2012
Nuno Martins,2012
Michael Rotkowitz,2012
Serdar Yüksel,2012
Ernesto Kofman,2006
Julio H. Braslavsky,2006
Stacy Patterson,2010
Bassam Bamieh,2010
Shinji Hara,1985
Tohru Omata,1985
Michio Nakano,1985
Jorge E. Cortes,2016
Geir E. Dullerud,2016
Shuo Han,2016
Jerome Le Ny,2016
Sayan Mitra,2016
George J. Pappas,2016
R.O. Saber,2003
Robin M. Murray,2003
Carlos Canudas de Wit,1999
Panagiotis Tsiotras,1999
Christopher I. Byrnes,1984
Alberto Isidori,1984
Roger Skjetne,2002
S. Moi,2002
Thor I. Fossen,2002
Morten Breivik,2005
Thor I. Fossen,2005
Alberto Bemporad,2006
Todd A. Ell,1993
Kiminao Kogiso,2015
Takahiro Fujita,2015
Peter J. Ramadge,1986
Ola Härkegård,2002
Robin M. Murray,1990
S. Shankar Sastry,1990
Emilio Frazzoli,2004
Francesco Bullo,2004
Prabir Barooah,2005
Joao P. Hespanha,2005
O.C. Imer,2005
Tamer Basar,2005
Arthur J. Krener,2009
Kayo Ide,2009
Demetri Spanos,2004
Richard M. Murray,2004
Anton Cervin,2008
Toivo Henningsson,2008
Tichakorn Wongpiromsarn,2009
Ufuk Topcu,2009
Richard M. Murray,2009
N.M. Wereley,1990
Steven R. Hall,1990
Markus Sköldstam,2007
Knut Åkesson,2007
