Name,Year
Dragos Niculescu,2001
Badri Nath,2001
Joachim Hagenauer,1989
Peter Adam Hoeher,1989
Akram Al-Hourani,2014
Sithamparanathan Kandeepan,2014
Abbas Jamalipour,2014
Qingqing Wu,2018
Rui Zhang,2018
S. Gandham,2003
Milind Dawande,2003
Rajiv Prakash,2003
Subbarayan Venkatesan,2003
Robert Fischer,1996
Johannes B. Huber,1996
Thomas Karagiannis,2004
Andre Broido,2004
Nevil Brownlee,2004
kc claffy,2004
Michalis Faloutsos,2004
Kaixin Xu,2002
Mario Gerla,2002
Sang Cheol Bae,2002
King F. Lee,2000
Douglas B. Williams,2000
Bob Melander,2000
Michael D. Bjorkman,2000
Per Gunningberg,2000
Vida Vakilian,2013
Thorsten Wild,2013
Frank Schaich,2013
Stephan ten Brink,2013
Jean-Francois Frigon,2013
Huan Yao,2002
Gregory W. Wornell,2002
Roch Guerin,1997
Ariel Orda,1997
D. Williams,1997
Xiao-Yu Hu,2001
Evangelos Eleftheriou,2001
Donald M. Arnold,2001
S. ten Brink,1998
Joachim Speidel,1998
Ran-Hong Yan,1998
Antoine Chouly,1993
Americo Brajal,1993
Sabine Jourdan,1993
Enrique J. Duarte-Melo,2002
Mingyan Liu,2002
Allen B. MacKenzie,2001
Stephen B. Wicker,2001
Hiroyuki Ishii,2012
Yoshihisa Kishiyama,2012
Hideaki Takahashi,2012
Christos Danakis,2012
Mostafa Afgani,2012
G.J.R. Povey,2012
Ian Underwood,2012
Harald Haas,2012
Charles Robert Kalmanek,1990
Hemant Kanakia,1990
Srinivasan Keshav,1990
H. Yin,2000
H. Liu,2000
M. Yajnik,1996
Jim Kurose,1996
Don Towsley,1996
Matthew Doar,1996
Hikmet Sari,1994
Georges Karam,1994
I. Jeanclaud,1994
Jonathan S. Turner,2005
David E. Taylor,2005
Sebastien Muller,1997
Johannes B. Huber,1997
Xiao-Yu Hu,2001
Evangelos Eleftheriou,2001
D.M. Arnold,2001
Ajay Dholakia,2001
David Gesbert,2000
Helmut Bölcskei,2000
D. Gore,2000
Arogyaswami Paulraj,2000
George R. MacCartney,2013
Junhong Zhang,2013
Shuai Nie,2013
Theodore S. Rappaport,2013
Patrick Robertson,1994
Akbar M. Sayeed,2013
John F. Brady,2013
Anass Benjebbovu,2013
Anxin Li,2013
Yuya Saito,2013
Yoshihisa Kishiyama,2013
Atsushi Harada,2013
Takehiro Nakamura,2013
Albrecht Fehske,2009
Fred Richter,2009
Gerhard Fettweis,2009
Andreas Czylwik,1996
Periklis Chatzimisios,2003
Anthony C. Boucouvalas,2003
V. Vitsas,2003
Gianluigi Liva,2007
Marco Chiani,2007
Ramesh Pyndiah,1994
A. Glavieux,1994
Annie Picart,1994
S. Jacq,1994
Henry D. Pfister,2001
Soriaga Joseph Binamira,2001
Paul B. Siegel,2001
Joao Vieira,2014
Steffen Malkowsky,2014
Karl F. Nieman,2014
Zachary Miers,2014
Nikhil Kundargi,2014
Liang Liu,2014
Ian C. K. Wong,2014
Viktor Öwall,2014
Ove Edfors,2014
Fredrik Tufvesson,2014
Yi-Ling Chao,2003
Robert A. Scholtz,2003
Xianghao Yu,2019
Dongfang Xu,2019
Robert Schober,2019
Ashfaqur Rahman,2012
Hamed Mohsenian-Rad,2012
Eunsung Oh,2010
Bhaskar Krishnamachari,2010
Meghranjana Chatterjee,2000
Souvik Das,2000
Damla Turgut,2000
Jun Ma,2007
Ye Li,2007
A. Antony Franklin,2007
C. Siva Ram Murthy,2007
Bo Lu,2000
Xiaodong Wang,2000
Dobroslav Tsonev,2011
Sinan Sinanovic,2011
Harald Haas,2011
Michael Rahaim,2011
Anna Maria Vegni,2011
Thomas D. C. Little,2011
R.D.J. van Nee,1996
Marco Belleschi,2011
Gabor Fodor,2011
Andrea Abrardo,2011
Christian Isheden,2010
Gerhard Fettweis,2010
Wenxing Fang,1999
Laurence E. Peterson,1999
Apurva N. Mody,2001
Gordon L. Stuber,2001
Thomas David Novlan,2010
Jeffrey G. Andrews,2010
Illsoo Sohn,2010
Radha Krishna Ganti,2010
Arunabha Ghosh,2010
G. Gallassi,1989
G. Rigolio,1989
Luigi Fratta,1989
Xi Zhang,2014
Ming Jia,2014
Lei Chen,2014
Jianglei Ma,2014
Junhua Zhao,2014
Clarence Filsfils,2014
Nainar Nagendra Kumar,2014
Carlos M. Pignataro,2014
Juan F. Cardona,2014
Pierre Francois,2014
Zhi Tian,2008
Thomas Strohmer,2004
M. Emami,2004
J. Hansen,2004
George C. Papanicolaou,2004
Arogyaswami Paulraj,2004
A. DeSimone,1993
Mooi Choo Chuah,1993
On-Ching Yue,1993
Eshar Ben-Dor,2011
Theodore S. Rappaport,2011
Yijun Qiao,2011
Samuel J. Lauffenburger,2011
Ronald Böhnke,2003
Dirk Wubben,2003
Volker Kuhn,2003
Karl-Dirk Kammeyer,2003
Zukang Shen,2003
J. E. Andrews,2003
B. Evans,2003
Konstantinos Christodoulopoulos,2010
Ioannis Tomkos,2010
Emmanouel Varvarigos,2010
Lifeng Lai,2008
Yijia Fan,2008
H. Vincent Poor,2008
Gregory G. Raleigh,1996
John M. Cioffi,1996
Songze Li,2016
Mohammad Ali Maddah-Ali,2016
A. Salman Avestimehr,2016
C. R. Palmer,2000
J.G. Steffan,2000
Shing-Wa Wong,2009
Luca Valcarenghi,2009
She-Hwa Yen,2009
Divanilson R. Campelo,2009
Shinji Yamashita,2009
Leonid G. Kazovsky,2009
Jan Bajcsy,2001
Patrick Mitran,2001
Huei-Ru Tseng,2007
Rong-Hong Jan,2007
Wuu Yang,2007
Armin Dammann,2001
Stefan Kaiser,2001
Shunqing Zhang,2014
Xu Xiuqiang,2014
Lei Lu,2014
Yiqun Wu,2014
Gaoning He,2014
Yan Chen,2014
A. Leke,1997
John M. Cioffi,1997
Gabor Fodor,2011
Norbert Reider,2011
Li Cong,2001
Weihua Zhuang,2001
Onur Sahin,2007
Elza Erkip,2007
Jayneel Vora,2018
Anand Nayyar,2018
Sudeep Tanwar,2018
Sudhanshu Tyagi,2018
Neeraj Kumar,2018
Mohammad S. Obaidat,2018
Joel J. P. C. Rodrigues,2018
Y. Ming Tsang,2011
Ada S. Y. Poon,2011
Sateesh Addepalli,2011
K. S. Lee,2007
J. Haerri,2007
Uichin Lee,2007
Mario Gerla,2007
Tadilo Endeshaw Bogale,2014
Long Bao Le,2014
Xiang He,2008
Aylin Yener,2008
Wenjuan Du,2003
J. Deng,2003
Y. L. Han,2003
Pramod K. Varshney,2003
Ignacio Santamaria,2010
Oscar R. Gonzalez,2010
Robert W. Heath,2010
Steven Peters,2010
Ferkan Yilmaz,2009
Mohamed-Slim Alouini,2009
Swastik Kopparty,2002
Setharampattu S. Krishnamurthy,2002
Michalis Faloutsos,2002
S. K. Tripathi,2002
Chen-Mou Cheng,2002
Hsiang-Tsung Kung,2002
Koan-Sin Tan,2002
Hideki Sakauchi,1990
Yukitoshi Nishimura,1990
Satoshi Hasegawa,1990
Peter Adam Hoeher,1999
Fredrik Tufvesson,1999
C.E. Shea,2009
Behnam Hassanabadi,2009
Shahrokh Valaee,2009
Dhananjay LaI,2003
Arati Manjeshwar,2003
François Herrmann,2003
Elif Uysal-Biyikoglu,2003
Ali Keshavarzian,2003
Vasilios A. Siris,2004
Fotini Papagalou,2004
Sebastian Cammerer,2017
Tobias Gruber,2017
Jakob Hoydis,2017
Stephan ten Brink,2017
Priyabrata Parida,2014
Suvra Sekhar Das,2014
Moshe Sidi,1989
Wei Liu,1989
Israel Cidon,1989
Inder Sarat Gopal,1989
Emre Yetginer,2009
George N. Rouskas,2009
Shabnam Sodagari,2012
Awais Khawar,2012
Thomas E. Clancy,2012
Robert W. McGwier,2012
Chen-Feng Liu,2017
Mehdi Bennis,2017
H. Vincent Poor,2017
Jun-Young Lee,2014
Gye-Tae Gil,2014
Yong Rok Lee,2014
Jaap van de Beek,2009
Branislav Popovic,2009
In-Hyoung Kim,2001
Hae Young Lee,2001
Beomsup Kim,2001
Yen-Jie Lee,2001
Teng Joon Lim,2008
Rui Zhang,2008
Ying-Chang Liang,2008
Yonghong Zeng,2008
Weifa Liang,2010
Jun Luo,2010
Xu Xu,2010
S. Marwaha,2002
Chen-Khong Tham,2002
Dipti Srinivasan,2002
Chunlong Guo,2001
Lizhi Charlie Zhong,2001
Jan M. Rabaey,2001
Eyuphan Bulut,2010
Boleslaw K. Szymanski,2010
Rui Zhang,2008
Albrecht Fehske,2010
Patrick Marsch,2010
Gerhard Fettweis,2010
Jian Yang,2009
Yingying Chen,2009
Kai Yu,2001
Mats Bengtsson,2001
Bjorn Ottersten,2001
D.P. McNamara,2001
Per Karlsson,2001
Mark A Beach,2001
Jen-Po Cheng,2011
Chia-Han Lee,2011
Tzu-Ming Lin,2011
Bhaskar Krishnamachari,2001
Stephen B. Wicker,2001
R. Bejar,2001
Jinlin Fu,2010
Chunping Hou,2010
Wei Xiang,2010
Lei Yan,2010
Yonghong Hou,2010
Mehdi Bennis,2010
Dusit Niyato,2010
Huining Hu,2004
Halim Yanikomeroglu,2004
David Falconer,2004
Shalini Periyalwar,2004
Xuehong Mao,2008
Amine Maaref,2008
Koon K. Teo,2008
Mario Gerla,2001
M. Y. Sanadidi,2001
Ren Wang,2001
Alberto Zanella,2001
Claudio Casetti,2001
Saverio Mascolo,2001
William Su,1999
Mario Gerla,1999
Jing Deng,2004
Ben Liang,2004
Pramod K. Varshney,2004
Niklas Goddemeier,2015
Christian Wietfeld,2015
Shengli Zhang,2008
Soung Chang Liew,2008
Lu Lu,2008
Cenk M. Yetis,2009
Tiangao Gou,2009
Syed A. Jafar,2009
Ahmet H. Kayran,2009
Xun Yu Zhou,2012
Rui Zhang,2012
Chin Keong Ho,2012
G. M. Woodruff,1988
R. G. H. Rogers,1988
P. S. Richards,1988
Dennis Pong,2003
Tim Moors,2003
I. Kassabalidis,2001
Mohamed A. El-Sharkawi,2001
Ronald Marks,2001
Payman Arabshahi,2001
Alastair Gray,2001
Toktam Mahmoodi,2008
Vasilis Friderikos,2008
Oliver Holland,2008
Hamid Aghvami,2008
Mika Ylianttila,2001
M. Pande,2001
Juha-Pekka Makela,2001
Petri Mahonen,2001
Lucas Fernando Müller,2014
Rodrigo Juliano Oliveira,2014
Marcelo Caggiani Luizelli,2014
Luciano Paschoal Gaspary,2014
Marinho P. Barcellos,2014
Ki-Dong Lee,2011
Sang Hoon Kim,2011
Byung K. Yi,2011
Chen Feng,2009
Shahrokh Valaee,2009
Zhenhui Tan,2009
Ying-Hao Yu,2016
Jun Zhang,2016
Khaled Ben Letaief,2016
Sibel Tombaz,2011
Paolo Monti,2011
Kun Wang,2011
Anders Vastberg,2011
Marco Forzati,2011
Jens Zander,2011
Guo-Mei Zhu,2008
Ian F. Akyildiz,2008
Geng-Sheng Kuo,2008
Engling Yeo,2001
Payam Pakzad,2001
Borivoje Nikolic,2001
Venkat Anantharam,2001
Ping Zhang,1996
R.T. Short,1996
X. R. Chen,1996
Joseph J. Boutros,2003
Nicolas Gresset,2003
Loic Brunel,2003
M. Fossorier,2003
Kemeng Yang,2007
Iqbal Gondal,2007
Bin Qiu,2007
Laurence S. Dooley,2007
David J. Love,2003
Robert W. Heath,2003
Chen-Nee Chuah,1998
Joseph M. Kahn,1998
David Tse,1998
Tao Jiang,2019
Yuanming Shi,2019
Xiaojun Cao,2002
Ji-kai Li,2002
Yang Chen,2002
Chunming Qiao,2002
Jan Tubbax,2003
A. Fort,2003
L. Van der Perre,2003
Stéphane Donnay,2003
Marc Engels,2003
Marc Moonen,2003
H. De Man,2003
George R. MacCartney,2017
Theodore S. Rappaport,2017
Sundeep Rangan,2017
Ashwini Ashok Bedekar,1999
Sem Borst,1999
Kavita Ramanan,1999
Paul H. Whiting,1999
E. Ann Yeh,1999
Kamesh Medepalli,2004
Praveen Kumare Gopalakrishnan,2004
David Famolari,2004
Tatsuya Kodama,2004
Ahmed Arafa,2017
Sennur Ulukus,2017
Nicholas F. Maxemchuk,1985
Duk-Yong Choi,2008
Pooya Monajemi,2008
Shinjae Kang,2008
J. Villasenor,2008
Chih-Chung Yang,1988
S. Hasegawa,1988
Stephen G. Larew,2013
Timothy S. Thomas,2013
Mark Cudak,2013
Amitava Ghosh,2013
Sameh Sorour,2010
Shahrokh Valaee,2010
Thierry Pollet,1994
Paul Marie Pierre Spruyt,1994
Marc Moeneclaey,1994
Mario Gerla,2000
Xiaoyan Hong,2000
Guangyu Pei,2000
Peng Cheng,2004
Chen-Nee Chuah,2004
Xin Liu,2004
Chen Xu,2012
Lingyang Song,2012
Zhu Han,2012
Dou Li,2012
Bingli Jiao,2012
Evsen Yanmaz,2011
Robert Kuschnig,2011
Christian Bettstetter,2011
Virgilio Rodriguez,2003
Lusheng Ji,1998
M. Scott Corson,1998
M.A. Khojastepour,2003
Ashutosh Sabharwal,2003
Behnaam Aazhang,2003
W. D. Grover,1987
Stefan Kaiser,1995
Yang Chen,2001
Mounir Hamdi,2001
