Name,Year
Wendi Rabiner Heinzelman,2000
Anantha P. Chandrakasan,2000
Hari Balakrishnan,2000
Juho Hamari,2014
Jonna Koivisto,2014
Harri Sarsa,2014
Mario Hermann,2016
Tobias Pentek,2016
Boris Otto,2016
danah boyd,2010
Scott A. Golder,2010
Gilad Lotan,2010
Hafedh Chourabi,2012
Taewoo Nam,2012
Shawn W. Walker,2012
J. Ramon Gil-Garcia,2012
Sehl Mellouli,2012
Karine Nahon,2012
Theresa A. Pardo,2012
Hans Jochen Scholl,2012
A Abdul-Rahman,2000
Stephen Hailes,2000
T.P. Caudell,1992
D.W. Mizell,1992
Lik Mui,2002
Mohtashemi M,2002
Ari Halberstadt,2002
Srdjan Capkun,2001
Mounir Hamdi,2001
Jean-Pierre Hubaux,2001
Toni M. Somers,2001
Klara Nelson,2001
Susan C. Herring,2004
Lois Ann Scheidt,2004
S. Bonus,2004
Elijah Wright,2004
A. Qayyum,2002
Laurent Viennot,2002
Anis Laouiti,2002
Stephen H. Kaisler,2013
Frank Armour,2013
J.A. Espinosa,2013
William H. Money,2013
Yogesh Malhotra,1999
Dennis F. Galletta,1999
Alan R. Dennis,1999
Joseph S. Valacich,1999
Ann Macintosh,2004
Courtenay Honeycutt,2009
Susan C. Herring,2009
Andrea Wiggins,2011
Kevin Crowston,2011
William H. DeLone,2002
Ephraim R. McLean,2002
Zheng Wang,2005
Stefano Basagni,2005
Emanuel Melachrinoudis,2005
Chiara Petrioli,2005
Sankardas Roy,2010
Charles Ellis,2010
Sajjan G. Shiva,2010
Dipankar Dasgupta,2010
Vivek Shandilya,2010
Qishi Wu,2010
Steven M. Rinaldi,2004
Suha AlAwadhi,2008
Anne Morris,2008
James C. Spohrer,2008
Stephen L. Vargo,2008
N. Caswell,2008
Paul P. Maglio,2008
Christer Carlsson,2006
Jan-Otto Carlsson,2006
Kaarina Hyvönen,2006
Jussi Puhakainen,2006
Pirkko Walden,2006
Seppo Pahnila,2007
Mikko T. Siponen,2007
A. Mahmood,2007
Fernanda B. Viégas,2007
Martin Wattenberg,2007
Jesse H. Kriss,2007
F. van Ham,2007
danah boyd,2006
Jeffrey Heer,2006
Wayne Jansen,2011
Susan C. Herring,2005
Inna Kouper,2005
John C. Paolillo,2005
Lois Ann Scheidt,2005
Michael Tyworth,2005
P. Welsch,2005
Elijah Wright,2005
Ning Yu,2005
Ghosh,1994
Reilly,1994
Thomas J. Overbye,2004
Xu Cheng,2004
Yan Sun,2004
T. Hofer,2003
Wolfgang Schwinger,2003
Mario Pichler,2003
G. Leonhartsberger,2003
Josef Altmann,2003
Werner Retschitzegger,2003
T. Griffin,2000
Kevin Tomsovic,2000
Don Secrest,2000
A. Law,2000
Jean Scholtz,2003
Alexander Hars,2001
Shaosong Ou,2001
Giorgos Zacharia,1999
Alexandros Moukas,1999
Pattie Maes,1999
Lei Zhang,2003
M. J. Lee,2003
Zhe Zhang,2003
Probir Banerjee,2003
Pimwadee Chaovalit,2005
Lina Zhou,2005
Jeff Sutherland,2007
A. Viktorov,2007
J. Blount,2007
Nikolai I. Puntikov,2007
Matteo Golfarelli,1998
Dario Maio,1998
Stefano Rizzi,1998
O. Kachirski,2003
R. Guha,2003
Mohammed A. AlZain,2012
Eric Pardede,2012
Ben Soh,2012
James A. Thom,2012
Khaled M. Alzoubi,2002
Peng-Jun Wan,2002
Ophir Frieder,2002
D A Fisher,2006
M. N. K. Smith,2006
Howard T. Welser,2006
Ian Dobson,2001
Benjamin A. Carreras,2001
Vincent M. Lynch,2001
David E. Newman,2001
M.-A. Mittermayer,2004
Lars Brehm,2001
Armin Heinzl,2001
M.L. Markus,2001
PP Webb,2006
Carol Pollard,2006
Gail Ridley,2006
Dale L. Goodhue,2006
Wyn G. Lewis,2006
R. Houston Thompson,2006
William G. Chismar,2003
Sonja Wiley-Patton,2003
Beat Schmid,1998
Markus A. Lindemann,1998
Masao Kakihara,2002
Carsten Sørensen,2002
Florian Heimerl,2014
Steffen Lohmann,2014
Simon Lange,2014
Thomas Ertl,2014
Lemuria Carter,2004
F. Belanger,2004
Hyosun Stella Kwon,2000
Laku Chidambaram,2000
Maryam Alavi,1999
D. Leider,1999
Benoit A. Aubert,1998
Michel Patry,1998
Suzanne Rivard,1998
Stefan Stieglitz,2012
Linh Dang-Xuan,2012
Stephen H. Kaisler,2005
Frank Armour,2005
Michael Valivullah,2005
Lorrie Faith Cranor,1997
Ron K. Cytron,1997
Astrid Dickinger,2004
Parissa Haghirian,2004
J. Brendan Murphy,2004
Anton Scharl,2004
Geng Chen,2002
F. Garcia Nocetti,2002
J. Suarez Gonzalez,2002
Ivan Stojmenovic,2002
Shangwei Wang,2006
Wun-Hwa Chen,2006
Chorng-Shyong Ong,2006
Li Liu,2006
Yun-Wen Chuang,2006
Alan Jackson,2007
J. T. Yates,2007
Wanda J. Orlikowski,2007
C.S. Iacono,1997
Suzanne P. Weisband,1997
Sheizaf Rafaeli,2004
Gilad Ravid,2004
Vladimir Soroka,2004
Parissa Haghirian,2005
Maria Madlberger,2005
A. Tanuskova,2005
G.-J. de Vreede,2005
Robert O. Briggs,2005
G. A. Di Caro,1998
M. Dorigo,1998
Will Emigh,2005
Susan C. Herring,2005
S. De Haes,2005
W. Van Grembergen,2005
Marti A. Hearst,2008
Daniela K. Rosner,2008
Key Pousttchi,2004
Martin Schurig,2004
Ulrich Frank,2002
Claire Dwyer,2007
A.N. Parr,2000
Graeme Shanks,2000
Jennifer Mankoff,2007
Deanna H. Matthews,2007
Susan R. Fussell,2007
Michael P. Johnson,2007
Paul Hines,2010
Seth Blumsack,2010
E. J. Sanchez,2010
Clayton Barrows,2010
Dave Gehrke,1999
E. Turban,1999
A. KINI,1998
Joobin Choobineh,1998
Palaninathan Kannan,2001
Anne B. Chang,2001
Andrew B. Whinston,2001
Gail Ridley,2004
Jacques Young,2004
Pgh Carroll,2004
Jeffery A. Carroll,2002
Stanley M. Howard,2002
Frank Vetere,2002
J.S. Peck,2002
J. Brendan Murphy,2002
I. G. Checkland,1993
Colin Runciman,1993
Hans P. Borgman,2013
Bouchaib Bahli,2013
Hauke Heier,2013
F. Schewski,2013
Kim Potter Kihlstrom,1998
Louise E. Moser,1998
Peter M. Melliar-Smith,1998
Vidyanand Choudhary,2007
Kevin Crowston,2006
Kangning Wei,2006
Qing X. Li,2006
James Howison,2006
Leona Bannon,1996
Kari Kuutti,1996
Paul Hines,2008
Seth Blumsack,2008
Kari Chopra,2003
William A. Wallace,2003
Robert Winter,2003
Bernhard Strauch,2003
J. Malinowski,2006
T. Keim,2006
Oliver Wendt,2006
Tim Weitzel,2006
Frederick J. Riggins,2015
Samuel Fosso Wamba,2015
Jay Pedersen,2013
David Kocsis,2013
Abhishek Tripathi,2013
Alvin Tarrell,2013
A. Weerakoon,2013
Nargess Tahmasbi,2013
Jie Xiong,2013
Wei Deng,2013
Onook Oh,2013
G.-J. de Vreede,2013
Dick Stenmark,2002
M. R. Shepherd,1998
Carolyn Watters,1998
R. Stuart Geiger,2011
David Ribes,2011
Efthimios Tambouris,2007
Naoum Liotas,2007
Konstantinos Tarabanis,2007
Felipe Ortega,2008
Jesus M. Gonzalez-Barahona,2008
Gregorio Robles,2008
Zhifang Wang,2002
R. C. Thomas,2002
Zygmunt J. Haas,2002
Christopher K.T. Farmer,2010
Paul Hines,2010
Jonathan Dowds,2010
Seth Blumsack,2010
David Gefen,2003
V. Srinivasan Rao,2003
Noam Tractinsky,2003
Kaizar Amin,2004
Gregor von Laszewski,2004
Mihael Hategan,2004
Nestor J. Zaluzec,2004
Shelagh M. Hampton,2004
A. Rossi,2004
Clyde W. Holsapple,1999
K. Joshi,1999
Zhongli Ding,2004
Yun Peng,2004
Murray E. Jennex,2004
Lorne Olfman,2004
Zahir Irani,2006
Madi Al-Sebie,2006
Tony Elliman,2006
Nicholas Romano,2001
Jay F. Nunamaker,2001
Cristiano Castelfranchi,2000
Rino Falcone,2000
Sachin Kumar,2016
Tyler Vealey,2016
Harshit Srivastava,2016
Marian Anghel,2007
K.A. Werley,2007
Adilson E. Motter,2007
Viswanath Venkatesh,2011
Tracy Ann Sykes,2011
Xiaojun Zhang,2011
L. Efimova,2007
Jonathan Grudin,2007
Ying Ge,2003
Thomas Kunz,2003
Louise Lamont,2003
Edoardo Biagioni,2003
Galen Sasaki,2003
H.M. Chung,1998
P. Gray,1998
Michael V. Mannino,1998
M.J. Succi,1999
Zhiping Walter,1999
Ian Dobson,2004
Benjamin A. Carreras,2004
David E. Newman,2004
Wen-Hsiung Wu,1999
DH McKnight,2001
Norman L. Chervany,2001
Chunqing Wang,2002
Antonio Carzaniga,2002
David Evans,2002
Alexander Wolf,2002
Per E. Pedersen,2003
Rich Ling,2003
B. Anckar,2002
Davide D'Incau,2002
Muhammad Younis,2004
Kemal Akkaya,2004
Mohamed Eltoweissy,2004
Ashraf Wadaa,2004
Hanna Krasnova,2010
Natasha F. Veltri,2010
L. P. Zhou,2003
Douglas P. Twitchell,2003
Tiantian Qin,2003
Judee K. Burgoon,2003
Jay F. Nunamaker,2003
Upkar Varshney,2001
Ron Vetter,2001
Candice Gardner,2004
Donald L. Amoroso,2004
Lili Wang,2005
Stuart Bretschneider,2005
Jon Gant,2005
Jan Marco Leimeister,2004
Pascal Sidiras,2004
Helmut Krcmar,2004
Andrea Forte,2008
Amy Bruckman,2008
V.R. Westmark,2004
Jonathan Grudin,2006
Robert H. Lasseter,2000
P. Piagi,2000
Peter Ractham,2011
Daniel Firpo,2011
Ann M. Hickey,2003
Alan M. Davis,2003
Niina Mallat,2006
Matti Rossi,2006
Virpi Kristiina Tuunainen,2006
Anssi Öörni,2006
Robert O. Briggs,2001
G.-J. de Vreede,2001
Jay F. Nunamaker,2001
David H. Tobey,2001
Li Ding,2005
Lina Zhou,2005
Tim Finin,2005
Amit Joshi,2005
Hans Jochen Scholl,2003
Eric K. Clemons,1988
Michael C. Row,1988
Raymond R. Panko,1996
R.P. Halverson,1996
Murray E. Jennex,2002
Lorne Olfman,2002
Anita L. Blanchard,2002
M.L. Markus,2002
Thomas Erickson,1997
Mathias Weske,2001
Ian Dobson,2003
Benjamin A. Carreras,2003
David E. Newman,2003
Zhengqiang Liang,2005
Weisong Shi,2005
L. Efimova,2005
A. de Moor,2005
Jukka Ylitalo,2003
Tony Jokikyyny,2003
Tero Kauppinen,2003
A.J. Tuominen,2003
J. Laine,2003
Luciano Baresi,2001
Franca Garzotto,2001
Paolo Paolini,2001
Julien Cartigny,2003
David Simplot,2003
Manuel Wimmer,2007
Michael Strommer,2007
Horst Kargl,2007
Gerhard Kramler,2007
Martin J. Eppler,2001
Rayford B. Vaughn,2003
R. Henning,2003
Ambareen Siraj,2003
Marko M. Skoric,2012
Nathaniel Poor,2012
Palakorn Achananuparp,2012
Ee-Peng Lim,2012
Jing Jiang,2012
Fernanda B. Viégas,2004
Marc A. Smith,2004
Per E. Pedersen,2002
Leif B. Methlie,2002
Helge Thorbjørnsen,2002
Leona Chandra,2015
Stefan Seidel,2015
Shirley Gregor,2015
Miroslav M. Begovic,2001
A. Pregelj,2001
