Name,Year
Hiroshi Ishii,1997
Brygg Ullmer,1997
Upendra Shardanand,1995
Pattie Maes,1995
Jakob Nielsen,1990
Rolf Molich,1990
Luis von Ahn,2004
Laura Dabbish,2004
Aniket Kittur,2008
Ed H. Chi,2008
Bongwon Suh,2008
Jakob Nielsen,1994
John Zimmerman,2007
Jodi Forlizzi,2007
Shelley Evenson,2007
Sebastian Deterding,2011
Miguel Sicart,2011
Lennart E. Nacke,2011
Kenton O'Hara,2011
Dan A. Dixon,2011
Jakob Nielsen,1993
Thomas K. Landauer,1993
Sarah Vieweg,2010
Anne McMunn,2010
Kate Starbird,2010
Leysia Palen,2010
Eric Gilbert,2009
Karrie Karahalios,2009
Adam Joinson,2008
Rachna Dhamija,2006
J. D. Tygar,2006
Marti A. Hearst,2006
George S. Robertson,1991
Jock D. Mackinlay,1991
Stuart K. Card,1991
John J. Chin,1988
Virginia A. Diehl,1988
Kent L. Norman,1988
Jacob O. Wobbrock,2011
Leah Findlater,2011
Darren Gergle,2011
James P. Higgins,2011
Hilary Hutchinson,2003
Wendy E. Mackay,2003
Bo Westerlund,2003
Benjamin B. Bederson,2003
Allison Druin,2003
Catherine Plaisant,2003
Michel Beaudouin-Lafon,2003
Stéphane Conversy,2003
Helen F Evans,2003
Heiko Hansen,2003
Nicolas Roussel,2003
Björn Eiderbäck,2003
Jure Leskovec,2010
Daniel P. Huttenlocher,2010
Jon Kleinberg,2010
Will Hill,1995
Larry Stead,1995
Mark Rosenstein,1995
George W. Furnas,1995
Eric Horvitz,1999
Sunny Consolvo,2008
David W. McDonald,2008
Tammy Toscos,2008
Mike K. Chen,2008
Jon E. Froehlich,2008
Beverly L. Harrison,2008
Predrag Klasnja,2008
Anthony LaMarca,2008
Louis Legrand,2008
Ryan T. Libby,2008
Ian F. C. Smith,2008
James A. Landay,2008
William Gaver,2003
Jacob Beaver,2003
Steve Benford,2003
Jacob O. Wobbrock,2009
Meredith Ringel Morris,2009
Andrew D. Wilson,2009
Keith Cheverst,2000
Nigel Davies,2000
Keith Mitchell,2000
Adrian Friday,2000
Christos Efstratiou,2000
Steve Whittaker,1996
Candace L. Sidner,1996
Paul Dourish,1992
Sara Bly,1992
Joel Ross,2010
Lilly Irani,2010
M. Six Silberman,2010
Andrew Zaldivar,2010
Bill Tomlinson,2010
George Fitzmaurice,1995
Hiroshi Ishii,1995
William Buxton,1995
Ka-Ping Yee,2003
Kirsten Swearingen,2003
Kevin X. Li,2003
Marti A. Hearst,2003
John O. Lamping,1995
Ramana B. Rao,1995
Peter Pirolli,1995
Eva Hornecker,2006
Jacob Buur,2006
Sean M. McNee,2006
John Riedl,2006
Joseph A. Konstan,2006
Jakob Nielsen,1992
Effie Lai-Chong Law,2009
Virpi Roto,2009
Marc Hassenzahl,2009
Arnold P. O. S. Vermeeren,2009
Joke Kort,2009
Morgan G. Ames,2007
Mor Naaman,2007
Emily J. Brown,2004
Paul Cairns,2004
Ian Li,2010
Anind K. Dey,2010
Jodi Forlizzi,2010
Richard W. Stoakley,1995
Matthew Conway,1995
Randy Pausch,1995
Jeffrey Heer,2005
Stuart K. Card,2005
James A. Landay,2005
Sunny Consolvo,2006
Katherine Everitt,2006
Ian F. C. Smith,2006
James A. Landay,2006
Clifford Nass,1994
Jonathan Steuer,1994
Ellen R. Tauber,1994
James C. Lester,1997
Sharolyn A. Converse,1997
Susan C Kahler,1997
S. Todd Barlow,1997
Brian Stone,1997
Ravinder Singh Bhogal,1997
Allison Druin,1999
Jakob Nielsen,1994
Jock D. Mackinlay,1991
George S. Robertson,1991
Stuart K. Card,1991
Alexander J. Quinn,2011
Benjamin B. Bederson,2011
Fernanda B. Viégas,2004
Martin Wattenberg,2004
Kushal S. Dave,2004
Mary Czerwinski,2004
Eric Horvitz,2004
Susan Wilhite,2004
Christopher Ahlberg,1994
Ben Shneiderman,1994
Moira Burke,2010
Cameron Marlow,2010
Thomas V. Lento,2010
Stuart K. Card,1991
George S. Robertson,1991
Jock D. Mackinlay,1991
Robert J.K. Jacob,2008
Audrey Girouard,2008
Leanne M. Hirshfield,2008
Michael S. Horn,2008
Orit Shaer,2008
Erin Treacy Solovey,2008
Jamie Zigelbaum,2008
Jun Rekimoto,2002
Jon E. Froehlich,2010
Leah Findlater,2010
James A. Landay,2010
Paul Dourish,2006
Jun Rekimoto,1999
Masanori Saitoh,1999
Jeffrey Heer,2010
Michael G. Bostock,2010
Shaowen Bardzell,2010
Ewa Luger,2016
Abigail Sellen,2016
William Gaver,2012
Frank Vetere,2005
Martin Gibbs,2005
Jesper Kjeldskov,2005
Steve Howard,2005
Florian 'Floyd' Mueller,2005
Sonja Pedell,2005
Karen Mecoles,2005
Marcus Bunyan,2005
Robert Orr,2000
Gregory D. Abowd,2000
B. J. Fogg,1999
Hsiang Tseng,1999
Shumin Zhai,1999
Carlos H. Morimoto,1999
Steven Carlyle Ihde,1999
Nicolas Ducheneaut,2006
Nick Yee,2006
Eric S. Nickell,2006
Robert B. Moore,2006
Cliff Lampe,2007
Nicole B. Ellison,2007
Charles Steinfield,2007
Roy Want,1999
Kenneth P. Fishkin,1999
Anuj Gujar,1999
Beverly L. Harrison,1999
B. J. Fogg,2001
Jonathan Marshall,2001
Othman Laraki,2001
Alex Osipovich,2001
Chris Varma,2001
Nicholas X. Fang,2001
Jyoti Paul,2001
Akshay Rangnekar,2001
John Shon,2001
Preeti Swani,2001
Marissa Treinen,2001
Marti A. Hearst,1995
Carl DiSalvo,2010
Phoebe Sengers,2010
Hrönn Brynjarsdóttir,2010
Robin Jeffries,1991
James H. Miller,1991
