Name,Year
C. Caloz,2002
Tatsuo Itoh,2002
John Huang,2002
P.V. Nikitin,2006
K. J. Rao,2006
Nader Engheta,2002
J. Howell,1972
Ben A. Munk,2003
Richard J. K. Taylor,2003
T. Durharn,2003
W. Croswell,2003
B. Pigon,2003
Randy Boozer,2003
Steven S. Brown,2003
M. Jones,2003
J. Pryor,2003
Sean Ortiz,2003
James J. Rawnick,2003
KH Krebs,2003
M. D. Vanstrum,2003
Griffin K. Gothard,2003
D. Wiebelt,2003
Arthur A. Oliner,1986
K. Lee,1986
P. K. Bhartia,1982
I.J. Bahl,1982
Hans Gregory Schantz,2002
P. Salonen,2004
Yahya Rahmat-Samii,2004
Markku Kivikoski,2004
John Huang,1995
S.D. Targonski,1994
David M. Pozar,1994
Koichi Gyoda,2000
Tatsuo Ohira,2000
Albert Sabban,1983
Ladislau Matekovits,2001
Giuseppe Vecchi,2001
Gianluca Dassano,2001
Mario Orefice,2001
P. Salonen,2004
Yahya Rahmat-Samii,2004
H. Hurme,2004
Markku Kivikoski,2004
Kiyo Tomiyasu,1978
John Huang,1989
G. Tzeremes,2002
Christos G. Christodoulou,2002
Zikri Bayraktar,2010
Muge Komurcu,2010
Douglas H. Werner,2010
H. Sanad,1994
Anthony Grbic,2002
George V. Eleftheriades,2002
Matthias Klemm,2008
Ian J Craddock,2008
JA Leendertz,2008
Alan Preece,2008
Robert S. Benjamin,2008
Y. Mizugutch,1976
Masuko Akagawa,1976
Hiroshi Yokoi,1976
Randy L. Haupt,2000
P. Salonen,2004
Yahya Rahmat-Samii,2004
H. Hurme,2004
Markku Kivikoski,2004
Yunqiang Yang,2005
Aly E. Fathy,2005
P. Salonen,2005
Jaehoon Kim,2005
Yahya Rahmat-Samii,2005
L. R. Lewis,1974
M. Fassett,1974
J. Hunt,1974
Taeyoung Yang,2004
William J. Davis,2004
Pavel Nikitin,2005
S.F. Lam,2005
K. J. Rao,2005
Xianming Qing,2004
Ning Yang,2004
Thomas Zwick,2004
Christian W. Baks,2004
Ullrich R. Pfeiffer,2004
Duixian Liu,2004
Brian P. Gaucher,2004
P. Salonen,2003
L Hurme,2003
Chunhui Chen,1984
A.N. Tulintseff,1984
R. S. Sorbello,1984
P. Salonen,2004
Yahya Rahmat-Samii,2004
M. Schaffrath,2004
Markku Kivikoski,2004
S. Sadat,2006
M. Fardis,2006
Fatemeh Geran,2006
Gholamreza Dadashzadeh,2006
N. Hojjat,2006
M. Roshandel,2006
A. Forenza,2004
