Name,Year
Emanuel Todorov,2012
Tom Erez,2012
Yuval Tassa,2012
Jürgen Sturm,2012
Nikolas Engelhard,2012
Felix Endres,2012
Wolfram Burgard,2012
Daniel Cremers,2012
Daniel Maturana,2015
Sebastian Scherer,2015
N. Koenig,2004
Andrew W. Howard,2004
Gill A. Pratt,1995
Matthew M. Williamson,1995
Josh Tobin,2017
Rachel H. Fong,2017
Alex K. Ray,2017
Jonas Schneider,2017
Wojciech Zaremba,2017
Pieter Abbeel,2017
Yoshiaki Sakagami,2002
R. Watanabe,2002
C. Aoyama,2002
Shinichi Matsunaga,2002
Nobuo Higaki,2002
Kingo Fujimura,2002
Eric Rohmer,2013
Surya Prakash Singh,2013
Marc Freese,2013
Samir Bouabdallah,2004
A. Noth,2004
Roland Siegwart,2004
Peter Biber,2003
Wolfgang Strasser,2003
Shin Kajita,2001
Fumio Kanehiro,2001
Katsumi Kaneko,2001
Kazuhito Yokoi,2001
Hirohisa Hirukawa,2001
Radu Bogdan Rusu,2010
Gary Bradski,2010
Romain Thibaux,2010
John Hsu,2010
Christian Kerl,2013
Jürgen Sturm,2013
Daniel Cremers,2013
Craig Zilles,1995
J.K. Salisbury,1995
Samir Bouabdallah,2007
Roland Siegwart,2007
John J. Leonard,1991
Hugh Durrant-Whyte,1991
Radu Bogdan Rusu,2008
Nico Blodow,2008
Zoltan-Csaba Marton,2008
Michael Beetz,2008
Yuval Tassa,2012
Tom Erez,2012
Emanuel Todorov,2012
Tixiao Shan,2018
Brendan Englot,2018
Joop A. Peters,2006
Stefan Schaal,2006
A. De Luca,2006
Alin Albu-Schaffer,2006
Sami Haddadin,2006
Gerd Hirzinger,2006
Andreas Eitel,2015
Jost Tobias Springenberg,2015
Luciano Spinello,2015
Martin Riedmiller,2015
Wolfram Burgard,2015
T. Madani,2006
Abdelaziz Benallegue,2006
Andres Milioto,2019
Ignacio Vizzo,2019
Jens Behley,2019
Cyrill Stachniss,2019
Timothy L. Bailey,2006
Jose Nieto,2006
Jose Guivant,2006
M. Stevens,2006
Eduardo Nebot,2006
Nobutoshi Ando,2005
Tadashi Suehiro,2005
K. Kitagaki,2005
Tetsuo Kotoku,2005
Woo-Keun Yoon,2005
Pete Trautman,2010
Andreas Krause,2010
Paul Furgale,2013
Joern Rehder,2013
Roland Siegwart,2013
Cynthia Breazeal,2005
Cory D. Kidd,2005
Andrea L. Thomaz,2005
Guy Hoffman,2005
Mark S. Berlin,2005
Lewis Girod,2001
Deborah Estrin,2001
Dirk Hähnel,2003
Wolfram Burgard,2003
Dieter Fox,2003
Sebastian Thrun,2003
Yufan Chen,2017
Michael Everett,2017
Miao Liu,2017
Jonathan P. How,2017
Sami Haddadin,2008
Alin Albu-Schaffer,2008
A. De Luca,2008
Gerd Hirzinger,2008
Brian D. Ziebart,2009
Nathan Ratliff,2009
Garratt Gallagher,2009
Christoph Mertz,2009
Kevin A. Peterson,2009
J. Andrew Bagnell,2009
Martial Hebert,2009
Anind K. Dey,2009
Siddhartha S. Srinivasa,2009
Anthony R. Cassandra,1996
Leslie Pack Kaelbling,1996
J.A. Kurien,1996
Jing Wang,2016
Edwin Olson,2016
Simon Lynen,2013
Markus W. Achtelik,2013
Stephan Weiss,2013
Margarita Chli,2013
Roland Siegwart,2013
Kerstin Dautenhahn,2005
Stephen C. Woods,2005
C. Kaouri,2005
Matthew Walters,2005
Kheng Lee Koay,2005
I. Werry,2005
Niko Sünderhauf,2015
Sareh Shirazi,2015
Feras Dayoub,2015
Ben Upcroft,2015
Michael Milford,2015
Brian P. Gerkey,2001
Robert Vaughan,2001
Kasper Stoy,2001
Andrew W. Howard,2001
Gaurav S. Sukhatme,2001
Maja J. Matarić,2001
Shin Kajita,2003
Fumio Kanehiro,2003
Katsumi Kaneko,2003
Koji Fujiwara,2003
Kensuke Harada,2003
Kazuhito Yokoi,2003
Hirohisa Hirukawa,2003
Jakob Engel,2015
Jörg Stückler,2015
Daniel Cremers,2015
James R. Bruce,2000
Tucker Balch,2000
Manuela Veloso,2000
J.L. Marins,2001
Xiaoping Yun,2001
E.R. Bachmann,2001
Robert B. McGhee,2001
Michael Zyda,2001
Frédéric Bourgault,2002
Alexei Makarenko,2002
Steven Williams,2002
Ben Grocholsky,2002
Hugh Durrant-Whyte,2002
Ronald S. Fearing,1995
J.E. Colgate,1995
Michael C. Stanley,1995
Jason M. Brown,1995
Mark Euston,2008
Paul Coote,2008
Robert Mahony,2008
Jonghyuk Kim,2008
Tarek Hamel,2008
Andy Zeng,2018
Shuran Song,2018
Stefan Welker,2018
Johnny Lee,2018
Alberto Rodriguez,2018
Thomas Funkhouser,2018
Scaramuzza,2006
Martinelli,2006
Siegwart,2006
Koh Hosoda,1994
Minoru Asada,1994
Shuuji Kajita,2010
Mitsuharu Morisawa,2010
Kanako Miura,2010
Shin'ichiro Nakaoka,2010
Kensuke Harada,2010
Kenji Kaneko,2010
Fumio Kanehiro,2010
Kazuhito Yokoi,2010
Ayanna M. Howard,2008
Panagiotis Polygerinos,2013
Stacey Lyne,2013
Zheng Wang,2013
Luis Fernando Nicolini,2013
Bobak Mosadegh,2013
George M. Whitesides,2013
Conor J. Walsh,2013
T. Hayashi,2005
Hitoshi Kawamoto,2005
Yoshiyuki Sankai,2005
Luciano Spinello,2011
Kai O. Arras,2011
Sulabh Kumra,2017
Christopher Kanan,2017
Cynthia Breazeal,1999
Brian Scassellati,1999
Rudolph Triebel,2006
Patrick Pfaff,2006
Wolfram Burgard,2006
Rachel Gockley,2005
A. Bruce,2005
Jodi Forlizzi,2005
Marek P. Michalowski,2005
Alan C. Mundell,2005
Stephanie Rosenthal,2005
Brennan Sellner,2005
Simmons Rl,2005
K. Snipes,2005
A. Schultz,2005
Jue Wang,2005
Michael Everett,2018
Yu Chen,2018
Jonathan P. How,2018
Ruth Simmons,1998
D. Apfelbaum,1998
Zichao Zhang,2018
Davide Scaramuzza,2018
Jakob Engel,2012
Jürgen Sturm,2012
Daniel Cremers,2012
Liefeng Bo,2011
Xiaofeng Ren,2011
Dieter Fox,2011
Leila Takayama,2009
Caroline Pantofaru,2009
Ryan W. Wolcott,2014
Ryan M. Eustice,2014
Maja J. Matarić,1995
Martin Nilsson,1995
K.T. Simsarin,1995
Mark W. Spong,1994
V.T. Nguyen,2005
Agostino Martinelli,2005
N. Tomatis,2005
Roland Siegwart,2005
Katsumi Kaneko,2002
Fumio Kanehiro,2002
Shin Kajita,2002
Jun Ogawa,2002
Kazuhiko Akachi,2002
T. Kawasaki,2002
Shuichi Ota,2002
Takakatsu Isozumi,2002
Gerardo Bledt,2018
Matthew A. Powell,2018
Benjamin Katz,2018
Jared Di Carlo,2018
Patrick M. Wensing,2018
Sangbae Kim,2018
Mathieu Labbé,2014
François Michaud,2014
Tixiao Shan,2020
Brendan Englot,2020
Drew Meyers,2020
Wei Wang,2020
Carlo Ratti,2020
Daniela Rus,2020
Cipriano Galindo,2005
Alessandro Saffiotti,2005
Silvia Coradeschi,2005
P. Buschka,2005
Juan-Antonio Fernández-Madrigal,2005
J. Suarez Gonzalez,2005
Moritz Tenorth,2009
Michael Beetz,2009
Behnam Salemi,2006
Mark Moll,2006
Wei-Min Shen,2006
Y. Cao,1995
Alex Fukunaga,1995
Andrew B. Kahng,1995
Fanbo Meng,1995
Daniel Mellinger,2011
Quentin Lindsey,2011
Michael Shomin,2011
Vijay Kumar,2011
Kenji Kaneko,2008
Kensuke Harada,2008
Fumio Kanehiro,2008
G. Miyamori,2008
Kazuhiko Akachi,2008
Qilong Zhang,2004
Robert Pless,2004
Friedrich Fraundorfer,2012
Lionel Heng,2012
Dominik Honegger,2012
Gim Hee Lee,2012
Lorenz Meier,2012
Petri Tanskanen,2012
Marc Pollefeys,2012
S. H. Lee,2002
Yoshiyuki Sankai,2002
Gareth Loy,2004
Nick Barnes,2004
Alexei Makarenko,2002
Steven Williams,2002
Frédéric Bourgault,2002
Hugh Durrant-Whyte,2002
Chris Urmson,2003
Reid Simmons,2003
Kurt Konolige,2010
Giorgio Grisetti,2010
Rainer Kümmerle,2010
Wolfram Burgard,2010
Benson Limketkai,2010
Régis Vincent,2010
S. Petti,2005
Thierry Fraichard,2005
Benjamin R. Stephens,2010
Christopher G. Atkeson,2010
Jim Mainprice,2013
Dmitry Berenson,2013
Koichi Nishiwaki,2002
Satoshi Kagami,2002
Yasuo Kuniyoshi,2002
Motoi Inaba,2002
Hiroshi Inoue,2002
Niko Sünderhauf,2012
Peter Protzel,2012
Yang Chen,2005
Zhongmin Wang,2005
Mikey Siegel,2009
Cynthia Breazeal,2009
Michael I. Norton,2009
Albert S. Huang,2010
Edwin Olson,2010
David Moore,2010
Federico Augugliaro,2012
Angela P. Schoellig,2012
Raffaello D'Andrea,2012
Namiki A,2003
Yasuharu Imai,2003
M. Ishikawa,2003
Makoto Kaneko,2003
Daniela Rus,1995
Bruce R. Donald,1995
James Jennings,1995
Jens-Steffen Gutmann,1998
Wolfram Burgard,1998
D. B. Fox,1998
Kurt Konolige,1998
Vladimir Kulyukin,2004
Chaitanya Gharpure,2004
