Name,Year
John D. Larson,2000
Paul A. Bradley,2000
Scott A. Wartenberg,2000
R. Ruby,2000
Mathias Fink,1989
Claire Prada,1989
Felix F. Wu,1989
Didier Cassereau,1989
Kai Erik Thomenius,1996
W.A. Smith,1989
R. Ruby,2001
Paul A. Bradley,2001
Yury Oshmyansky,2001
A. Chien,2001
John D. Larson,2001
Clinton S. Hartmann,2002
Clinton S. Hartmann,1982
Peter E. Wright,1982
R.J. Kansy,1982
E.M. Garber,1982
Clinton S. Hartmann,1989
B.P. Abbott,1989
Michalakis Averkiou,1997
David N. Roundhill,1997
Jeffry E. Powers,1997
P.-C. Eccardt,1996
Kurt Niederer,1996
Thomas Dr Scheiter,1996
C. Hierold,1996
Kenneth Meade Lakin,1982
Jing Wang,1982
G.R. Kline,1982
Allen R. Landin,1982
Yi Chen,1982
J.D. Hunt,1982
Kyle W. Hollman,1999
K.W. Rigby,1999
Matthew O'Donnell,1999
Ira O. Wygant,2008
Mario Kupnik,2008
Butrus T. Khuri-Yakub,2008
M.I. Haller,1994
Butrus T. Khuri-Yakub,1994
Kenneth Meade Lakin,1995
K.T. McCarron,1995
R. J. Rose,1995
D. Feld,2008
R.R. Parker,2008
R. Ruby,2008
Paul A. Bradley,2008
Shim Dong,2008
T. Morita,1992
Y. Watanabe,1992
Masaaki Tanaka,1992
Yasuhiro Nakazawa,1992
W.A. Smith,1985
Avner Shaulov,1985
B.A. Auld,1985
K. Nakamura,1977
M. Kazumi,1977
Hiroshi Shimizu,1977
P. Ventura,1998
J.M. Hode,1998
Marc Solal,1998
Jean Desbois,1998
J. Ribbe,1998
Richard Yung Chiao,1997
L.J. Thomas,1997
S.D. Silverstein,1997
Willem Grandia,1995
C.M. Fortunko,1995
J.A. Mann,2002
William F. Walker,2002
Osamu Ikata,1992
T. S. Miyashita,1992
T. Matsuda,1992
Tatsuji Nishihara,1992
Yuhki Satoh,1992
P.J. Phillips,2001
Kazuhiko Yamanouchi,1989
N. Sakurai,1989
T. Satoh,1989
P.V. Wright,1985
Clark T.-C. Nguyen,1995
Michalakis Averkiou,2000
Takeshi Kodama,1986
Hiroshi Kawabata,1986
Y. Yasuhara,1986
Hideyuki Sato,1986
C.S. Lam,2008
Kazuo Tsubouchi,1981
K. Sugai,1981
Nobuo Mikoshiba,1981
Robert Aigner,2008
Leonhard Reindl,1993
Werner Ruile,1993
E. J. Staples,1974
J.S. Schoenwald,1974
Roni Rosenfeld,1974
Clinton S. Hartmann,1974
Toyosaka Moriizumi,1987
Y. Unno,1987
Showko Shiokawa,1987
Kazuhiko Yamanouchi,1975
M Felix Nyffeler,1975
K. Shibayama,1975
P. Ventura,1995
J.M. Hode,1995
Marc Solal,1995
Stewart Sherrit,1999
Sean P. Leary,1999
B.P. Dolgin,1999
Yoseph Bar-Cohen,1999
C.S. Hartmann,1973
Matthew O'Donnell,1979
D. Bauwens,1979
J. W. Mimbs,1979
Jon M. Miller,1979
Volkmar Uhlendorf,1994
C. Hoffmann,1994
Seinosuke Kawashima,1994
Osamu Ohnishi,1994
H. Hakamata,1994
Sanae Tagami,1994
A. Fukuoka,1994
Tsuyoshi Inoue,1994
Shigeki Hirose,1994
M. Lewis,1977
Satoshi Shiokawa,1989
Yoshio Matsui,1989
T. Ueda,1989
G. Kovacs,1992
G.W. Lubking,1992
Michael J. Vellekoop,1992
A. Venema,1992
P. Ventura,1995
J.M. Hode,1995
B. Lopes,1995
Peter C. Burns,1994
Jeffry E. Powers,1994
David Hope Simpson,1994
A. Brezina,1994
A. A. Kolin,1994
Chien Ting Chin,1994
V Uhlendorf,1994
T. Fritzsch,1994
Leonhard Reindl,1996
G. Scholl,1996
Thomas Ostertag,1996
Clemens Ruppel,1996
W. E. Bulst,1996
Frank Seifert,1996
Stefon Shelton,2009
Mei-Lin Chan,2009
Hyun-Kyu Park,2009
David A. Horsley,2009
Bernhard E. Boser,2009
Igor Izyumin,2009
Richard J. Przybyla,2009
Tim Frey,2009
Michael Judy,2009
Kieran Nunan,2009
Firas Sammoura,2009
Ken Yang,2009
Alfred Pohl,1997
Gerald Ostermayer,1997
Leonhard Reindl,1997
Frank Seifert,1997
T.W. Bristol,1972
W. C. Jones,1972
