Name,Year
Rainer Lienhart,2002
Jochen Maydt,2002
Nicolai Wojke,2017
Alex Bewley,2017
Dietrich Paulus,2017
R.G. van Schyndel,1994
Andrew Z. Tirkel,1994
Charles F Osborne,1994
Eero P. Simoncelli,1995
William R. Freeman,1995
Yong Rui,1997
Thomas S. Huang,1997
Sharad Mehrotra,1997
Zhou Wang,2002
Hamid R. Sheikh,2002
Alan C. Bovik,2002
Lei Zhang,2016
Fan Yang,2016
Yimin D. Zhang,2016
Ying Zhu,2016
Eero P. Simoncelli,1996
Edward H. Adelson,1996
Wujun Ma,1997
B.S. Manjunath,1997
Hong-Wei Ng,2014
Stefan Winkler,2014
Lenny I. Rudin,1994
Stanley Osher,1994
Gemma Piella,2003
Henk J. A. M. Heijmans,2003
Pina Marziliano,2002
Frederic Dufaux,2002
Stefan Winkler,2002
Touradj Ebrahimi,2002
Chen Chen,2015
Roozbeh Jafari,2015
Nasser Kehtarnavaz,2015
Raymond B. Wolfgang,1996
Edward J. Delp,1996
Ingemar J. Cox,1996
J. Kilian,1996
T. Leighton,1996
Talal G. Shamoon,1996
Ramarathnam Venkatesan,2000
S.-M. Koon,2000
Mariusz H. Jakubowski,2000
Pierre Moulin,2000
Patrick Teo,1994
David J. Heeger,1994
Minerva M. Yeung,1997
Frederick Cole Mintzer,1997
John Daugman,2002
Shamik Sural,2002
Gang Qian,2002
Sakti Pramanik,2002
Pierre Charbonnier,1994
Laure Blanc-Féraud,1994
G. Aubert,1994
Michel Barlaud,1994
Rajarathnam Chandramouli,2001
Nasir Memon,2001
Zia-ur Rahman,1996
D.J. Jobson,1996
G.A. Woodell,1996
Jan P. Allebach,1996
Ping Kwan Johnny Wong,1996
Simon Masnou,1998
J. Morel,1998
Marc Schneider,1996
Shih-Fu Chang,1996
Huizhong Chen,2011
Sam S. Tsai,2011
Georg Schroth,2011
David J. Chen,2011
Radek Grzeszczuk,2011
Bernd Girod,2011
Bin Li,2014
Ming Wang,2014
Jiwu Huang,2014
Xiaolong Li,2014
Minh N. Do,2002
Martin Vetterli,2002
Aude Oliva,2003
Antonio Torralba,2003
Monica S. Castelhano,2003
John M. Henderson,2003
Alessandro Piva,1997
Mauro Barni,1997
Franco Bartolini,1997
Vito Cappellini,1997
