Name,Year
Johan Löfberg,2004
Radu Bogdan Rusu,2011
Steve B. Cousins,2011
Morgan Quigley,2009
Radu Bogdan Rusu,2009
Nico Blodow,2009
Michael Beetz,2009
James J. Kuffner,2000
Steven M. LaValle,2000
Katsuya Hirai,1998
Hirose M,1998
Y. Haikawa,1998
Toru Takenaka,1998
Shin Kajita,2003
Fumio Kanehiro,2003
Katsumi Kaneko,2003
Koji Fujiwara,2003
Kensuke Harada,2003
Kazuhito Yokoi,2003
Hirohisa Hirukawa,2003
Rainer Kümmerle,2011
Giorgio Grisetti,2011
Hauke Strasdat,2011
Kurt Konolige,2011
Wolfram Burgard,2011
Hans P. Moravec,1985
Alberto Elfes,1985
Daniel Mellinger,2011
Vijay Kumar,2011
Christian Forster,2014
Matia Pizzoli,2014
Davide Scaramuzza,2014
Frank Dellaert,1999
D. B. Fox,1999
Wolfram Burgard,1999
Sebastian Thrun,1999
Yoram Koren,1991
Johann Borenstein,1991
Y. Kanayama,1990
Yuki Kimura,1990
Fumio Miyazaki,1990
Takaaki Noguchi,1990
Kevin Lai,2011
Liefeng Bo,2011
Xiaofeng Ren,2011
Dieter Fox,2011
YangQuan Chen,1991
Gerard Medioni,1991
J. A. van den Berg,2008
Ming C. Lin,2008
Dinesh Manocha,2008
Wolfgang Hess,2016
Damon Kohler,2016
H. Rapp,2016
Daniel Andor,2016
Shixiang Gu,2017
Ethan Holly,2017
Timothy P. Lillicrap,2017
Sergey Levine,2017
Edwin Olson,2011
Lerrel Pinto,2016
Abhinav Gupta,2016
Antonio Bicchi,2000
Vijay Kumar,2000
Michael Milford,2012
Gordon Wyeth,2012
Samir Bouabdallah,2005
Roland Siegwart,2005
Carlo Ferrari,1992
John Canny,1992
Katsumi Kaneko,2004
Fumio Kanehiro,2004
Shin Kajita,2004
Hirohisa Hirukawa,2004
T. Kawasaki,2004
Masayuki Hirata,2004
Kazuhiko Akachi,2004
Takakatsu Isozumi,2004
Samir Bouabdallah,2004
Pierpaolo Murrieri,2004
Roland Siegwart,2004
Robert Bohlin,2000
Lydia E. Kavraki,2000
Ankur Handa,2014
Thomas A. Whelan,2014
John F. McDonald,2014
Andrew J. Davison,2014
Nathan Ratliff,2009
Matt Zucker,2009
J. Andrew Bagnell,2009
Siddhartha S. Srinivasa,2009
Mrinal Kalakrishnan,2011
Sachin Chitta,2011
Evangelos A. Theodorou,2011
Peter Pastor,2011
Stefan Schaal,2011
Sean Quinlan,1993
Oussama Khatib,1993
Felipe Codevilla,2018
Matthias A. Miiller,2018
Antonio M. López,2018
Vladlen Koltun,2018
Alexey Dosovitskiy,2018
Auke Jan Ijspeert,2002
Jun Nakanishi,2002
Stefan Schaal,2002
Dirk Hähnel,2004
Wolfram Burgard,2004
Dieter Fox,2004
Kenneth P. Fishkin,2004
Matthai Philipose,2004
Anusha Nagabandi,2018
Gregory Kahn,2018
Ronald S. Fearing,2018
Sergey Levine,2018
Jaydev P. Desai,1998
James Ostrowski,1998
Vineet Kumar,1998
Wolfram Burgard,2000
Mark Moors,2000
D. B. Fox,2000
Simmons Rl,2000
Sebastian Thrun,2000
Felix Endres,2012
