Name,Year
S.A. Manavski,2007
Venkata Sasank Pagolu,2016
Kamal Chandra Reddy,2016
Ganapati Panda,2016
Babita Majhi,2016
Bhupendra Ingre,2015
Anamika Yadav,2015
Wen Jin,2000
Zhao Li,2000
Luo Wei,2000
Han Zhen,2000
A. Bose,2007
Chuan Heng Foh,2007
Juanjuan Wang,2006
Mantao Xu,2006
Hui Wang,2006
Ji-Wu Zhang,2006
Erik Cambria,2010
Amir Hussain,2010
Tariq S. Durrani,2010
Catherine Havasi,2010
Chris Eckl,2010
James B. Munro,2010
Jing Yu,2010
Chuangbai Xiao,2010
Dapeng Li,2010
Alok Kumar Tripathi,2011
Abhinav Mishra,2011
Jérôme Daniel,2003
Aakanksha Rastogi,2015
Ritika Arora,2015
Shanu Sharma,2015
Bai Tianyang,2012
Rahul Vaze,2012
Robert W. Heath,2012
Xiaofeng Xie,2002
Wenjun Zhang,2002
Zhi-Lian Yang,2002
G Balamurugan,2016
J. Valarmathi,2016
Vps Naidu,2016
Parveen,2015
Amritpal Singh,2015
M.A. Aabed,2007
Sameh M. Awaideh,2007
A.-R.M. Elshafei,2007
Adnan Gutub,2007
Soujanya Poria,2012
Alexander Gelbukh,2012
Erik Cambria,2012
Pei-Pei Yang,2012
Amir Hussain,2012
Tariq S. Durrani,2012
Li Wang,2012
Suresh Rangapillai,2012
Ratul Ghosh,2017
Kuntal Ghosh,2017
Sanjit Maitra,2017
Jerzy Lopatka,2000
Maciej Pedzisz,2000
Jianhua Wu,2006
Pingping Zeng,2006
Yuan Zhou,2006
Christian Olivier,2006
I. Gogul,2017
Vineet Kumar,2017
Yusuf Khan,2012
Nidal Rafiuddin,2012
Omar Farooq,2012
Vikas Vippalapalli,2016
Snigdha Ananthula,2016
J. L. A. de Carvalho,2002
A. F. da Rocha,2002
F.A. de O. Nascimento,2002
J. S. Neto,2002
Luiz Fernando Junqueira,2002
Shaoming Shan,2010
Tao Yuan,2010
R. P. Desale,2013
Sarita Verma,2013
Amitava Nag,2011
Jyoti Prakash Singh,2011
Srabani Khan,2011
Saswati Ghosh,2011
Sushanta Biswas,2011
Debojit Sarkar,2011
Partha Pratim Sarkar,2011
Ruiping Wang,2014
Wenyan Jia,2014
Zhi-Hong Mao,2014
Robert J. Sclabassi,2014
Mingui Sun,2014
Aayush Bhardwaj,2015
Ankit Gupta,2015
Pallav Jain,2015
Asha Rani,2015
Jyoti Yadav,2015
Homa Foroughi,2008
Ali Naseri,2008
A. Saberi,2008
H. Sadoghi Yazdi,2008
A Reema Mathew,2017
P. Babu Anto,2017
Preeti Sinha,2017
Vijay Kumar Jha,2017
Amit Kumar,2017
Bharat Bhushan,2017
D. Sridhar,2013
Iyyanki V. Murali Krishna,2013
K. S. Kumar,2007
Ravindra P. Joshi,2007
K. P. Singh,2007
Jun Du,2014
Yan-Hui Tu,2014
Yong Xu,2014
Li-Rong Dai,2014
Chin-Hui Lee,2014
Rui Sun,2002
Hong Sun,2002
Tianren Yao,2002
Yiding Wang,2010
Kefeng Li,2010
Jiali Cui,2010
Chaitanya Buragohain,2016
Nabajyoti Medhi,2016
Dong Enqing,2002
Liu Guizhong,2002
Zhou Yatong,2002
Zhang Xiaodi,2002
R. Vidhyapriya,2007
P. T. Vanathi,2007
Andrea Bacioccola,2007
Claudio Cicconetti,2007
Luciano Lenzini,2007
Enzo Mingozzi,2007
Alessandro Erta,2007
Mercelin Francis,2019
C. Deisy,2019
Masako Omachi,2010
Shinichiro Omachi,2010
Ramaswamy Palaniappan,2004
Sunil Krishnan,2004
Suchitra,2016
P. Suja,2016
Shikha Tripathi,2016
Monisha Kanakaraj,2015
Ram Mohana Reddy Guddeti,2015
Carelin Felix,2011
I. Jacob Raglend,2011
Harshal Waghmare,2016
Radha Kokare,2016
Yogesh H. Dandawate,2016
S. Kawato,2000
Jun Ohya,2000
Liu Quan,2004
Ai Qingsong,2004
Fatemeh Zamani,2006
Reza Safabakhsh,2006
Ayodeji Olalekan Salau,2019
Shruti Jain,2019
Ayman AbuBaker,2007
Rami Qahwaji,2007
Stanley S. Ipson,2007
Mohmmad H. Saleh,2007
Anirudh Agarwal,2016
Shivangi Dubey,2016
Mohd Shahnawaz Khan,2016
Ranjan Gangopadhyay,2016
Soumitra Debnath,2016
Madhumita Panda,2016
Zhiming Wang,2006
Jianhua Tao,2006
Dong Soo Han,2008
Zhenhua Guo,2008
Dengfeng Zhang,2008
Douglas Chai,2005
F. Hock,2005
Mounir Bousbia-Salah,2007
Abdelghani Redjati,2007
Mohamed Fezari,2007
Maamar Bettayeb,2007
