Name,Year
Hecht-Nielsen,1989
Guang-Bin Huang,2004
Qin-Yu Zhu,2004
Chee-Kheong Siew,2004
D Nguyen,1990
Bernard Widrow,1990
Marco Gori,2005
Gabriele Monfardini,2005
Franco Scarselli,2005
Alex Graves,2005
Jürgen Schmidhuber,2005
Haibo He,2008
Yang Bai,2008
Edwardo A Garcia,2008
Shutao Li,2008
P. Diehl,2015
Daniel Neil,2015
Jonathan Binas,2015
Matthew C. Cook,2015
Shih-Chii Liu,2015
Michael Pfeiffer,2015
Johannes Stallkamp,2011
Marc Schlipsing,2011
Jan Salmen,2011
Christian Igel,2011
Gregory H. Cohen,2017
Saeed Afshar,2017
Jonathan Tapson,2017
André van Schaik,2017
Srinivas Mukkamala,2002
Guadalupe I. Janoski,2002
Andrew H. Sung,2002
Marcus D. Odom,1990
Ramesh Sharda,1990
Takashi Kimoto,1990
Kazuo Asakawa,1990
M. Yoda,1990
M. Takeoka,1990
Pierre Sermanet,2011
Yann LeCun,2011
Sebastian Houben,2013
Johannes Stallkamp,2013
Jan Salmen,2013
Marc Schlipsing,2013
Christian Igel,2013
Felix A. Gers,2000
Jürgen Schmidhuber,2000
Jürgen Schmidhuber,1991
Teuvo Kohonen,1990
Nguyen,1989
Widrow,1989
Holler,1989
Tam,1989
Castro,1989
Benson,1989
Kai Keng Ang,2008
Zhang Yang Chin,2008
Haihong Zhang,2008
Cuntai Guan,2008
Tao Xiong,2005
Vladimir Cherkassky,2005
Samuel J. Lawrence,2000
C. Lee Giles,2000
Samuel Kaski,1998
David R. Nelson,2017
Adriano C. M. Pereira,2017
Renato Aparecido Negrao De Oliveira,2017
Dan Ciresan,2011
Ueli Meier,2011
Jonathan Masci,2011
Jürgen Schmidhuber,2011
Sascha Lange,2010
Martin Riedmiller,2010
Shoujin Wang,2016
Wei Liu,2016
Jia Wu,2016
Longbing Cao,2016
Qinxue Meng,2016
Paul J. Kennedy,2016
Foldiak,1989
Alex Graves,2005
Jürgen Schmidhuber,2005
Vladimir Vapnik,2009
Akshay Vashist,2009
Jie Ma,2003
Simon Perkins,2003
Theodore B. Trafalis,2000
Hüseyin Ince,2000
James C. Bezdek,2002
Richard J. Hathaway,2002
Markus Mathias,2013
Radu Timofte,2013
Rodrigo Benenson,2013
Luc Van Gool,2013
M. Ijaz Khan,2008
David Lester,2008
Luis A. Plana,2008
Alexander D. Rast,2008
X. Jin,2008
Eustace Painkras,2008
Steve Furber,2008
Julian Eggert,2004
Edgar Körner,2004
Michael Dittenbach,2000
Dieter Merkl,2000
Andreas Rauber,2000
Pasi Koikkalainen,1990
Erkki Oja,1990
Johannes Schemmel,2008
J. Fieres,2008
Karlheinz Meier,2008
Dan Hammerstrom,1990
Shahrzad Faghih-Roohi,2016
Siamak Hajizadeh,2016
Simone Baldi,2016
Robert Babuska,2016
Bart De Schutter,2016
Gintaras Vincent Puskorius,1991
Lee Albert Feldkamp,1991
Rosenblatt,1989
Payton,1989
Eric Arazo,2020
Diego Ortego,2020
Paul S. Albert,2020
Noel E. O'Connor,2020
Kevin McGuinness,2020
Dileep George,2005
Jeff Hawkins,2005
Linden,1989
Kindermann,1989
Christopher P. Diehl,2003
Gert Cauwenberghs,2003
Andrew Cassidy,2013
Paul A. Merolla,2013
John M. Arthur,2013
Steve K. Esser,2013
Bryan L. Jackson,2013
Rodrigo Alvarez-Icaza,2013
Pallab Datta,2013
Jun-ichi Sawada,2013
Theodore M. Wong,2013
Vitaly Feldman,2013
Arnon Amir,2013
Daniel L. Rubin,2013
Filipp Akopyan,2013
Emmett McQuinn,2013
William P. Risk,2013
Dharmendra S. Modha,2013
Július Koza,1991
James P. Rice,1991
Nguyen Thai-Nghe,2010
Zeno Gantner,2010
Lars Schmidt-Thieme,2010
Robert Hecht-Nielsen,1989
Kazuyuki Hara,2015
Daisuke Saito,2015
Hayaru Shouno,2015
Ondrej Linda,2009
Todd Vollmer,2009
Milos Manic,2009
Young Ho Shin,1991
Joydeep Ghosh,1991
Mahmood Yousefi-Azar,2017
Vijay Varadharajan,2017
Len Hamey,2017
Uday Tupakula,2017
Stinchcombe,1989
White,1989
Abhishek K. Singh,2009
Jose C. Principe,2009
R. Vilela Mendes,2002
Paulo Cortez,2002
Marcos Fábio Gadelha Rocha,2002
José Neves,2002
Maciej A. Mazurowski,2008
Piotr A. Habas,2008
Jacek M. Zurada,2008
Joseph Y. Lo,2008
Jay A. Baker,2008
Georgia D. Tourassi,2008
T. Inoue,2001
Shinsuke Abe,2001
Tobi Delbruck,1991
Sojeong Ha,2016
Seungjin Choi,2016
Guibin Chen,2017
Deheng Ye,2017
Zhenchang Xing,2017
Jieshan Chen,2017
Erik Cambria,2017
Emre Cakir,2015
Toni Heittola,2015
Heikki Huttunen,2015
Tuomas Virtanen,2015
White,1989
A.P. Wieland,1991
Yoshua Bengio,1991
Samy Bengio,1991
Jocelyn Cloutier,1991
Smits Guido Freddy,2002
Elsa M. Jordaan,2002
Devang Naik,1992
Richard J. Mammone,1992
J.delR. Millan,2004
Jiun-Haw Chu,2010
Jun Wang,2010
Roberto Calandra,2016
Jan Peters,2016
Carl Edward Rasmussen,2016
Marc Peter Deisenroth,2016
Jordan,1989
Kristin P. Bennett,1998
Jennifer Alaine Blue,1998
Christopher J McDermott,2018
Farzan Majdani,2018
Andrei Petrovski,2018
Markus Eisenbach,2017
Ronny Stricker,2017
Daniel Seichter,2017
Karl Amende,2017
Klaus Debes,2017
Maximilian Sesselmann,2017
Dirk Ebersbach,2017
U Stoeckert,2017
Horst-Michael Gross,2017
Bogdan M. Wilamowski,2001
Serdar Iplikci,2001
Okyay Kaynak,2001
Mehmet Önder Efe,2001
