Name,Year
E. Hammerstad,1980
O. Jensen,1980
Charles H. Goldsmith,2001
John C. Ehmke,2001
A. Malczewski,2001
Brandon W. Pillans,2001
S. Eshelman,2001
Zhonghua Yao,2001
James Brank,2001
Matthew D. Eberly,2001
Ashwin K. Iyer,2002
George V. Eleftheriades,2002
Christophe Caloz,2003
Tatsuo Itoh,2003
H. Miyake,1997
Shoichi Kitazawa,1997
Takashi Ishizaki,1997
Toru Yamada,1997
Y. Nagatomi,1997
Ulrich Emanuel Gysel,1975
Daniel M. Dobkin,2005
Steven Weigand,2005
Yoshihisa Takayama,1976
Ching-Luh Hsu,2005
Fu-Chieh Hsu,2005
J.F. Kuo,2005
Amy Droitcour,2001
Victor Lubecke,2001
Jiali Lin,2001
Olga Boric-Lubecke,2001
Kang Li,2005
Daisaku Kurita,2005
Toshiaki Matsui,2005
Charles H. Goldsmith,1996
John N. Randall,1996
S. Eshelman,1996
Tai-Hua Lin,1996
D. Denniston,1996
S. J. Chen,1996
Beth Norvell,1996
S. H. Kim,1996
Dean P. Neikirk,1996
Hiroshi Shigesawa,1988
M. Tsjui,1988
Arthur A. Oliner,1988
S.P. Pacheco,2000
Linda P. B. Katehi,2000
C. N. Nguyen,2000
J.A. Curtis,1991
S.J. Fiedziuszko,1991
Mitsumasa Iwamoto,2001
Alexander T. Williams,2001
P.F. Chen,2001
A. Metzger,2001
Chengzhou Wang,2001
Lawrence E. Larson,2001
Peter M. Asbeck,2001
Yoke-Choy Leong,1999
Sander Weinreb,1999
Charles H. Goldsmith,1995
Tsen-Hwang Lin,1995
Billy Powers,1995
Wen-Rong Wu,1995
Bill R. Norvell,1995
S.C. Cripps,1983
David K. Lovelace,1994
J. Ribamar Costa,1994
N. Camilleri,1994
Deslandes,2010
T. Krems,1996
W.H. Haydl,1996
Hermann Massler,1996
Jan Rudiger,1996
Hitoshi Ishida,2004
Kiyomichi Araki,2004
Jan Verspecht,1995
P. Debie,1995
Alain Barel,1995
Luc Martens,1995
A. Podell,1970
Arthur A. Oliner,1986
K. S. Lee,1986
S.L. March,1982
Dominic Deslandes,2001
Ke Wu,2001
Hideaki Ishida,2004
Kiyomichi Araki,2004
Shilpa Talwar,2014
Debabani Choudhury,2014
Konstantinos Dimou,2014
Ehsan Aryafar,2014
Boyd Bangerter,2014
Kenneth A. Stewart,2014
M. Makimoto,1980
S. Yamashita,1980
Joseph Staudinger,2000
Benjamin R. Gilsdorf,2000
David A. Newman,2000
Greg Norris,2000
G. Sadowniczak,2000
Robert B. Sherman,2000
T. Quach,2000
Y.C. Shih,1988
T.-N. Ton,1988
L.Q. Bui,1988
Vladimir Aparin,1999
Charles J. Persico,1999
William L. Bishop,1987
K. McKinney,1987
R.J. Mattauch,1987
Thomas W. Crowe,1987
G. Green,1987
T. Van Den Broeck,1994
Jan Verspecht,1994
M. Kirschning,1983
R.H. Jansen,1983
N.H.L. Koster,1983
Wonbin Hong,2014
Kwanghun Baek,2014
Young-Ju Lee,2014
Youngsoo Kim,2014
Douglas R. Jachowski,2005
S.J. Parisi,1989
M. Makimoto,1986
Misuzu Sagawa,1986
Alirio Boaventura,2011
Nuno Borges Carvalho,2011
Ronny Hadani,2017
Shlomo Selim Rakib,2017
Andreas F. Molisch,2017
Christian Ibars,2017
Anton Monk,2017
Michail Tsatsanis,2017
Jim Delfeld,2017
Andrea Goldsmith,2017
Robert Calderbank,2017
F.H. Raab,2003
Neal R. Erickson,1990
Dimitrios Peroulis,2001
Sidney Pacheco,2001
Kamal Sarabandi,2001
Linda P. B. Katehi,2001
J.J. Schlesak,1988
A. Alden,1988
Tatsuya Ohno,1988
Imad. Jalaly,2005
Ian D. Robertson,2005
Andrei Grebennikov,2002
H. Jaeger,2002
W.R. Curtice,1999
Jesús Pla,1999
D. O. Bridges,1999
T. Jake Liang,1999
E.E. Shumate,1999
Frederick W. Vook,2014
Amitava Ghosh,2014
Timothy S. Thomas,2014
Sidney Pacheco,1998
C. N. Nguyen,1998
Linda P. B. Katehi,1998
Xiaobin Yuan,2005
J. K. Hwang,2005
David I. Forehand,2005
Charles H. Goldsmith,2005
Kenji Ohata,2003
Kenichi Maruhashi,2003
Masaaki Ito,2003
Shunji Kishimoto,2003
Kazuhiro Ikuina,2003
Teruto Hashiguchi,2003
Katsunori Ikeda,2003
Norio Takahashi,2003
John F. Sevic,1998
K.L. Burger,1998
Michael B. Steer,1998
M. Roberton,2003
Elliott R. Brown,2003
Nihad Dib,1991
W.P. Harokopus,1991
P.B. Katehi,1991
C.C. Ling,1991
Gabriel M. Rebeiz,1991
Takeji Nishikawa,1987
K. Wakino,1987
Hitoshi Tamura,1987
Hiroshi Tanaka,1987
Yoshikazu Ishikawa,1987
S. B. Majumder,2003
James Lampen,2003
R. J. Morrison,2003
John Maciel,2003
Shunichi Sugawara,1997
Y. Maita,1997
Koichiro Adachi,1997
Kenji Mori,1997
Koji Mizuno,1997
S. T. Martin,2001
B. Nakamura,2001
Adrian K. Fung,2001
Pete Smith,2001
J. Bruston,2001
Alain Maestrini,2001
F. Maiwald,2001
Paul B. Siegel,2001
Erich Schlecht,2001
Imran Mehdi,2001
Ana Collado,2012
Apostolos Georgiadis,2012
Anthony M. Pavio,1990
A. Kikel,1990
R.G. Freitag,1992
Janet Keyzer,2001
J.M. Hinrichs,2001
Andre G. Metzger,2001
Mitsumasa Iwamoto,2001
Ian Galton,2001
Peter M. Asbeck,2001
Vittorio Rizzoli,1990
Antonio Costanzo,1990
C. Cecchetti,1990
A. Platzker,1990
A. Palevsky,1990
S. Nash,1990
W. Struble,1990
Yusuke Tajima,1990
A. Riddle,1988
Johannes Benedikt,2000
R. Gaddi,2000
Paul J. Tasker,2000
Michael J. Goss,2000
Mehdi Karbalaye Zadeh,2000
Fuqiang Wang,2005
Donald F. Kimball,2005
Jürgen Popp,2005
Aidong Yang,2005
Donald Y.C. Lie,2005
Peter M. Asbeck,2005
Lawrence E. Larson,2005
Walid A. Atia,1998
Kawthar A. Zaki,1998
A.E. Atia,1998
Tsuneo Tokumitsu,1990
Takeshi Hiraoka,1990
H. Nakamoto,1990
T. Takenaka,1990
Lei Zhu,2000
Huizheng Bu,2000
Ke Wu,2000
Koen Buisman,2005
L.C.N. de Vreede,2005
Lawrence E. Larson,2005
Marco Spirito,2005
A. Akhnoukh,2005
T.L.M. Scholtes,2005
Lis K. Nanver,2005
F.C. de Ronde,1970
I-Hsiang Lin,2003
Christophe Caloz,2003
Tatsuo Itoh,2003
Binh Thai Pham,2013
Anh-Vu Pham,2013
A. N. Zhu,2003
M. Wren,2003
Thomas J. Brazil,2003
Timo Jaeschke,2013
Christian Bredendiek,2013
Nils Pohl,2013
Giampiero Gerini,1998
Marco Guglielmi,1998
David A. Williams,2003
C. H. Wang,2003
Uwe Arz,2003
S.E. Krakiwsky,2004
L.E. Turner,2004
Michal Okoniewski,2004
Hidenori Kobayashi,2001
J.M. Hinrichs,2001
Peter M. Asbeck,2001
Rich Fletcher,2009
Jing Han,2009
Wolfgang Heinrich,1998
A. Jentzsch,1998
Gert Baumann,1998
Mina Danesh,1998
Jonathan Long,1998
R.A. Hadaway,1998
David L. Harame,1998
M. Schussler,2004
J. Freese,2004
R. Jakoby,2004
Shunichi Sugawara,1998
Yuki Maita,1998
Koichiro Adachi,1998
Kenji Mori,1998
Koji Mizuno,1998
T.J. Ellis,1996
Gabriel M. Rebeiz,1996
Zhiyong Liu,2004
R. Forse,2004
Dana M. Chase,2004
Robert A. York,2004
M.C. Tsai,1993
Michael Dydyk,1990
Nuno Borges Carvalho,2000
Jose C. Pedro,2000
Ramon Beltran,2009
Frederick H. Raab,2009
Arturo Velazquez,2009
Robert Aigner,2003
J. Kaitila,2003
Juha Ellä,2003
Lueder Elbrecht,2003
Winfried Nessler,2003
Martin Handtmann,2003
Thomas Herzog,2003
Stephan Marksteiner,2003
Lei Ding,2013
Fernando A. Mujica,2013
Zigang Yang,2013
Andrew C. Guyette,2005
Ian W. Hunter,2005
Roger D. Pollard,2005
Douglas R. Jachowski,2005
Xiaobin Yuan,2004
S.V. Cherepko,2004
J. K. Hwang,2004
Charles H. Goldsmith,2004
C. Nordqusit,2004
Christopher W. Dyck,2004
Hiroshi Hamada,2018
Takuya Fujimura,2018
Ibrahim Abdo,2018
Kenichi Okada,2018
Ho-Jin Song,2018
Dae-Hyun Kim,2018
Hideaki Matsuzaki,2018
Hideyuki Nosaka,2018
Winfried Bakalski,2002
Werner Simburger,2002
Hartwig Knapp,2002
Hans-Dieter Wohlmuth,2002
Arpad L. Scholtz,2002
Paul J. Watson,1998
K.C. Gupta,1998
Roop L. Mahajan,1998
Frank Ellinger,2004
Thomas Morf,2004
Gene Van Buren,2004
C. Kromer,2004
G. Sialm,2004
L. Rodoni,2004
Martin L. Schmatz,2004
Heinz Jäckel,2004
Robert Aigner,2005
Ngoc-Hoa Huynh,2005
Martin Handtmann,2005
Stephan Marksteiner,2005
S.S. Ghassemzadeh,2003
Vahid Tarokh,2003
Inder J. Bahl,1989
Dimitrios Peroulis,2000
Sidney Pacheco,2000
Kamal Sarabandi,2000
P.B. Katehi,2000
Thomas Kaufmann,2008
Christophe Fumeaux,2008
Rudiger Vahldieck,2008
Yuanxun Ethan Wang,2003
Jean-Marie Paillot,1990
Jean-Christophe Nallatamby,1990
M. Hessane,1990
Raymond Quéré,1990
Michel Prigent,1990
Jean-Luc Rousset,1990
Kimitaka Itoh,1991
Akira Iida,1991
Y. Sasaki,1991
Shuji Urasaki,1991
Xiaoping Chen,2009
Ke Wu,2009
Noriaki Kaneda,1999
Yongxi Qian,1999
Tatsuo Itoh,1999
Jianjun Xu,2014
Rob Jones,2014
Scott A. Harris,2014
Troels Nielsen,2014
David E. Root,2014
K.H.G. Duh,1990
P.C. Chao,1990
P. Michael Ho,1990
A. Tessmer,1990
Shuai Liu,1990
M.Y. Kao,1990
Pete Smith,1990
J.M. Ballingall,1990
Fei-Ran Yang,1999
Yongxi Qian,1999
Tatsuo Itoh,1999
Edward I. Ackerman,2007
Gary E. Betts,2007
W.K. Burns,2007
Joe C. Campbell,2007
Charles H. Cox,2007
Ning Duan,2007
J.L. Prince,2007
M.D. Regan,2007
H. Roussell,2007
Colin Sheldon,2009
Munkyo Seo,2009
Eric Torkildson,2009
Mark J. W. Rodwell,2009
Upamanyu Madhow,2009
Dominic Deslandes,2010
Xiaoxiong Gu,2017
Duixian Liu,2017
Christian W. Baks,2017
Ola Tageman,2017
Bodhisatwa Sadhu,2017
Joakim Hallin,2017
Leonard Rexberg,2017
Alberto Valdes-Garcia,2017
A. Platzker,1993
W. Struble,1993
K.T. Hetzler,1993
Jose E. Rayas-Sanchez,2008
Vladimir Gutiérrez-Ayala,2008
Jung-Chih Chiao,1999
Yiton Fu,1999
Iao Mak Chio,1999
M. DeLisio,1999
Lih-Yuan Lin,1999
Jeremy B. Muldavin,2001
Gabriel M. Rebeiz,2001
Wei Chen,2012
R. A. Chinga,2012
S. Yoshida,2012
