Name,Year
F. Brglez,1989
D. Bryan,1989
K. Kozminski,1989
Yann LeCun,2010
Koray Kavukcuoglu,2010
Clement Farabet,2010
C.W. Farrow,1988
Johannes Schemmel,2010
Daniel Briiderle,2010
Andreas Griibl,2010
Matthias Hock,2010
Karlheinz Meier,2010
Sebastian Millner,2010
L.P.P.P. van Ginneken,1990
Lothar Thiele,2000
Sudip Chakraborty,2000
Martin Naedele,2000
Jason N. Laska,2007
S. Kirolos,2007
M. Teresa Duarte,2007
T. Ragheb,2007
Richard G. Baraniuk,2007
Yehia Massoud,2007
Woogeun Rhee,1999
Brian P. Ginsburg,2005
Anantha P. Chandrakasan,2005
"Wong, Kwan-wai, Sammy.",2002
Chi-Ying Tsui,2002
Roger Shu Kwan Cheng,2002
Wai Ho Mow,2002
T.C. Weigandt,1994
Beomsup Kim,1994
Paul R. Gray,1994
Jerry Hughes,1989
Neil C. Bird,1989
I.C. Macbeth,1989
Leon O. Chua,1988
L. Yang,1988
Johan A. K. Suykens,2000
L. Lukas,2000
Joos Vandewalle,2000
Reid R. Harrison,2007
Byung-Do Yang,2007
Jae-Eun Lee,2007
Jangsu Kim,2007
Junghyun Cho,2007
Seung-Yun Lee,2007
Byoung-Gon Yu,2007
Lang Tong,1990
V.C. Soon,1990
Y. Huang,1990
Ru-Shi Liu,1990
Clement Farabet,2010
Berin Martini,2010
Polina Akselrod,2010
S. Talay,2010
Yann LeCun,2010
Eugenio Culurciello,2010
James Llinas,1998
D. Hall,1998
Hisham Abdalla,2011
Matthew D. Pickett,2011
Chunhua Chen,2008
Yuankai Shi,2008
Tobi Delbruck,2010
Bernabe Linares-Barranco,2010
Eugenio Culurciello,2010
Christoph Posch,2010
Saket Srivastava,2011
Arjun Asthana,2011
Sanjukta Bhanja,2011
Sudeep Sarkar,2011
Giacomo Indiveri,2003
Eric A. Vittoz,1990
Partha Pratim Pande,2003
C. Grecu,2003
Andrew Ivanov,2003
Resve A. Saleh,2003
Tobi Delbruck,1994
Carver A. Mead,1994
Jui-Cheng,2000
Jiun-In Guo,2000
Xiaomin Chen,2002
Sayfe Kiaei,2002
Raffaele Parisi,1998
E.D. Di Claudio,1998
G. Lucarelli,1998
G. Orlandi,1998
Shujun Li,2002
Xuan Zheng,2002
R.B. Deokar,1994
Sachin S. Sapatnekar,1994
Wei Han,2006
Cheong-Fat Chan,2006
Chiu-Sing Choy,2006
Kong-Pang Pun,2006
Youngsik Hur,2006
Jong-Kyu Park,2006
Wai Lok Woo,2006
K. E. Lim,2006
Chun-Sing Lee,2006
Hyun-Chul Kim,2006
J. Laskar,2006
Jacek M. Zurada,1994
Aleksander Malinowski,1994
Ian Cloete,1994
Jaime Ramirez-Angulo,2002
Ramon G. Carvajal,2002
Antonio Torralba,2002
Javier Galan,2002
A.P. Vega-Leal,2002
J. Tombs,2002
Christian Enz,1996
Eric A. Vittoz,1996
M. Wenk,2006
Martin Zellweger,2006
Andreas Burg,2006
Norbert Felber,2006
Wolfgang Fichtner,2006
Yining Deng,1999
Charles Kenney,1999
M.S. Moore,1999
B.S. Manjunath,1999
Mohamad Kachuee,2015
Mohammad F. Kiani,2015
Hoda Mohammadzade,2015
Mahdi Shabany,2015
Thitiporn Chanwimaluang,2003
Guoliang Fan,2003
Yajuan He,2005
Chip-Hong Chang,2005
Jiangmin Gu,2005
T.C. Leslie,1990
Baljinder Singh,1990
