Name,Year
Lee Freitag,2005
Martin Grund,2005
S. K. Singh,2005
Jim Partan,2005
Peter Koski,2005
Keenan Ball,2005
Milica Stojanovic,2006
Donald E. Barrick,1972
Justin Manley,2008
Charles E. Thorpe,1984
Larry Matthies,1984
Peng Xie,2009
Zhong Zhou,2009
Zheng Peng,2009
Hai Yan,2009
Tiansi Hu,2009
Jun-Hong Cui,2009
Zhijie Shi,2009
Yunsi Fei,2009
Shengli Zhou,2009
Volkan Rodoplu,2005
Min S. Park,2005
M. Kocic,1995
David J. Brady,1995
Milan Stojanovic,1995
Musa Morena Marcusso Manhaes,2016
Sebastian Scherer,2016
Martin H. Voss,2016
Luiz Ricardo Douat,2016
Thomas Rauschenbach,2016
B. Allen,1997
R. Stokey,1997
T. Austin,1997
Forrester Ned C,1997
R. Goldsborough,1997
M. Purcell,1997
C. von Alt,1997
J. Curcio,2005
John J. Leonard,2005
A. Patrikalakis,2005
F. Salva-Garau,2003
Milan Stojanovic,2003
James Evans,2003
Paul Redmond,2003
Costas Plakas,2003
K. Hamilton,2003
David A. Lane,2003
Mandar Chitre,2008
Shiraz Shahabudeen,2008
Lee Freitag,2008
Milica Stojanovic,2008
B. Allen,2006
T. Austin,2006
Forrester Ned C,2006
R. Goldsborough,2006
A. Kukulya,2006
G. Packard,2006
M. Purcell,2006
R. Stokey,2006
N. Fair,2005
Alan D. Chave,2005
Lee Freitag,2005
James C. Preisig,2005
S. N. White,2005
Dana R. Yoerger,2005
Frederick Sonnichsen,2005
M.B. Larsen,2000
Baosheng Li,2006
Shengli Zhou,2006
Milica Stojanovic,2006
Lee Freitag,2006
Riccardo Masiero,2012
Saiful Azad,2012
Federico Favaro,2012
Matteo Petrani,2012
Giovanni Toso,2012
Federico Guerra,2012
Paolo Casari,2012
Michele Zorzi,2012
José Carlos Pinto,2013
Paulo Dias,2013
Ricardo Silveira Martins,2013
João Fortuna,2013
Eduardo Marques,2013
João M. C. Sousa,2013
Eric Gallimore,2010
Jim Partan,2010
Ian Vaughn,2010
Sandipa Singh,2010
Jon Shusta,2010
Lee Freitag,2010
Morten Breivik,2004
Thor I. Fossen,2004
Antonio M. Pascoal,2000
Pedro Oliveira,2000
C. Silvestre,2000
L. Sebastiao,2000
Margarita Rufino,2000
Victor Barroso,2000
José R. B. Gomes,2000
G. Ayela,2000
P. Coince,2000
M. Cardew,2000
Anthony J. Ryan,2000
H. Braithwaite,2000
N. Cardew,2000
J. Trepte,2000
N. Seube,2000
Joël Champeau,2000
Philippe Dhaussy,2000
V. Sauce,2000
R. Moitie,2000
Renato L. Santos,2000
Frederico Cardigos,2000
M. Brussieux,2000
Paul R. Dando,2000
Mandar Chitre,2004
John F. Potter,2004
O.S. Heng,2004
J. E. Rice,2000
B. Creber,2000
Christopher D.M. Fletcher,2000
Paul A. Baxley,2000
Keith Rogers,2000
K. T. McDonald,2000
D. L. Rees,2000
Matthias Wolf,2000
S Merriam,2000
Rami Mehio,2000
John G. Proakis,2000
