Name,Year
Jack Kennedy,1997
Russell C. Eberhart,1997
Rodney A. Brooks,1983
Nikunj C. Oza,2005
F. Lau,2000
Stuart H. Rubin,2000
M.H. Smith,2000
Ljiljana Trajkovic,2000
Du Mingxiao,2017
Ma Xiaofeng,2017
Zhang Zhe,2017
Wang Xiangwei,2017
Chen Qijun,2017
Timothy J. Vogus,2007
Kathleen M. Sutcliffe,2007
Andre Gensler,2016
Janosch Henze,2016
Bernhard Sick,2016
Nils Raabe,2016
D. Engels,2002
Sanjay E. Sarma,2002
Alessandro Giua,1992
Frank DiCesare,1992
M. L. Gonzalez Silva,1992
Harald Vogt,2002
Georg Frey,2000
Lothar Litz,2000
Hitoshi Kawamoto,2003
Suwoong Lee,2003
S. Kanbe,2003
Yoshiyuki Sankai,2003
Haruhisa Kitano,1999
Satoshi Tadokoro,1999
Itsuki Noda,1999
Hiroshi Matsubara,1999
Tadayuki Takahashi,1999
Ayano Shinjou,1999
Shiro Shimada,1999
F. van den Bergh,2002
Andries P. Engelbrecht,2002
Danijela Vukadinovic,2005
Maja Pantic,2005
Jani Mäntyjärvi,2001
Johan Himberg,2001
Tapio Seppänen,2001
Holly A. Yanco,2004
Jill L. Drury,2004
Yuqing Chen,2015
Yang Xue,2015
Kashif Iqbal,2010
M.O. Odetayo,2010
Anne James,2010
Rosalina Abdul Salam,2010
Abdullah Zawawi Talib,2010
Zhenyu He,2009
Lianwen Jin,2009
Dipankar Dasgupta,1997
Nii Attoh-Okine,1997
T.L. Brooks,1990
Jessica Fridrich,1997
Ronald M. Pickett,1988
Georges Grinstein,1988
Mehmet Ergezer,2009
Dan Simon,2009
Dawei Du,2009
Jill L. Drury,2003
Jean Scholtz,2003
Holly A. Yanco,2003
Anil K. Jain,1990
Farshid Farrokhnia,1990
Yang Cheng,2005
Mark Maimone,2005
Larry Matthies,2005
Ching-Ping Wong,2002
Panos M. Pardalos,2002
Aznifa Mahyam Zaharudin,2002
Vivek Agarwal,2002
Jacob W. Crandall,2001
Michael A. Goodrich,2001
Zvi Boger,1997
H. Guterman,1997
Ludmila I. Kuncheva,2004
Stefan Hadjitodorov,2004
Jun Sun,2005
Wenbo Xu,2005
Shengyu Xu,2005
Christian Vogler,1997
Dimitris N. Metaxas,1997
Wen-Jun Zhang,2003
Xiao-Feng Xie,2003
D.D. Cox,1992
S. John,1992
Peng Ning,2003
Kun Sun,2003
Dawei Du,2009
Dan Simon,2009
Mehmet Ergezer,2009
Thorsten Holz,2005
F. Raynal,2005
Dominic Greenwood,2004
Monique Calisti,2004
N.N. Karnik,1998
Jerry M. Mendel,1998
A. Helsinger,2004
Margot Thome,2004
T. Wright,2004
Chunkai Zhang,2000
Huihe Shao,2000
Yu You Li,2000
Hisao Ishibuchi,2009
Yuji Sakane,2009
Noritaka Tsukamoto,2009
Yusuke Nojima,2009
Christopher D. Wickens,1992
Masaaki Tanaka,1995
Hiroshi Watanabe,1995
Yoshio Furukawa,1995
Tetsuzo Tanino,1995
Hitoshi Kawamoto,2002
Yoshiyuki Sankai,2002
Sinan Kockara,2007
Tansel Halic,2007
Khalid Iqbal,2007
Coskun Bayrak,2007
Richard Rowe,2007
Marian Stewart Bartlett,2004
Gwen Littlewort,2004
Claudia Lainscsek,2004
Ian Fasel,2004
Javier R. Movellan,2004
