Name,Year
Yuya Saito,2013
Yoshihisa Kishiyama,2013
Anass Benjebbour,2013
Takehiro Nakamura,2013
Anxin Li,2013
Kenichi Higuchi,2013
J.-J. van de Beek,1995
Ove Edfors,1995
Magnus Sandell,1995
Stephen J. Wilson,1995
Per Ola Börjesson,1995
A. Jalali,2000
Renato Padovani,2000
Rajesh K. Pankaj,2000
Wonjong Rhee,2000
John M. Cioffi,2000
Thomas S. Weiss,2004
J. Hillenbrand,2004
Albert Krohn,2004
Friedrich K. Jondral,2004
Fred Richter,2009
Albrecht Fehske,2009
Gerhard Fettweis,2009
Dakshi Agrawal,1998
Vahid Tarokh,1998
Ayman Fawzy Naguib,1998
Nambirajan Seshadri,1998
Josep Colom Ikuno,2010
Martin Wrulich,2010
Markus Rupp,2010
Martin J. Russell,1995
Gordon L. Stuber,1995
V.S. Abhayawardhana,2005
Ian J. Wassell,2005
D. Crosby,2005
M.P. Sellars,2005
M.G. Brown,2005
Shlomo Shamai,2001
Benjamin M. Zaidel,2001
Dirk Wubben,2003
Ronald Böhnke,2003
Volker Kuhn,2003
Karl-Dirk Kammeyer,2003
Gerhard Fettweis,2009
Marco Krondorf,2009
Steffen Bittner,2009
Pekka Janis,2009
Visa Koivunen,2009
Cassio Ribeiro,2009
Juha S. Korhonen,2009
Klaus Doppler,2009
Klaus Hugl,2009
D. S. Baum,2005
J. Hansen,2005
J. Salo,2005
Rohit Negi,2005
Swati Goel,2005
J. Caffery,2000
Per Larsson,2006
Niklas J. Johansson,2006
Kai-Erik Sunell,2006
Jason LeBrun,2005
Chen-Nee Chuah,2005
Dipak Ghosal,2005
Ming Zhang,2005
Enrique Stevens-Navarro,2006
V. W. S. Wong,2006
Elham Kalantari,2016
Halim Yanikomeroglu,2016
Abbas Yongacoglu,2016
Joseph C. Liberti,1996
Theodore S. Rappaport,1996
Petar Popovski,2006
Hiroyuki Yomo,2006
G. Paganelli,2002
Sebastien Delprat,2002
Thierry Marie Guerra,2002
J. Rimaux,2002
J.-J. Santin,2002
Allen Salmasi,1991
Klein S. Gilhousen,1991
R. van Nee,1998
A. de Wild,1998
Eugene Visotsky,1999
Upamanyu Madhow,1999
Chia-Hao Yu,2009
Olav Tirkkonen,2009
Klaus Doppler,2009
Cassio Ribeiro,2009
Stefan Parkvall,2008
Erik Dahlman,2008
Anders Furuskär,2008
Ylva Jading,2008
Magnus Olsson,2008
Stefan Wänstedt,2008
Kambiz Zangi,2008
R.J. Punnoose,2000
Pavel Nikitin,2000
Daniel D. Stancil,2000
Gian Paolo Perrucci,2011
Frank H. P. Fitzek,2011
Joerg Widmer,2011
F. Classen,1994
Heinrich Meyr,1994
A. Wittneben,1991
Xiang Gao,2011
Ove Edfors,2011
Fredrik Rusek,2011
Fredrik Tufvesson,2011
Christian Sturm,2009
Thomas Zwick,2009
Werner Wiesbeck,2009
Klaus I. Pedersen,2000
Johannes Andersen,2000
Jean-Philippe Kermoal,2000
Preben Mogensen,2000
H. Xie,1993
S. Tabbane,1993
David J. Goodman,1993
Valeria Loscri,2005
G. Morabito,2005
