Name,Year,Gender
Petros Ioannou,1995,M
Jing Sun,1995,F
Neville Hogan,1984,M
Mina Fazel,2001,F
Haitham Hindi,2001,F
Stephen Boyd,2001,M
Simon Julier,2002,M
Wei Ren,2005,M
Randal W. Beard,2005,M
Ella M. Atkins,2005,F
Simon Julier,1997,M
Jeffrey Uhlmann,1997,M
Zhiqiang Gao,2003,M
YangQuan Chen,2009,M
Ivo Petras,2009,M
Dingyu Xue,2009,M
A. Mark Richards,2002,M
Jonathan P. How,2002,M
R.O. Saber,2003,M
Robin M. Murray,2003,M
Robert M. Sanner,1991,M
Jean-Jacques E. Slotine,1991,F
Emanuel Todorov,2005,M
Weiwei Li,2005,F
John Doyle,1988,M
Keith Glover,1988,M
Pramod P. Khargonekar,1988,M
Bruce A. Francis,1988,F
Maryam Fazel,2003,F
Haitham Hindi,2003,F
Stephen Boyd,2003,M
S. V. Bhat,1997,M
Dennis S. Bernstein,1997,M
Daniel P. Scharf,2004,M
Fred Y. Hadaegh,2004,M
Scott R. Ploen,2004,M
J.R. Cloutier,1997,M
Karl Johan Åström,1989,M
Lars Rundqwist,1989,M
Zhiqiang Gao,2006,M
Frauke Oldewurtel,2010,M
Alessandra Parisio,2010,F
Colin Jones,2010,M
Manfred Morari,2010,M
Dimitrios Gyalistras,2010,M
Markus Gwerder,2010,M
Vanessa J. Stauch,2010,F
Beat Lehmann,2010,M
Katharina Wirth,2010,F
Philippos Peleties,1991,M
Raymond A. DeCarlo,1991,M
Reza Olfati-Saber,2005,F
G.C. Walsh,1999,M
Hong Ye,1999,M
Linda Bushnell,1999,F
Michael S. Branicky,2000,M
Sidney F. Phillips,2000,M
Wei Zhang,2000,M
Lucy Y. Pao,2009,F
Kathryn Johnson,2009,F
Simon Julier,2002,M
Jeffrey Uhlmann,2002,M
Lorenzo Serrao,2009,M
Simona Onori,2009,F
Giorgio Rizzoni,2009,M
Scott A. Bortoff,2000,M
Arjang Hassibi,1998,M
Stephen Boyd,1998,M
Paul G. Otanez,2002,M
James Moyne,2002,M
Dawn M. Tilbury,2002,M
Shahab Sheikholeslam,1990,M
Charles A. Desoer,1990,M
J. Karl Hedrick,1991,M
D. H. McMahon,1991,M
V. K. Narendran,1991,M
D. Swaroop,1991,M
David W. Casbeer,2005,M
Randal W. Beard,2005,M
Timothy W. McLain,2005,M
Sai-Ming Li,2005,F
Raman K. Mehra,2005,F
A. Radke,2006,F
Zhiqiang Gao,2006,M
Peter Seiler,2001,M
Raja Sengupta,2001,F
John Bellingham,2002,M
A. Richards,2002,M
Jonathan P. How,2002,M
A. Brahma,2000,F
Yann Guezennec,2000,M
Gianfranco Rizzoni,2000,M
Lin Xiao,2000,F
Arash Hassibi,2000,M
Jonathan P. How,2000,M
Norunaluwar Jalil,1997,M
N.A. Kheir,1997,F
Mowafak D. Salman,1997,M
D. Swaroop,1997,M
J.C. Gerdes,1997,M
P.P. Yip,1997,M
J. Karl Hedrick,1997,M
Simon Julier,2003,M
Wallace E. Larimore,1983,F
Jr. J.J. LaViola,2003,F
Jay T. Pukrushpan,2002,M
Anna G. Stefanopoulou,2002,F
Huei Peng,2002,M
David J. Salmond,2001,M
Helen L. Birch,2001,M
Campo,1987,M
Morari,1987,F
Mogens Blanke,2001,F
Marcel Staroswiecki,2001,M
N. Wu,2001,M
Nikhil Chopra,2003,M
Mark W. Spong,2003,M
Sandra Hirche,2003,F
Martin Buss,2003,M
Jadbabaie,2004,M
Motee,2004,M
Barahona,2004,F
Emilio Frazzoli,2000,M
Munther A. Dahleh,2000,F
Eric Feron,2000,M
Arjang Hassibi,1999,M
Jonathan P. How,1999,M
Stephen Boyd,1999,M
J. Kocijan,2004,M
Roderick Murray-Smith,2004,M
Chris Rasmussen,2004,M
Agathe Girard,2004,M
Chaouki T. Abdallah,1993,M
Peter Dorato,1993,M
J. Benites-Read,1993,M
Raymond H. Byrne,1993,M
Juergen Ackermann,1990,M
Wolfgang Sienel,1990,M
Yong-Kyu Song,1992,F
Jessy W. Grizzle,1992,F
Jason Laks,2009,M
Lucy Y. Pao,2009,F
Alan F. Wright,2009,M
Andre F. Teixeira,2010,F
Henrik Sandberg,2010,M
Karl Henrik Johansson,2010,M
Chan-Chiao Lin,2004,F
Huei Peng,2004,M
Jessy W. Grizzle,2004,F
Alessandro Bemporad,2000,M
Manfred Morari,2000,M
Vivek Dua,2000,F
Efstratios N. Pistikopoulos,2000,M
Xiangdong He,1993,M
H. Harry Asada,1993,F
Antonis Papachristodoulou,2005,M
S. Prajna,2005,F
Masayoshi Tomizuka,1988,F
Tsu-Chin Tsao,1988,M
Kok-Kia Chew,1988,M
Weiping Li,1989,M
Jean-Jacques E. Slotine,1989,F
Hoseinali Borhan,2009,M
Ardalan Vahidi,2009,M
Anthony G. Phillips,2009,M
Ming Kuang,2009,M
Ilya Kolmanovsky,2009,M
Kenji Tanaka,2001,F
Toshihiko Hori,2001,M
Haiou Wang,2001,M
Hosam K. Fathy,2001,M
Julie A. Reyer,2001,F
Panos Y. Papalambros,2001,M
A.G. Ulsov,2001,F
Hyun-Chul Kim,2002,M
Do-Jun Shim,2002,M
S. Shankar Sastry,2002,M
Daniel P. Scharf,2003,M
Fred Y. Hadaegh,2003,M
Scott R. Ploen,2003,M
Ali Jadbabaie,2004,F
Nader Motee,2004,M
Mauricio Barahona,2004,F
Peter Dorato,1998,M
Tom Schouwenaars,2004,M
Jonathan P. How,2004,M
Eric Feron,2004,M
Anders Rantzer,2009,M
Jovan Boskovic,1999,M
Raman K. Mehra,1999,F
Peng,1990,M
Tomizuka,1990,F
Phillip Chandler,2001,M
Meir Pachter,2001,F
Svend Erik Rasmussen,2001,M
L. Munoz,2003,M
Xiaotian Sun,2003,F
Roberto Horowitz,2003,M
Luis Alvarez,2003,M
Andrew R. Teel,2001,M
D. Popovic,2001,M
Zhi Q. Zheng,1993,M
Manfred Morari,1993,M
Alessandro Bemporad,2000,M
Francesco Borrelli,2000,M
Manfred Morari,2000,M
Stefan Pettersson,2001,M
Bengt Lennartson,2001,M
Harpreetsingh Banvait,2009,M
Sohel Anwar,2009,M
Yaobin Chen,2009,M
John Craig,1984,M
Lars Blackmore,2006,M
Hui Li,2006,F
Barry W. Williams,2006,M
Niemeyer,1990,M
Slotine,1990,F
Wei Ren,2005,M
R. W. Beard,2005,M
Derek Kingston,2005,M
Angelo Alessandri,2001,M
Paolo Coletta,2001,F
Mario A. Rotea,2000,F
Steven Gillijns,2006,M
Oscar Barrero Mendoza,2006,M
J. Chandrasekar,2006,M
B. De Moor,2006,M
Dennis S. Bernstein,2006,M
Aaron J. Ridley,2006,M
G. Paganelli,2001,F
M. Tateno,2001,M
A. Brahma,2001,F
Giorgio Rizzoni,2001,M
Yann Guezennec,2001,M
Kathryn Johnson,2009,F
Naveen Thomas,2009,M
Robert J. Fitzgerald,1986,M
Xiaoxia Yang,2009,F
Yi Huang,2009,M
S. Prajna,2003,F
Antonis Papachristodoulou,2003,M
Shuo Pang,2001,F
Jay A. Farrell,2001,M
Jie Du,2001,M
Mary C. Barth,2001,M
Robert Miklosovic,2006,M
A. Radke,2006,F
Zhiqiang Gao,2006,M
Jay Hauser,1990,M
Richard M. Murray,1990,M
Bong Wie,1990,M
Dennis S. Bernstein,1990,M
Duy Nguyen-Tuong,2008,F
Markus A. Seeger,2008,M
Jan Peters,2008,M
Dingyu Xue,2006,M
Chunna Zhao,2006,F
YangQuan Chen,2006,M
Giuseppe Notarstefano,2006,M
Ketan Savla,2006,F
Francesco Bullo,2006,M
Ali Jadbabaie,2006,F
Guangming Xie,2009,M
Huiyang Liu,2009,M
Long Wang,2009,M
Yingmin Jia,2009,F
Lorenzo Serrao,2011,M
Simona Onori,2011,F
Antonio Sciarretta,2011,F
Yann Guezennec,2011,M
Giorgio Rizzoni,2011,M
Gregory Becker,1993,M
Andrew Packard,1993,M
Doug Philbrick,1993,M
Gary J. Balas,1993,M
Saeid Bashash,2011,M
Hosam K. Fathy,2011,M
Wei Ren,2006,M
Timothy W. McLain,2001,M
P.R. Chandler,2001,M
Svend Erik Rasmussen,2001,M
