Name,Year,Gender
Y. H. Tan,2010,M
William H. Moase,2010,M
Chris Manzie,2010,M
Dragan Nesic,2010,M
Iven Mareels,2010,M
Yufei Hao,2016,M
Zheyuan Gong,2016,M
Zhexin Xie,2016,F
Shaoya Guan,2016,M
Xingbang Yang,2016,F
Ziyu Ren,2016,M
Tianmiao Wang,2016,M
Li Wen,2016,F
Wang ZhiQiang,2017,M
Liu Jun,2017,M
Siqin Tao,2015,M
Tao Zhang,2015,M
Jun Yang,2015,M
Xueqian Wang,2015,M
Weining Lu,2015,F
Jie Li,2018,F
Junjie Jia,2018,F
Donglai Xu,2018,F
Zhangfeng Ju,2014,M
Chenguang Yang,2014,F
Hongbin Ma,2014,F
Qing Yin Zheng,2010,F
Zhiqiang Gao,2010,M
Lin Peng,2006,M
Jia Yingmin,2006,F
Du Junping,2006,M
Yuan Shiying,2006,F
Changlong Liu,2016,M
Jian Pan,2016,M
Yu-Fang Chang,2016,M
Runsheng Yu,2017,M
Zhenyu Shi,2017,F
Chaoxing Huang,2017,M
Tenglong Li,2017,M
Qiongxiong Ma,2017,F
Shengwei Mei,2006,F
Yadana,2006,F
Xiaofeng Weng,2006,M
Ancheng Xue,2006,M
Antonio Ferramosca,2010,M
Daniel Limon,2010,M
I. Alvarado,2010,M
Teodoro Alamo,2010,M
Eduardo F. Camacho,2010,M
Zhao Yijing,2017,M
Zheng Zheng,2017,M
Zhang Xiaoyi,2017,M
Liu Yang,2017,M
Kewen Yan,2017,M
Shaohui Huang,2017,M
Yaoxian Song,2017,M
Wei Liu,2017,M
Neng Fan,2017,M
Zhipeng Cui,2016,M
Jian Yang,2016,M
Yu Qiao,2016,F
Yixing Wang,2016,M
Meiqin Liu,2016,F
Zhejing Bao,2016,M
Yuan Shao-qiang,2008,M
Liu Zhong,2008,M
Li Xingshan,2008,F
Xiang Gao,2015,M
Tao Zhang,2015,M
Chen Zhi-hong,2017,F
Zou Hebin,2017,F
Wang Yanbo,2017,M
Liang Binyan,2017,M
Liao Yu,2017,F
Lin Danjun,2015,M
Zhou Yan,2015,M
Shi Zongying,2015,F
Lu Geng,2015,M
Junqin Xu,2014,M
Jihui Zhang,2014,F
Abdelkader Abdessameud,2010,M
Abdelhamid Tayebi,2010,M
Yuanyuan Hu,2019,F
Xin-jian Wu,2019,M
Guangdi Zheng,2019,M
Xiaofei Liu,2019,F
Hongqing Fang,2014,M
Chen Hu,2014,M
Yan Wenbo,2015,M
Wang Quanyu,2015,M
Gao Zhenwei,2015,F
Zhang Wenjing,2006,M
Zhao LiePing,2006,F
Zeng Aiqun,2006,M
Zhang Yunsheng,2006,M
Yanqiong Zhang,2015,F
Yiguang Hong,2015,M
Yalong Hu,2016,M
Wei Wei,2016,M
Yonggang Peng,2016,M
Jinyong Lei,2016,F
Zhang Xuexi,2019,F
Lu Guokun,2019,M
Fu Genping,2019,M
Xu Dongliang,2019,M
Liang Shiliu,2019,M
Yang Ren-er,2008,M
Jin Wei,2008,M
Chen Ken,2008,M
Stephen Boyd,2006,M
Lieven Vandenberghe,2006,F
Michael Grant,2006,M
Bei Wang,2016,M
Jun Li,2016,F
Shaogang Jin,2016,M
Jiyang Zhang,2016,M
Lincheng Shen,2016,M
Li Tengxiang,2016,M
Bing Yang,2017,M
Zi-Jia Gong,2017,F
Wenqi Yang,2017,M
Shuo Wang,2006,M
Changchun Hua,2006,F
Xinping Guan,2006,M
Xiang XueJun,2006,M
Xia Ping,2006,F
Yang Sheng,2006,M
Liu Ping,2006,M
Xiao Feng,2006,M
Wang Long,2006,M
Yan Tiantian,2017,F
Yang Guodong,2017,M
Yu Junzhi,2017,M
Liang-Liang Xie,2003,F
Lennart Ljung,2003,M
Dong Xin,2015,M
Liu Yuance,2015,M
Z. Q. Chen Michael,2015,M
Yi Huang,2014,M
Wenchao Xue,2014,F
Gao Zhi-qiang,2014,F
Hebertt Sira-Ramírez,2014,M
Dan Wu,2014,M
