Name,Year,Gender
Kaiming He,2016,M
Xiangyu Zhang,2016,F
Shaoqing Ren,2016,M
Jian Sun,2016,M
Jia Deng,2009,F
Wei Dong,2009,M
Richard Socher,2009,M
Li-Jia Li,2009,F
Kai Li,2009,F
Li Fei-Fei,2009,F
Christian Szegedy,2015,M
Wei Liu,2015,M
Yangqing Jia,2015,F
Pierre Sermanet,2015,F
Scott M. Reed,2015,M
Dragomir Anguelov,2015,M
Dumitru Erhan,2015,M
Vincent Vanhoucke,2015,M
Andrew Rabinovich,2015,M
Navneet Dalal,2005,F
Bill Triggs,2005,M
Ross Girshick,2014,M
Jeff Donahue,2014,M
Trevor Darrell,2014,M
Jitendra Malik,2014,M
Karen Simonyan,2014,F
Andrew Zisserman,2014,M
Joseph Redmon,2016,M
Santosh K. Divvala,2016,F
Ross Girshick,2016,M
Ali Farhadi,2016,M
Christian Szegedy,2016,M
Vincent Vanhoucke,2016,M
Sergey Ioffe,2016,M
Jonathon Shlens,2016,M
Zbigniew Wojna,2016,F
Paul A. Viola,2001,F
M. Jones,2001,M
Phillip Isola,2017,F
Jun-Yan Zhu,2017,M
Tinghui Zhou,2017,F
Alexei A. Efros,2017,F
Joseph Redmon,2017,M
Ali Farhadi,2017,M
Andreas Geiger,2012,M
Philip Lenz,2012,M
Raquel Urtasun,2012,M
François Chollet,2017,F
Hengshuang Zhao,2017,M
Jianping Shi,2017,F
Xiaojuan Qi,2017,M
Xiaogang Wang,2017,M
Jiaya Jia,2017,F
Marius Cordts,2016,M
Mohamed M. Omran,2016,M
Sebastian Ramos,2016,M
Timo Rehfeld,2016,M
Markus Enzweiler,2016,M
Rodrigo Benenson,2016,M
Uwe Franke,2016,M
Stefan Roth,2016,M
Bernt Schiele,2016,M
Christian Ledig,2017,M
Lucas Theis,2017,M
Ferenc Huszar,2017,M
Jose Caballero,2017,M
Andrew Cunningham,2017,M
Alejandro Acosta,2017,M
Andrew Aitken,2017,M
Alykhan Tejani,2017,M
Johannes Totz,2017,M
Zehan Wang,2017,M
Wenzhe Shi,2017,F
Svetlana Lazebnik,2006,F
Cordelia Schmid,2006,F
J. M. Iturbe Ponce,2006,M
Saining Xie,2017,F
Ross Girshick,2017,M
Piotr Dollár,2017,M
Zhuowen Tu,2017,M
Kaiming He,2017,M
Bolei Zhou,2016,F
Aditya Khosla,2016,M
Agata Lapedriza,2016,F
Aude Oliva,2016,F
Antonio Torralba,2016,M
Chris Stauffer,1999,M
W.E.L. Grimson,1999,M
Joao Carreira,2017,F
Andrew Zisserman,2017,M
Yaniv Taigman,2014,M
Ming Yang,2014,M
Marc'Aurelio Ranzato,2014,M
Lior Wolf,2014,M
Andrej Karpathy,2014,M
George Toderici,2014,M
Sanketh Shetty,2014,F
Thomas W. Leung,2014,M
Rahul Sukthankar,2014,M
Li Fei-Fei,2014,F
Matthew Turk,1991,M
Alex Pentland,1991,M
Oriol Vinyals,2015,M
Alexander Toshev,2015,M
Samy Bengio,2015,M
Dumitru Erhan,2015,M
Antoni Buades,2005,M
Bartomeu Coll,2005,M
J. Morel,2005,M
Tero Karras,2019,M
Samuli Laine,2019,F
Timo Aila,2019,F
Jiwon Kim,2016,M
Jung Pyo Lee,2016,F
Kyoung Min Lee,2016,M
Jianbo Shi,1994,M
Tomasi,1994,M
Leon A. Gatys,2016,F
Alexander S. Ecker,2016,M
Matthias Bethge,2016,M
Jeff Donahue,2015,M
Lisa Anne Hendricks,2015,F
Sergio Guadarrama,2015,M
Marcus Rohrbach,2015,M
Subhashini Venugopalan,2015,M
Trevor Darrell,2015,M
Kate Saenko,2015,M
Rebecca L. Charles,2017,F
Hao Su,2017,M
Mo Kaichun,2017,M
Leonidas J. Guibas,2017,M
Barret Zoph,2018,M
Vijay K. Vasudevan,2018,M
Jonathon Shlens,2018,M
Quoc V. Le,2018,M
Andrej Karpathy,2015,M
Li Fei-Fei,2015,F
Wenzhe Shi,2016,F
Jose Caballero,2016,M
Ferenc Huszar,2016,M
Johannes Totz,2016,M
Andrew Aitken,2016,M
Rob Bishop,2016,M
Daniel Rueckert,2016,M
Zehan Wang,2016,M
Bee Jik Lim,2017,M
Sanghyun Son,2017,M
Heewon Kim,2017,M
Seungjun Nah,2017,F
Kyoung Min Lee,2017,M
Deepak Pathak,2016,M
Philipp Krähenbühl,2016,M
Jeff Donahue,2016,M
Trevor Darrell,2016,M
Alexei A. Efros,2016,F
Ivan Laptev,2008,M
Marcin Marszalek,2008,M
Christoph Schmid,2008,M
