Name,Year,Gender
Jin-Shyan Lee,2007,M
Yu-Wei Su,2007,F
Chung-Chou Shen,2007,F
Pedro Rodriguez,2006,M
Alvaro Luna,2006,F
Mihai Ciobotaru,2006,M
Remus Teodorescu,2006,M
Frede Blaabjerg,2006,M
Stamatis Karnouskos,2011,M
Aleksandar Prodic,2001,M
Dragan Maksimovic,2001,M
Robert W. Erickson,2001,M
Leila Parsa,2005,F
Huai Wang,2012,M
Ke Ma,2012,F
Frede Blaabjerg,2012,M
Aldo Boglietti,2009,M
Andrea Cavagnino,2009,M
Alberto Tenconi,2009,M
Silvio Vaschetto,2009,M
Friedrich W. Fuchs,2003,M
M. Linke,2002,F
Ralph Kennel,2002,M
Joachim Holtz,2002,M
Mickel Bipin Budhia,2010,M
Grant A. Covic,2010,M
John T. Boys,2010,M
Sandeep Anand,2010,M
Baylon G. Fernandes,2010,M
Pedro Rodriguez,2008,M
Alvaro Luna,2008,F
Jose Ignacio Candela,2008,M
Remus Teodorescu,2008,M
Frede Blaabjerg,2008,M
Mo-Yuen Chow,2001,M
Y. Tipsuwan,2001,M
Kyle R. Anderson,2012,M
Mario Berges,2012,M
Adrian Ocneanu,2012,M
Diego S. Benitez,2012,M
Jose M. F. Moura,2012,M
Robert W. Erickson,2001,M
Osama A. Al-Naseem,2001,F
Ju-Won Baek,2005,M
Myung-Hyo Ryoo,2005,F
Taejin Kim,2005,M
Dong-Wook Yoo,2005,M
Jong-Soo Kim,2005,M
Alfredo Vagati,1994,M
Rui Wu,2013,M
Frede Blaabjerg,2013,M
Huai Wang,2013,M
Marco Liserre,2013,M
Francesco Iannuzzo,2013,F
Mario Schweizer,2010,M
Ignacio Lizama,2010,F
Thomas Friedli,2010,M
Johann W. Kolar,2010,M
F. Varela Rodriguez,2008,M
Emilio Bueno,2008,M
Mauricio Aredes,2008,M
Luis G. B. Rolim,2008,M
F. Neves,2008,M
Marcelo M. Cavalcanti,2008,M
Zhang Yan,2002,M
Vadim I. Utkin,2002,M
Bernhard Kramer,2008,M
Sudip Chakraborty,2008,M
Benjamin Kroposki,2008,M
Philipp Münch,2010,M
Daniel Gorges,2010,M
Michal Izak,2010,M
Steven Liu,2010,M
Diego Casadei,1994,F
Gabriele Grandi,1994,F
Giovanni Serra,1994,F
Angelo Tani,1994,M
Patrick Giroux,2001,M
G. Sybille,2001,F
Hoang Le-Huy,2001,M
Samir Kouro,2009,M
Bin Wu,2009,M
Alvaro Moya,2009,F
Elena Ferris Villanueva,2009,F
Pablo Correa,2009,F
Jose Rodriguez,2009,M
Kenya Yuki,1993,F
T. Murakami,1993,F
Kouhei Ohnishi,1993,M
Hitoshi Kubota,1990,M
Kouki Matsuse,1990,F
T. Nakano,1990,M
Jin Zhao,2002,M
Bimal K. Bose,2002,M
Marian P. Kazmierkowski,1994,M
M.A. Dzieniakowski,1994,F
G. Ortiz,2010,M
Jurgen Biela,2010,F
Johann W. Kolar,2010,M
Lee D. Hansen,2001,M
P.H. Madsen,2001,M
Frede Blaabjerg,2001,M
H.C. Christensen,2001,M
U. Lindhard,2001,M
K. Eskildsen,2001,M
Qingrui Tu,2010,M
Zheng Xu,2010,M
Jing Zhang,2010,F
Alexis Marcano-Cedeño,2010,M
J. Quintanilla-Dominguez,2010,F
M. G. Cortina-Januchs,2010,F
Diego Andina,2010,F
L. Malesani,1993,F
P. Tomasin,1993,M
Arman Hassanpoor,2012,M
Staffan Norrga,2012,M
Hans-Peter Nee,2012,M
Lennart Angquist,2012,M
Minyuan Guan,2011,M
Zheng Xu,2011,M
Hairong Chen,2011,M
Yang Qin,2008,M
Henry Shu-Hung Chung,2008,M
D. X. Lin,2008,M
Shu Yuen Ron Hui,2008,F
Xin Pei,2016,F
Oliver Cwikowski,2016,M
D.S. Vilchis-Rodriguez,2016,M
Mike Barnes,2016,M
A. M. Smith,2016,F
Roger Shuttleworth,2016,M
Stamatis Karnouskos,2011,M
Armando Walter Colombo,2011,M
D. Das,2005,M
R. Esmaili,2005,F
Lingshan Xu,2005,M
David A. Nichols,2005,M
Mohamed Benbouzid,1998,M
Gil D. Marques,1998,M
Ionut Trintis,2011,M
Stig Munk-Nielsen,2011,M
Remus Teodorescu,2011,M
D.M. Vilathgamuwa,1999,M
A.A.D. Ranjith Perera,1999,F
Suyong Choi,1999,F
King Jet Tseng,1999,M
Kalle Ilves,2011,M
Antonios Antonopoulos,2011,M
Lennart Harnefors,2011,M
Staffan Norrga,2011,M
Lennart Angquist,2011,M
Hans-Peter Nee,2011,M
Ruben Pena,2001,F
Roberto Cardenas,2001,M
R. Blasco,2001,M
Greg Asher,2001,M
Jon Clare,2001,M
Oratile Khutsoane,2017,M
Bassey Isong,2017,M
Adnan M. Abu-Mahfouz,2017,M
Mehrdad Ehsani,2003,M
Yimin Gao,2003,M
Kaushik Rajashekara,2003,F
Xu She,2012,F
Alex Q. Huang,2012,M
Xijun Ni,2012,F
Rolando Burgos,2012,M
Robin Roche,2010,M
Benjamin Blunier,2010,M
Abdellatif Miraoui,2010,M
Vincent Hilaire,2010,M
Abder Koukam,2010,M
Tehseen Zia,2011,F
Dietmar Bruckner,2011,M
Adeel Abbas Zaidi,2011,M
Carlo Cecati,2010,F
