Name,Year,Gender
Andreas Stolcke,2002,M
Tomas Mikolov,2010,M
Martin Karafiat,2010,F
Lukas Burget,2010,M
Jan Cernocký,2010,M
Sanjeev Khudanpur,2010,M
Hasim Sak,2014,M
Andrew W. Senior,2014,M
Francoise Beaufays,2014,F
Felix Burkhardt,2005,M
Astrid Paeschke,2005,F
M. Rolfes,2005,M
Walter F. Sendlmeier,2005,M
Benjamin P. Weiss,2005,M
Martin Sundermeyer,2012,M
Ralf Schlüter,2012,M
Hermann Ney,2012,M
David Pearce,2000,M
Hans-Günter Hirsch,2000,M
Alvin F. Martin,1997,M
George R. Doddington,1997,M
Terri Kamm,1997,F
Mark L. Ordowski,1997,M
Mark A. Przybocki,1997,M
Daniel Garcia-Romero,2011,M
Carol Y. Espy-Wilson,2011,M
Frank Seide,2011,M
G. Li,2011,F
Dong Yu,2011,M
Daniel Povey,2016,M
Vijayaditya Peddinti,2016,M
Daniel Galvez,2016,M
Pegah Ghahremani,2016,F
Vimal Manohar,2016,M
Xingyu Na,2016,F
Yiming Wang,2016,M
Sanjeev Khudanpur,2016,M
Shinji Watanabe,2018,M
Takaaki Hori,2018,M
Shigeki Karita,2018,F
Tomoki Hayashi,2018,M
Jiro Nishitoba,2018,M
Yuya Unno,2018,M
Nelson Yalta,2018,F
Jahn Heymann,2018,M
Matthew Wiesner,2018,M
Nanxin Chen,2018,M
Adithya Renduchintala,2018,M
Tsubasa Ochiai,2018,M
Tom Ko,2015,M
Vijayaditya Peddinti,2015,M
Daniel Povey,2015,M
Sanjeev Khudanpur,2015,M
Björn Schuller,2009,M
Stefan Steidl,2009,M
Anton Batliner,2009,M
Vijayaditya Peddinti,2015,M
Daniel Povey,2015,M
Sanjeev Khudanpur,2015,M
Frank Seide,2014,M
Hao Fu,2014,M
Jasha Droppo,2014,M
G. Li,2014,F
Dong Yu,2014,M
Santiago Pascual,2017,M
Antonio Bonafonte,2017,M
Joan Serrà,2017,M
Bing Liu,2016,M
Ian R. Lane,2016,M
Kim E. A. Silverman,1992,F
Mary E. Beckman,1992,F
John F. Pitrelli,1992,M
Mari Ostendorf,1992,F
Colin W. Wightman,1992,M
Patti Price,1992,F
Janet B. Pierrehumbert,1992,M
Julia Hirschberg,1992,M
Takayoshi Yoshimura,1999,F
Keiichi Tokuda,1999,M
Takashi Sato,1999,M
Takao Kobayashi,1999,M
Tadashi Kitamura,1999,F
Steffen Schneider,2019,M
Alexei Baevski,2019,M
Ronan Collobert,2019,M
Michael Auli,2019,M
David S. Snyder,2017,M
Daniel Garcia-Romero,2017,M
Daniel Povey,2017,M
Sanjeev Khudanpur,2017,M
Anmol Gulati,2020,F
James Qin,2020,M
Chung-Cheng Chiu,2020,M
Niki Parmar,2020,M
Yu Zhang,2020,M
Jiahui Yu,2020,F
Wei Han,2020,M
Shi-Bo Wang,2020,M
Zhengdong Zhang,2020,M
Yonghui Wu,2020,M
Ruoming Pang,2020,M
Philip Clarkson,1997,M
Ron G. Rosenfeld,1997,M
Xugang Lu,2013,M
Yu Tsao,2013,M
Shigeki Matsuda,2013,F
Chiori Hori,2013,F
Michael McAuliffe,2017,M
Michaela Socolof,2017,F
Sarah Mihuc,2017,F
Michael Wagner,2017,M
Morgan Sonderegger,2017,M
Karel Veselý,2013,M
Arnab Ghoshal,2013,M
Lukas Burget,2013,M
Daniel Povey,2013,M
Akinobu Lee,2001,M
Tatsuya Kawahara,2001,F
Kiyohiro Shikano,2001,M
Kun Han,2014,M
Dong Yu,2014,M
Ivan Tashev,2014,M
Dilek Hakkani-Tur,2016,M
Gokhan Tur,2016,M
Asli Celikyilmaz,2016,F
Yun-Nung Chen,2016,M
Jianfeng Gao,2016,M
Li Deng,2016,M
Ye-Yi Wang,2016,F
Kåre Sjölander,2000,M
Jonas Beskow,2000,M
Nikko Strom,2015,M
Grégoire Mesnil,2013,M
Xiaodong He,2013,M
Li Deng,2013,M
Yoshua Bengio,2013,M
Björn Schuller,2010,M
Stefan Steidl,2010,M
Anton Batliner,2010,M
Felix Burkhardt,2010,M
Laurence Devillers,2010,M
Christian P. Müller,2010,M
Shrikanth S. Narayanan,2010,M
Andrew O. Hatch,2006,M
Sachin S. Kajarekar,2006,M
Andreas Stolcke,2006,M
Ciprian Chelba,2014,F
Tomas Mikolov,2014,M
Mike Schuster,2014,M
Nicholas X. Fang,2014,M
Thorsten Brants,2014,M
Phillipp Koehn,2014,M
Tony Robinson,2014,M
Marcello Federico,2008,M
Nicola Bertoldi,2008,M
Mauro Cettolo,2008,M
Li Deng,2010,M
Michael L. Seltzer,2010,M
Dong Yu,2010,M
Alex Acero,2010,M
Abdelrahman Mohamed,2010,M
Geoffrey E. Hinton,2010,M
Najim Dehak,2011,M
Pedro A. Torres-Carrasquillo,2011,M
Douglas A. Reynolds,2011,M
Réda Dehak,2011,M
Tara N. Sainath,2015,F
Carolina Parada,2015,F
Michael Kipp,2001,M
Yusuf Ziya Isik,2016,M
Jonathan Le Roux,2016,M
Zhuo Chen,2016,M
Shinji Watanabe,2016,M
John W.B. Hershey,2016,M
Jian Xue,2013,M
Jinyu Li,2013,F
Yifan Gong,2013,M
Mikkel N. Schmidt,2006,M
Rasmus Kongsgaard Olsson,2006,M
Pedro A. Torres-Carrasquillo,2002,M
Elliot Singer,2002,M
Mary A. Kohler,2002,F
Richard J. Greene,2002,M
Douglas A. Reynolds,2002,M
John R. Deller,2002,M
Tomi Kinnunen,2017,F
Md. Sahidullah,2017,M
Héctor Delgado,2017,M
Massimiliano Todisco,2017,M
Nicholas Evans,2017,M
Junichi Yamagishi,2017,M
Kong Aik Lee,2017,M
Najim Dehak,2009,M
Réda Dehak,2009,M
Patrick Kenny,2009,M
Niko Brümmer,2009,M
Pierre Ouellet,2009,M
Pierre Dumouchel,2009,M
Asela Gunawardana,2005,F
Milind Mahajan,2005,M
Alex Acero,2005,M
John Platt,2005,M
Heiga Zen,2019,F
Viet Anh Dang,2019,F
Rob Clark,2019,M
Yu Zhang,2019,M
Ron Weiss,2019,M
Ye Jia,2019,F
Zhifeng Chen,2019,M
Yonghui Wu,2019,M
Yu-Chen Fan,2014,F
Yao Qian,2014,M
Fenglong Xie,2014,M
Frank K. Soong,2014,F
Tara N. Sainath,2015,F
Ron Weiss,2015,M
Andrew W. Senior,2015,M
Kevin R. Wilson,2015,M
Oriol Vinyals,2015,M
Andrew I R Maas,2012,M
Quoc V. Le,2012,M
Tyler M. O'Neil,2012,M
Oriol Vinyals,2012,M
Patrick Nguyen,2012,M
Andrew Y. Ng,2012,M
Takaaki Hori,2017,M
Shinji Watanabe,2017,M
Yu Zhang,2017,M
William Chan,2017,M
Akira Tamamori,2017,F
Tomoki Hayashi,2017,M
Kazuhiro Kobayashi,2017,M
Kazuya Takeda,2017,F
Tomoki Toda,2017,F
Ke Tan,2018,M
DeLiang Wang,2018,M
Aharon Satt,2017,M
Shai Rozenberg,2017,F
Ron Hoory,2017,M
Martin Wöllmer,2008,M
Florian Eyben,2008,M
Stephan Reiter,2008,M
Björn Schuller,2008,M
Cate Cox,2008,M
Ellen Douglas-Cowie,2008,M
Roddy Cowie,2008,M
Tomas Mikolov,2011,M
Anoop Deoras,2011,M
Stefan Kombrink,2011,M
Lukas Burget,2011,M
Jan Cernocký,2011,M
Jan Chorowski,2017,M
Navdeep Jaitly,2017,F
Hakan Erdogan,2016,M
John W.B. Hershey,2016,M
