Name,Year,Gender
Wpmh Maurice Heemels,2012,M
Karl Henrik Johansson,2012,M
Paulo Tabuada,2012,F
Joao P. Hespanha,1999,F
A.S. Morse,1999,F
Reza Olfati-Saber,2007,F
Donald E. Gustafson,1978,M
William Kessel,1978,M
Naomi Ehrich Leonard,2001,M
E. Fiorelli,2001,F
J. Salisbury,1980,M
Keqin Gu,2000,M
Taeyoung Lee,2010,F
Melvin Leoky,2010,M
N. Harris McClamroch,2010,M
Reza Olfati-Saber,2005,F
Reza Olfati-Saber,2005,F
Jeff S. Shamma,2005,M
Vincent D. Blondel,2005,M
Julien M. Hendrickx,2005,M
Alex Olshevsky,2005,M
John N. Tsitsiklis,2005,M
Karl Johan Åström,2002,M
Bo Bernhardsson,2002,M
Vadim I. Utkin,1996,M
Jingxin Shi,1996,F
Juan Moreno,2008,M
M. R. Zapatero Osorio,2008,M
Dale F. Enns,1984,M
Luc Moreau,2004,M
Pascal Gahinet,1994,F
A. Nemirovskii,1994,F
A. Laub,1994,F
M. Chilali,1994,F
Aaron D. Ames,2014,M
Jessy W. Grizzle,2014,F
Paulo Tabuada,2014,F
John Doyle,1982,M
Joseph Wall,1982,M
Gunter Stein,1982,M
John Doyle,1985,M
Wallace E. Larimore,1990,F
Rafael Fierro,1995,M
Frank L. Lewis,1995,M
Reza Olfati-Saber,2009,F
Herbert G. Tanner,2003,M
Ali Jadbabaie,2003,F
George J. Pappas,2003,M
S. Prajna,2002,F
Antonis Papachristodoulou,2002,M
Pablo A. Parrilo,2002,F
Randy A. Freeman,2006,F
Peng Yang,2006,M
Kristina A. Lynch,2006,F
Herbert G. Tanner,2004,M
Jing Wang,2011,M
Nicola Elia,2011,F
Antonis Papachristodoulou,2002,M
S. Prajna,2002,F
Andre F. Teixeira,2010,F
Saurabh Amin,2010,M
Henrik Sandberg,2010,M
Karl Henrik Johansson,2010,M
S. Shankar Sastry,2010,M
Yilin Mo,2010,F
Emanuele Garone,2010,M
Alessandro Casavola,2010,M
Bruno Sinopoli,2010,M
Rong Xu,2006,M
Umit Ozguner,2006,M
Suguru Arimoto,1984,M
Seiji Kawamura,1984,F
Fumio Miyazaki,1984,M
Ermin Wei,2012,M
Asuman Ozdaglar,2012,F
Yuko Hatano,2004,M
Mehran Mesbahi,2004,M
Reza Olfati-Saber,2002,F
Robin M. Murray,2002,M
Pradeep K. Khosla,1985,M
Takeo Kanade,1985,M
T.J. Koo,1998,M
S. Shankar Sastry,1998,M
Herbert G. Tanner,2003,M
Ali Jadbabaie,2003,F
George J. Pappas,2003,M
Jaw-Town Lin,2003,M
A.S. Morse,2003,F
Brian J. Anderson,2003,M
Michael S. Branicky,1994,M
Giuseppe Oriolo,1991,M
Yoshihiko Nakamura,1991,F
A.K. Ghosh,2006,M
Stephen Boyd,2006,M
Alexander Domahidi,2012,M
Aldo U. Zgraggen,2012,M
Melanie N. Zeilinger,2012,F
Manfred Morari,2012,M
Colin Jones,2012,M
Henk A. P. Blom,1984,M
