Name,Year,Gender
Dragos Niculescu,2001,M
Badri Nath,2001,M
Joachim Hagenauer,1989,M
Peter Adam Hoeher,1989,M
Akram Al-Hourani,2014,M
Sithamparanathan Kandeepan,2014,M
Abbas Jamalipour,2014,M
Qingqing Wu,2018,M
Rui Zhang,2018,M
S. Gandham,2003,M
Milind Dawande,2003,M
Rajiv Prakash,2003,M
Subbarayan Venkatesan,2003,M
Robert Fischer,1996,M
Johannes B. Huber,1996,M
Thomas Karagiannis,2004,M
Andre Broido,2004,M
Nevil Brownlee,2004,F
kc claffy,2004,M
Michalis Faloutsos,2004,M
Kaixin Xu,2002,M
Mario Gerla,2002,F
Sang Cheol Bae,2002,M
King F. Lee,2000,M
Douglas B. Williams,2000,M
Bob Melander,2000,F
Michael D. Bjorkman,2000,M
Per Gunningberg,2000,M
Vida Vakilian,2013,F
Thorsten Wild,2013,M
Frank Schaich,2013,M
Stephan ten Brink,2013,M
Jean-Francois Frigon,2013,M
Huan Yao,2002,M
Gregory W. Wornell,2002,M
Roch Guerin,1997,M
Ariel Orda,1997,F
D. Williams,1997,M
Xiao-Yu Hu,2001,F
Evangelos Eleftheriou,2001,M
Donald M. Arnold,2001,M
S. ten Brink,1998,M
Joachim Speidel,1998,M
Ran-Hong Yan,1998,M
Antoine Chouly,1993,M
Americo Brajal,1993,M
Sabine Jourdan,1993,F
Enrique J. Duarte-Melo,2002,M
Mingyan Liu,2002,M
Allen B. MacKenzie,2001,F
Stephen B. Wicker,2001,M
Hiroyuki Ishii,2012,M
Yoshihisa Kishiyama,2012,F
Hideaki Takahashi,2012,M
Christos Danakis,2012,M
Mostafa Afgani,2012,M
G.J.R. Povey,2012,M
Ian Underwood,2012,M
Harald Haas,2012,M
Charles Robert Kalmanek,1990,M
Hemant Kanakia,1990,F
Srinivasan Keshav,1990,M
H. Yin,2000,M
H. Liu,2000,M
M. Yajnik,1996,M
Jim Kurose,1996,M
Don Towsley,1996,M
Matthew Doar,1996,M
Hikmet Sari,1994,M
Georges Karam,1994,M
I. Jeanclaud,1994,M
Jonathan S. Turner,2005,M
David E. Taylor,2005,M
Sebastien Muller,1997,M
Johannes B. Huber,1997,M
Xiao-Yu Hu,2001,F
Evangelos Eleftheriou,2001,M
D.M. Arnold,2001,M
Ajay Dholakia,2001,F
David Gesbert,2000,M
Helmut Bölcskei,2000,M
D. Gore,2000,M
Arogyaswami Paulraj,2000,M
George R. MacCartney,2013,M
Junhong Zhang,2013,M
Shuai Nie,2013,F
Theodore S. Rappaport,2013,M
Patrick Robertson,1994,M
Akbar M. Sayeed,2013,M
John F. Brady,2013,M
Anass Benjebbovu,2013,M
Anxin Li,2013,F
Yuya Saito,2013,M
Yoshihisa Kishiyama,2013,F
Atsushi Harada,2013,M
Takehiro Nakamura,2013,M
Albrecht Fehske,2009,M
Fred Richter,2009,M
Gerhard Fettweis,2009,M
Andreas Czylwik,1996,M
Periklis Chatzimisios,2003,M
Anthony C. Boucouvalas,2003,M
V. Vitsas,2003,M
Gianluigi Liva,2007,M
Marco Chiani,2007,F
Ramesh Pyndiah,1994,F
A. Glavieux,1994,F
Annie Picart,1994,F
S. Jacq,1994,M
Henry D. Pfister,2001,M
Soriaga Joseph Binamira,2001,F
Paul B. Siegel,2001,M
Joao Vieira,2014,F
Steffen Malkowsky,2014,F
Karl F. Nieman,2014,M
Zachary Miers,2014,M
Nikhil Kundargi,2014,M
Liang Liu,2014,M
Ian C. K. Wong,2014,M
Viktor Öwall,2014,M
Ove Edfors,2014,M
Fredrik Tufvesson,2014,M
Yi-Ling Chao,2003,M
Robert A. Scholtz,2003,M
Xianghao Yu,2019,F
Dongfang Xu,2019,M
Robert Schober,2019,M
Ashfaqur Rahman,2012,M
Hamed Mohsenian-Rad,2012,M
Eunsung Oh,2010,M
Bhaskar Krishnamachari,2010,M
Meghranjana Chatterjee,2000,F
Souvik Das,2000,M
Damla Turgut,2000,M
Jun Ma,2007,F
Ye Li,2007,F
A. Antony Franklin,2007,M
C. Siva Ram Murthy,2007,M
Bo Lu,2000,M
Xiaodong Wang,2000,M
Dobroslav Tsonev,2011,M
Sinan Sinanovic,2011,M
Harald Haas,2011,M
Michael Rahaim,2011,M
Anna Maria Vegni,2011,F
Thomas D. C. Little,2011,M
R.D.J. van Nee,1996,M
