Name,Year,Gender
Wendi Rabiner Heinzelman,2000,M
Anantha P. Chandrakasan,2000,M
Hari Balakrishnan,2000,M
Juho Hamari,2014,M
Jonna Koivisto,2014,F
Harri Sarsa,2014,F
Mario Hermann,2016,M
Tobias Pentek,2016,M
Boris Otto,2016,M
danah boyd,2010,M
Scott A. Golder,2010,F
Gilad Lotan,2010,M
Hafedh Chourabi,2012,M
Taewoo Nam,2012,M
Shawn W. Walker,2012,M
J. Ramon Gil-Garcia,2012,M
Sehl Mellouli,2012,F
Karine Nahon,2012,F
Theresa A. Pardo,2012,F
Hans Jochen Scholl,2012,M
A Abdul-Rahman,2000,M
Stephen Hailes,2000,M
T.P. Caudell,1992,M
D.W. Mizell,1992,M
Lik Mui,2002,M
Mohtashemi M,2002,F
Ari Halberstadt,2002,F
Srdjan Capkun,2001,M
Mounir Hamdi,2001,M
Jean-Pierre Hubaux,2001,M
Toni M. Somers,2001,F
Klara Nelson,2001,F
Susan C. Herring,2004,F
Lois Ann Scheidt,2004,F
S. Bonus,2004,M
Elijah Wright,2004,M
A. Qayyum,2002,F
Laurent Viennot,2002,M
Anis Laouiti,2002,F
Stephen H. Kaisler,2013,M
Frank Armour,2013,M
J.A. Espinosa,2013,F
William H. Money,2013,M
Yogesh Malhotra,1999,M
Dennis F. Galletta,1999,F
Alan R. Dennis,1999,M
Joseph S. Valacich,1999,M
Ann Macintosh,2004,M
Courtenay Honeycutt,2009,M
Susan C. Herring,2009,F
Andrea Wiggins,2011,F
Kevin Crowston,2011,M
William H. DeLone,2002,M
Ephraim R. McLean,2002,M
Zheng Wang,2005,M
Stefano Basagni,2005,M
Emanuel Melachrinoudis,2005,M
Chiara Petrioli,2005,F
Sankardas Roy,2010,M
Charles Ellis,2010,M
Sajjan G. Shiva,2010,M
Dipankar Dasgupta,2010,M
Vivek Shandilya,2010,F
Qishi Wu,2010,M
Steven M. Rinaldi,2004,M
Suha AlAwadhi,2008,F
Anne Morris,2008,F
James C. Spohrer,2008,M
Stephen L. Vargo,2008,M
N. Caswell,2008,M
Paul P. Maglio,2008,M
Christer Carlsson,2006,M
Jan-Otto Carlsson,2006,M
Kaarina Hyvönen,2006,F
Jussi Puhakainen,2006,M
Pirkko Walden,2006,M
Seppo Pahnila,2007,F
Mikko T. Siponen,2007,M
A. Mahmood,2007,F
Fernanda B. Viégas,2007,F
Martin Wattenberg,2007,M
Jesse H. Kriss,2007,M
F. van Ham,2007,M
danah boyd,2006,M
Jeffrey Heer,2006,M
Wayne Jansen,2011,M
Susan C. Herring,2005,F
Inna Kouper,2005,F
John C. Paolillo,2005,M
Lois Ann Scheidt,2005,F
Michael Tyworth,2005,M
P. Welsch,2005,M
Elijah Wright,2005,M
Ning Yu,2005,M
Ghosh,1994,M
Reilly,1994,F
Thomas J. Overbye,2004,M
Xu Cheng,2004,M
Yan Sun,2004,F
T. Hofer,2003,M
Wolfgang Schwinger,2003,M
Mario Pichler,2003,M
G. Leonhartsberger,2003,M
Josef Altmann,2003,M
Werner Retschitzegger,2003,M
T. Griffin,2000,M
Kevin Tomsovic,2000,M
Don Secrest,2000,M
A. Law,2000,F
Jean Scholtz,2003,M
Alexander Hars,2001,M
Shaosong Ou,2001,M
Giorgos Zacharia,1999,M
Alexandros Moukas,1999,M
Pattie Maes,1999,F
Lei Zhang,2003,F
M. J. Lee,2003,M
Zhe Zhang,2003,M
Probir Banerjee,2003,M
Pimwadee Chaovalit,2005,M
Lina Zhou,2005,F
Jeff Sutherland,2007,M
A. Viktorov,2007,F
J. Blount,2007,M
Nikolai I. Puntikov,2007,M
Matteo Golfarelli,1998,F
Dario Maio,1998,M
Stefano Rizzi,1998,M
O. Kachirski,2003,M
R. Guha,2003,F
Mohammed A. AlZain,2012,M
Eric Pardede,2012,M
Ben Soh,2012,M
James A. Thom,2012,M
Khaled M. Alzoubi,2002,M
Peng-Jun Wan,2002,M
Ophir Frieder,2002,M
D A Fisher,2006,M
M. N. K. Smith,2006,M
