Name,Year,Gender
Hiroshi Ishii,1997,M
Brygg Ullmer,1997,M
Upendra Shardanand,1995,M
Pattie Maes,1995,F
Jakob Nielsen,1990,M
Rolf Molich,1990,M
Luis von Ahn,2004,M
Laura Dabbish,2004,F
Aniket Kittur,2008,M
Ed H. Chi,2008,M
Bongwon Suh,2008,M
Jakob Nielsen,1994,M
John Zimmerman,2007,M
Jodi Forlizzi,2007,F
Shelley Evenson,2007,F
Sebastian Deterding,2011,M
Miguel Sicart,2011,M
Lennart E. Nacke,2011,M
Kenton O'Hara,2011,M
Dan A. Dixon,2011,M
Jakob Nielsen,1993,M
Thomas K. Landauer,1993,M
Sarah Vieweg,2010,F
Anne McMunn,2010,F
Kate Starbird,2010,F
Leysia Palen,2010,F
Eric Gilbert,2009,M
Karrie Karahalios,2009,F
Adam Joinson,2008,M
Rachna Dhamija,2006,F
J. D. Tygar,2006,M
Marti A. Hearst,2006,F
George S. Robertson,1991,M
Jock D. Mackinlay,1991,M
Stuart K. Card,1991,M
John J. Chin,1988,M
Virginia A. Diehl,1988,F
Kent L. Norman,1988,M
Jacob O. Wobbrock,2011,M
Leah Findlater,2011,F
Darren Gergle,2011,M
James P. Higgins,2011,M
Hilary Hutchinson,2003,M
Wendy E. Mackay,2003,F
Bo Westerlund,2003,M
Benjamin B. Bederson,2003,M
Allison Druin,2003,M
Catherine Plaisant,2003,F
Michel Beaudouin-Lafon,2003,M
Stéphane Conversy,2003,M
Helen F Evans,2003,M
Heiko Hansen,2003,M
Nicolas Roussel,2003,M
Björn Eiderbäck,2003,M
Jure Leskovec,2010,M
Daniel P. Huttenlocher,2010,M
Jon Kleinberg,2010,M
Will Hill,1995,M
Larry Stead,1995,M
Mark Rosenstein,1995,M
George W. Furnas,1995,M
Eric Horvitz,1999,M
Sunny Consolvo,2008,M
David W. McDonald,2008,M
Tammy Toscos,2008,M
Mike K. Chen,2008,M
Jon E. Froehlich,2008,M
Beverly L. Harrison,2008,M
Predrag Klasnja,2008,F
Anthony LaMarca,2008,M
Louis Legrand,2008,M
Ryan T. Libby,2008,M
Ian F. C. Smith,2008,M
James A. Landay,2008,F
William Gaver,2003,M
Jacob Beaver,2003,M
Steve Benford,2003,M
Jacob O. Wobbrock,2009,M
Meredith Ringel Morris,2009,F
Andrew D. Wilson,2009,M
Keith Cheverst,2000,M
Nigel Davies,2000,M
Keith Mitchell,2000,M
Adrian Friday,2000,M
Christos Efstratiou,2000,M
Steve Whittaker,1996,M
Candace L. Sidner,1996,F
Paul Dourish,1992,M
Sara Bly,1992,F
Joel Ross,2010,M
Lilly Irani,2010,F
M. Six Silberman,2010,M
Andrew Zaldivar,2010,M
Bill Tomlinson,2010,M
George Fitzmaurice,1995,M
Hiroshi Ishii,1995,M
William Buxton,1995,M
Ka-Ping Yee,2003,F
Kirsten Swearingen,2003,F
Kevin X. Li,2003,M
Marti A. Hearst,2003,F
John O. Lamping,1995,M
Ramana B. Rao,1995,F
Peter Pirolli,1995,M
Eva Hornecker,2006,M
Jacob Buur,2006,M
Sean M. McNee,2006,M
John Riedl,2006,M
Joseph A. Konstan,2006,F
Jakob Nielsen,1992,M
Effie Lai-Chong Law,2009,F
Virpi Roto,2009,F
Marc Hassenzahl,2009,M
Arnold P. O. S. Vermeeren,2009,M
Joke Kort,2009,M
Morgan G. Ames,2007,M
Mor Naaman,2007,M
Emily J. Brown,2004,F
Paul Cairns,2004,M
Ian Li,2010,M
Anind K. Dey,2010,M
Jodi Forlizzi,2010,F
Richard W. Stoakley,1995,M
Matthew Conway,1995,M
Randy Pausch,1995,M
Jeffrey Heer,2005,M
Stuart K. Card,2005,M
James A. Landay,2005,F
Sunny Consolvo,2006,M
Katherine Everitt,2006,F
Ian F. C. Smith,2006,M
James A. Landay,2006,F
Clifford Nass,1994,M
Jonathan Steuer,1994,M
Ellen R. Tauber,1994,M
James C. Lester,1997,M
Sharolyn A. Converse,1997,F
Susan C Kahler,1997,M
S. Todd Barlow,1997,M
Brian Stone,1997,M
Ravinder Singh Bhogal,1997,M
Allison Druin,1999,M
Jakob Nielsen,1994,M
Jock D. Mackinlay,1991,M
George S. Robertson,1991,M
Stuart K. Card,1991,M
Alexander J. Quinn,2011,M
Benjamin B. Bederson,2011,M
Fernanda B. Viégas,2004,F
Martin Wattenberg,2004,M
Kushal S. Dave,2004,M
Mary Czerwinski,2004,F
Eric Horvitz,2004,M
Susan Wilhite,2004,M
Christopher Ahlberg,1994,M
Ben Shneiderman,1994,M
Moira Burke,2010,F
Cameron Marlow,2010,M
Thomas V. Lento,2010,M
Stuart K. Card,1991,M
George S. Robertson,1991,M
Jock D. Mackinlay,1991,M
Robert J.K. Jacob,2008,M
Audrey Girouard,2008,M
Leanne M. Hirshfield,2008,F
Michael S. Horn,2008,M
Orit Shaer,2008,M
Erin Treacy Solovey,2008,F
Jamie Zigelbaum,2008,M
Jun Rekimoto,2002,M
Jon E. Froehlich,2010,M
Leah Findlater,2010,F
James A. Landay,2010,F
Paul Dourish,2006,M
Jun Rekimoto,1999,M
Masanori Saitoh,1999,M
Jeffrey Heer,2010,M
Michael G. Bostock,2010,M
Shaowen Bardzell,2010,M
Ewa Luger,2016,M
Abigail Sellen,2016,F
William Gaver,2012,M
Frank Vetere,2005,F
Martin Gibbs,2005,M
Jesper Kjeldskov,2005,M
Steve Howard,2005,M
Florian 'Floyd' Mueller,2005,M
Sonja Pedell,2005,F
Karen Mecoles,2005,F
Marcus Bunyan,2005,M
Robert Orr,2000,M
Gregory D. Abowd,2000,M
B. J. Fogg,1999,M
Hsiang Tseng,1999,M
Shumin Zhai,1999,F
Carlos H. Morimoto,1999,M
Steven Carlyle Ihde,1999,M
Nicolas Ducheneaut,2006,M
Nick Yee,2006,F
Eric S. Nickell,2006,M
Robert B. Moore,2006,M
Cliff Lampe,2007,M
Nicole B. Ellison,2007,F
Charles Steinfield,2007,M
Roy Want,1999,M
Kenneth P. Fishkin,1999,M
Anuj Gujar,1999,M
Beverly L. Harrison,1999,M
B. J. Fogg,2001,M
Jonathan Marshall,2001,M
Othman Laraki,2001,M
Alex Osipovich,2001,M
Chris Varma,2001,F
Nicholas X. Fang,2001,M
Jyoti Paul,2001,M
Akshay Rangnekar,2001,F
John Shon,2001,M
Preeti Swani,2001,F
