Name,Year,Gender
C. Caloz,2002,M
Tatsuo Itoh,2002,M
John Huang,2002,M
P.V. Nikitin,2006,M
K. J. Rao,2006,M
Nader Engheta,2002,F
J. Howell,1972,M
Ben A. Munk,2003,F
Richard J. K. Taylor,2003,M
T. Durharn,2003,M
W. Croswell,2003,M
B. Pigon,2003,M
Randy Boozer,2003,M
Steven S. Brown,2003,M
M. Jones,2003,M
J. Pryor,2003,M
Sean Ortiz,2003,M
James J. Rawnick,2003,M
KH Krebs,2003,M
M. D. Vanstrum,2003,M
Griffin K. Gothard,2003,M
D. Wiebelt,2003,M
Arthur A. Oliner,1986,F
K. Lee,1986,M
P. K. Bhartia,1982,F
I.J. Bahl,1982,M
Hans Gregory Schantz,2002,M
P. Salonen,2004,M
Yahya Rahmat-Samii,2004,M
Markku Kivikoski,2004,M
John Huang,1995,M
S.D. Targonski,1994,M
David M. Pozar,1994,M
Koichi Gyoda,2000,M
Tatsuo Ohira,2000,M
Albert Sabban,1983,M
Ladislau Matekovits,2001,M
Giuseppe Vecchi,2001,M
Gianluca Dassano,2001,M
Mario Orefice,2001,F
P. Salonen,2004,M
Yahya Rahmat-Samii,2004,M
H. Hurme,2004,M
Markku Kivikoski,2004,M
Kiyo Tomiyasu,1978,F
John Huang,1989,M
G. Tzeremes,2002,M
Christos G. Christodoulou,2002,M
Zikri Bayraktar,2010,M
Muge Komurcu,2010,M
Douglas H. Werner,2010,M
H. Sanad,1994,M
Anthony Grbic,2002,M
George V. Eleftheriades,2002,M
Matthias Klemm,2008,M
Ian J Craddock,2008,M
JA Leendertz,2008,F
Alan Preece,2008,M
Robert S. Benjamin,2008,M
Y. Mizugutch,1976,F
Masuko Akagawa,1976,F
Hiroshi Yokoi,1976,F
Randy L. Haupt,2000,M
P. Salonen,2004,M
Yahya Rahmat-Samii,2004,M
H. Hurme,2004,M
Markku Kivikoski,2004,M
Yunqiang Yang,2005,F
Aly E. Fathy,2005,F
P. Salonen,2005,M
Jaehoon Kim,2005,M
Yahya Rahmat-Samii,2005,M
L. R. Lewis,1974,M
M. Fassett,1974,M
J. Hunt,1974,M
Taeyoung Yang,2004,F
William J. Davis,2004,M
Pavel Nikitin,2005,M
S.F. Lam,2005,M
K. J. Rao,2005,M
Xianming Qing,2004,M
Ning Yang,2004,F
Thomas Zwick,2004,M
Christian W. Baks,2004,M
Ullrich R. Pfeiffer,2004,M
Duixian Liu,2004,M
Brian P. Gaucher,2004,M
P. Salonen,2003,M
L Hurme,2003,M
Chunhui Chen,1984,F
A.N. Tulintseff,1984,F
