Name,Year,Gender
Emanuel Todorov,2012,M
Tom Erez,2012,M
Yuval Tassa,2012,F
Jürgen Sturm,2012,M
Nikolas Engelhard,2012,M
Felix Endres,2012,M
Wolfram Burgard,2012,M
Daniel Cremers,2012,M
Daniel Maturana,2015,F
Sebastian Scherer,2015,M
N. Koenig,2004,M
Andrew W. Howard,2004,M
Gill A. Pratt,1995,M
Matthew M. Williamson,1995,M
Josh Tobin,2017,M
Rachel H. Fong,2017,F
Alex K. Ray,2017,M
Jonas Schneider,2017,M
Wojciech Zaremba,2017,M
Pieter Abbeel,2017,M
Yoshiaki Sakagami,2002,M
R. Watanabe,2002,M
C. Aoyama,2002,F
Shinichi Matsunaga,2002,F
Nobuo Higaki,2002,M
Kingo Fujimura,2002,M
Eric Rohmer,2013,M
Surya Prakash Singh,2013,M
Marc Freese,2013,M
Samir Bouabdallah,2004,M
A. Noth,2004,F
Roland Siegwart,2004,M
Peter Biber,2003,M
Wolfgang Strasser,2003,M
Shin Kajita,2001,F
Fumio Kanehiro,2001,M
Katsumi Kaneko,2001,M
Kazuhito Yokoi,2001,F
Hirohisa Hirukawa,2001,M
Radu Bogdan Rusu,2010,M
Gary Bradski,2010,M
Romain Thibaux,2010,M
John Hsu,2010,M
Christian Kerl,2013,M
Jürgen Sturm,2013,M
Daniel Cremers,2013,M
Craig Zilles,1995,M
J.K. Salisbury,1995,M
Samir Bouabdallah,2007,M
Roland Siegwart,2007,M
John J. Leonard,1991,M
Hugh Durrant-Whyte,1991,M
Radu Bogdan Rusu,2008,M
Nico Blodow,2008,M
Zoltan-Csaba Marton,2008,M
Michael Beetz,2008,M
Yuval Tassa,2012,F
Tom Erez,2012,M
Emanuel Todorov,2012,M
Tixiao Shan,2018,F
Brendan Englot,2018,M
Joop A. Peters,2006,M
Stefan Schaal,2006,M
A. De Luca,2006,F
Alin Albu-Schaffer,2006,M
Sami Haddadin,2006,M
Gerd Hirzinger,2006,M
Andreas Eitel,2015,M
Jost Tobias Springenberg,2015,M
Luciano Spinello,2015,M
Martin Riedmiller,2015,M
Wolfram Burgard,2015,M
T. Madani,2006,F
Abdelaziz Benallegue,2006,M
Andres Milioto,2019,M
Ignacio Vizzo,2019,M
Jens Behley,2019,F
Cyrill Stachniss,2019,M
Timothy L. Bailey,2006,M
Jose Nieto,2006,M
Jose Guivant,2006,M
M. Stevens,2006,M
Eduardo Nebot,2006,M
Nobutoshi Ando,2005,M
Tadashi Suehiro,2005,M
K. Kitagaki,2005,F
Tetsuo Kotoku,2005,M
Woo-Keun Yoon,2005,M
Pete Trautman,2010,M
Andreas Krause,2010,M
Paul Furgale,2013,M
Joern Rehder,2013,M
Roland Siegwart,2013,M
Cynthia Breazeal,2005,F
Cory D. Kidd,2005,M
Andrea L. Thomaz,2005,F
Guy Hoffman,2005,M
Mark S. Berlin,2005,M
Lewis Girod,2001,M
Deborah Estrin,2001,F
Dirk Hähnel,2003,M
Wolfram Burgard,2003,M
Dieter Fox,2003,M
Sebastian Thrun,2003,M
Yufan Chen,2017,M
Michael Everett,2017,M
Miao Liu,2017,F
Jonathan P. How,2017,M
Sami Haddadin,2008,M
Alin Albu-Schaffer,2008,M
A. De Luca,2008,F
Gerd Hirzinger,2008,M
Brian D. Ziebart,2009,M
Nathan Ratliff,2009,M
Garratt Gallagher,2009,M
Christoph Mertz,2009,M
Kevin A. Peterson,2009,M
J. Andrew Bagnell,2009,M
Martial Hebert,2009,M
Anind K. Dey,2009,M
Siddhartha S. Srinivasa,2009,M
Anthony R. Cassandra,1996,F
Leslie Pack Kaelbling,1996,M
J.A. Kurien,1996,F
Jing Wang,2016,M
Edwin Olson,2016,M
Simon Lynen,2013,M
Markus W. Achtelik,2013,M
Stephan Weiss,2013,M
Margarita Chli,2013,F
Roland Siegwart,2013,M
Kerstin Dautenhahn,2005,F
Stephen C. Woods,2005,M
C. Kaouri,2005,F
Matthew Walters,2005,M
Kheng Lee Koay,2005,M
I. Werry,2005,M
Niko Sünderhauf,2015,M
Sareh Shirazi,2015,F
Feras Dayoub,2015,M
Ben Upcroft,2015,M
Michael Milford,2015,M
Brian P. Gerkey,2001,M
Robert Vaughan,2001,M
Kasper Stoy,2001,M
Andrew W. Howard,2001,M
Gaurav S. Sukhatme,2001,M
Maja J. Matarić,2001,F
Shin Kajita,2003,F
Fumio Kanehiro,2003,M
Katsumi Kaneko,2003,M
Koji Fujiwara,2003,F
Kensuke Harada,2003,M
Kazuhito Yokoi,2003,F
Hirohisa Hirukawa,2003,M
Jakob Engel,2015,M
Jörg Stückler,2015,M
Daniel Cremers,2015,M
James R. Bruce,2000,M
Tucker Balch,2000,M
Manuela Veloso,2000,F
J.L. Marins,2001,M
Xiaoping Yun,2001,F
E.R. Bachmann,2001,M
Robert B. McGhee,2001,M
Michael Zyda,2001,F
Frédéric Bourgault,2002,M
Alexei Makarenko,2002,M
Steven Williams,2002,M
Ben Grocholsky,2002,F
Hugh Durrant-Whyte,2002,M
Ronald S. Fearing,1995,M
J.E. Colgate,1995,M
Michael C. Stanley,1995,M
Jason M. Brown,1995,M
Mark Euston,2008,M
Paul Coote,2008,M
Robert Mahony,2008,M
Jonghyuk Kim,2008,M
Tarek Hamel,2008,M
Andy Zeng,2018,M
Shuran Song,2018,F
Stefan Welker,2018,M
Johnny Lee,2018,M
Alberto Rodriguez,2018,M
Thomas Funkhouser,2018,M
Scaramuzza,2006,F
Martinelli,2006,F
Siegwart,2006,M
Koh Hosoda,1994,M
Minoru Asada,1994,F
Shuuji Kajita,2010,F
Mitsuharu Morisawa,2010,F
Kanako Miura,2010,F
Shin'ichiro Nakaoka,2010,F
Kensuke Harada,2010,M
Kenji Kaneko,2010,M
