Name,Year,Gender
John D. Larson,2000,M
Paul A. Bradley,2000,M
Scott A. Wartenberg,2000,M
R. Ruby,2000,M
Mathias Fink,1989,M
Claire Prada,1989,F
Felix F. Wu,1989,M
Didier Cassereau,1989,M
Kai Erik Thomenius,1996,M
W.A. Smith,1989,F
R. Ruby,2001,M
Paul A. Bradley,2001,M
Yury Oshmyansky,2001,F
A. Chien,2001,F
John D. Larson,2001,M
Clinton S. Hartmann,2002,M
Clinton S. Hartmann,1982,M
Peter E. Wright,1982,M
R.J. Kansy,1982,M
E.M. Garber,1982,M
Clinton S. Hartmann,1989,M
B.P. Abbott,1989,M
Michalakis Averkiou,1997,M
David N. Roundhill,1997,M
Jeffry E. Powers,1997,M
P.-C. Eccardt,1996,M
Kurt Niederer,1996,M
Thomas Dr Scheiter,1996,M
C. Hierold,1996,M
Kenneth Meade Lakin,1982,M
Jing Wang,1982,M
G.R. Kline,1982,M
Allen R. Landin,1982,M
Yi Chen,1982,M
J.D. Hunt,1982,M
Kyle W. Hollman,1999,M
K.W. Rigby,1999,M
Matthew O'Donnell,1999,M
Ira O. Wygant,2008,M
Mario Kupnik,2008,M
Butrus T. Khuri-Yakub,2008,M
M.I. Haller,1994,F
Butrus T. Khuri-Yakub,1994,M
Kenneth Meade Lakin,1995,M
K.T. McCarron,1995,M
R. J. Rose,1995,F
D. Feld,2008,M
R.R. Parker,2008,M
R. Ruby,2008,M
Paul A. Bradley,2008,M
Shim Dong,2008,M
T. Morita,1992,F
Y. Watanabe,1992,M
Masaaki Tanaka,1992,M
Yasuhiro Nakazawa,1992,M
W.A. Smith,1985,F
Avner Shaulov,1985,M
B.A. Auld,1985,F
K. Nakamura,1977,F
M. Kazumi,1977,M
Hiroshi Shimizu,1977,M
P. Ventura,1998,M
J.M. Hode,1998,M
Marc Solal,1998,M
Jean Desbois,1998,M
J. Ribbe,1998,M
Richard Yung Chiao,1997,M
L.J. Thomas,1997,M
S.D. Silverstein,1997,M
Willem Grandia,1995,F
C.M. Fortunko,1995,M
J.A. Mann,2002,F
William F. Walker,2002,M
Osamu Ikata,1992,F
T. S. Miyashita,1992,F
T. Matsuda,1992,F
Tatsuji Nishihara,1992,F
Yuhki Satoh,1992,M
P.J. Phillips,2001,M
Kazuhiko Yamanouchi,1989,M
N. Sakurai,1989,F
T. Satoh,1989,M
P.V. Wright,1985,M
Clark T.-C. Nguyen,1995,M
Michalakis Averkiou,2000,M
Takeshi Kodama,1986,M
Hiroshi Kawabata,1986,F
Y. Yasuhara,1986,F
Hideyuki Sato,1986,M
C.S. Lam,2008,M
Kazuo Tsubouchi,1981,M
K. Sugai,1981,M
Nobuo Mikoshiba,1981,F
Robert Aigner,2008,M
Leonhard Reindl,1993,M
Werner Ruile,1993,M
E. J. Staples,1974,M
J.S. Schoenwald,1974,M
Roni Rosenfeld,1974,F
Clinton S. Hartmann,1974,M
Toyosaka Moriizumi,1987,F
Y. Unno,1987,M
Showko Shiokawa,1987,F
Kazuhiko Yamanouchi,1975,M
M Felix Nyffeler,1975,M
K. Shibayama,1975,F
P. Ventura,1995,M
J.M. Hode,1995,M
Marc Solal,1995,M
Stewart Sherrit,1999,M
Sean P. Leary,1999,M
B.P. Dolgin,1999,M
Yoseph Bar-Cohen,1999,M
C.S. Hartmann,1973,M
Matthew O'Donnell,1979,M
D. Bauwens,1979,M
J. W. Mimbs,1979,M
Jon M. Miller,1979,M
Volkmar Uhlendorf,1994,M
C. Hoffmann,1994,M
Seinosuke Kawashima,1994,F
Osamu Ohnishi,1994,M
H. Hakamata,1994,M
Sanae Tagami,1994,F
A. Fukuoka,1994,F
Tsuyoshi Inoue,1994,M
Shigeki Hirose,1994,F
M. Lewis,1977,M
Satoshi Shiokawa,1989,F
Yoshio Matsui,1989,M
T. Ueda,1989,F
G. Kovacs,1992,M
G.W. Lubking,1992,M
Michael J. Vellekoop,1992,M
A. Venema,1992,F
P. Ventura,1995,M
J.M. Hode,1995,M
B. Lopes,1995,M
Peter C. Burns,1994,M
Jeffry E. Powers,1994,M
David Hope Simpson,1994,M
A. Brezina,1994,F
A. A. Kolin,1994,F
Chien Ting Chin,1994,F
V Uhlendorf,1994,M
T. Fritzsch,1994,M
Leonhard Reindl,1996,M
G. Scholl,1996,M
Thomas Ostertag,1996,M
Clemens Ruppel,1996,M
W. E. Bulst,1996,M
Frank Seifert,1996,M
Stefon Shelton,2009,M
Mei-Lin Chan,2009,F
Hyun-Kyu Park,2009,M
David A. Horsley,2009,M
Bernhard E. Boser,2009,M
Igor Izyumin,2009,M
Richard J. Przybyla,2009,M
Tim Frey,2009,M
Michael Judy,2009,M
Kieran Nunan,2009,M
Firas Sammoura,2009,F
Ken Yang,2009,M
Alfred Pohl,1997,M
Gerald Ostermayer,1997,M
Leonhard Reindl,1997,M
Frank Seifert,1997,M
T.W. Bristol,1972,M
W. C. Jones,1972,M
Peter B. Snow,1972,M
Wesley H Smith,1972,M
Takeo Shiina,1996,F
Marvin M. Doyley,1996,M
Jeffrey C. Bamber,1996,M
Osamu Ohnishi,1992,M
Hiromi Kishie,1992,F
A. Iwamoto,1992,F
Y. Sasaki,1992,F
Toshiyuki Zaitsu,1992,M
Tsuyoshi Inoue,1992,M
Victor Plessky,1993,M
D.M. Mills,2004,M
Gregory L. Wojcik,1993,M
David J. Vaughan,1993,M
Najib N. Abboud,1993,M
Jr. Mould J.,1993,M
P.V. Wright,1989,M
Olivier Couture,2011,F
Benoit Besson,2011,M
Gabriel Montaldo,2011,M
Mathias Fink,2011,M
Mickael Tanter,2011,M
Laurent Thomas,1994,M
Andrew J. Hall,1994,M
Stephan Marksteiner,2005,M
J. Kaitila,2005,F
G.G. Fattinger,2005,M
Robert Aigner,2005,M
G. W. Lockwood,1994,M
F. Stuart Foster,1994,M
T. Bowen,1981,M
Xiaoqi Bao,1987,F
Walter A. Burkhard,1987,M
Vijay K. Varadan,1987,M
Vijay K. Varadan,1987,M
M. Lewis,1983,M
G.G. Fattinger,2005,M
Stephan Marksteiner,2005,M
J. Kaitila,2005,F
Robert Aigner,2005,M
Donald C. Malocha,2004,M
D. Puccio,2004,M
D.R. Gallagher,2004,M
M. Pereira da Cunha,2008,F
Robert J. Lad,2008,M
T. Moonlight,2008,M
Günther Bernhardt,2008,M
D. J. Frankel,2008,M
J.M. Hode,1995,M
Jean Desbois,1995,M
P. Difilie,1995,F
Marc Solal,1995,M
P. Ventura,1995,M
Clemens Ruppel,1994,M
Werner Ruile,1994,M
G. Scholl,1994,M
Karl-Heinz Wagner,1994,M
O. Manner,1994,M
W. Buff,1994,M
F. Plath,1994,M
O. Schmeckebier,1994,M
M. Rusko,1994,M
T. Vandahl,1994,M
H. Luck,1994,M
F. Moller,1994,F
Donald C. Malocha,1994,M
R. Ruby,2008,M
R. Parker,2008,M
D. Feld,2008,M
Daniel Royer,1986,M
E. Dieulesaint,1986,M
Michel E. Bertrand,1989,M
Jean Meunier,1989,M
M. Doucet,1989,M
G. Ferland,1989,M
Kenneth Meade Lakin,2002,M
Jens Jensen,1999,M
O. Holm,1999,M
Lars Juhl Jensen,1999,M
Henrik Bendsen,1999,M
H.M. Pedersen,1999,M
K. Buch Salomonsen,1999,M
J. D. Hansen,1999,M
Svetoslav Nikolov,1999,M
Tatsuji Nishihara,2002,F
Takaaki Yokoyama,2002,F
T. S. Miyashita,2002,F
Yuhki Satoh,2002,M
H. Scherr,1996,F
G. Scholl,1996,M
Franziska Seifert,1996,F
Robert Weigel,1996,M
R.C. Peach,1995,M
Kenneth Meade Lakin,2001,M
J. Belsick,2001,M
J.F. McDonald,2001,M
K.T. McCarron,2001,M
P.K. Weber,1994,M
Roman A. Schmitt,1994,M
Bartosz Tylkowski,1994,M
J. Steck,1994,M
Jon M. Miller,1983,M
J. A. Coarasa Perez,1983,M
J.G. Mottley,1983,M
Eric I. Madaras,1983,M
Patrick H. Johnston,1983,M
E.D. Blodgett,1983,M
Laurent Thomas,1983,M
Burton E. Sobel,1983,M
V. Magori,1994,M
Robert E. Newnham,1993,M
Aydin Dogan,1993,M
Qiao Xu,1993,F
Katsuhiko Onitsuka,1993,F
James F. Tressler,1993,M
Shinya Yoshikawa,1993,F
P.M. Embree,1985,F
William D. O'Brien,1985,M
Reinhard Lerch,1988,M
W.A. Smith,1984,F
Avner Shaulov,1984,M
B.M. Singer,1984,M
C.S. Hartmann,1972,M
Barry Secrest,1972,M
Clarence J. Dunnrowicz,1976,M
F. Sandy,1976,M
Thomas E. Parker,1976,M
S. Elliott,1984,M
R.C. Bray,1984,M
P.-C. Eccardt,1997,M
Kurt Niederer,1997,M
B. Fischer,1997,M
P. Ventura,1994,M
Marc Solal,1994,M
Pierre Dufilie,1994,M
J.M. Hode,1994,M
F. Roux,1994,M
Mitsuru Adachi,1985,F
Tadashi Shiosaki,1985,M
Hiroshi Kobayashi,1985,M
Osamu Ohnishi,1985,M
Akira Kawabata,1985,F
P.V. Wright,1984,M
Barry Friemel,1995,M
L.N. Bohs,1995,M
Gregg E. Trahey,1995,M
B.P. Abbott,1989,M
Clinton S. Hartmann,1989,M
Donald C. Malocha,1989,M
Frank Schmidt,1994,M
Leonhard Reindl,1994,M
V. Mhgori,1994,M
Svetoslav Nikolov,1999,M
Kim Gammelmark,1999,M
Jens Jensen,1999,M
Roman Kuc,1976,M
M. Schwartz,1976,M
L.V. Micsky,1976,M
Kentaro Hanma,1976,M
B.J. Hunsinger,1976,M
T. Thorvaldsson,1989,M
P.V. Wright,1992,M
Christopher M. W. Daft,2004,M
S. Calmes,2004,M
D. I. Da Graca,2004,F
K. Patel,2004,M
P. Wagner,2004,M
I. Ladabaum,2004,M
Clinton S. Hartmann,2004,M
P. Hartmann,2004,M
Peter Brown,2004,M
J. Bellamy,2004,F
L. Claiborne,2004,M
W. Bonner,2004,M
Tsutomu Takai,2017,M
Hideki Iwamoto,2017,M
Yuichi Takamine,2017,M
Toshiyuki Fuyutsume,2017,M
Takeshi Nakao,2017,M
Masahiro Hiramoto,2017,M
Takanori Toi,2017,M
Masayoshi Koshino,2017,M
Ewald Benes,2001,M
Martin Gröschl,2001,M
H. Nowotny,2001,F
Felix Trampler,2001,M
Timo Keijzer,2001,M
H. Bohm,2001,M
Stefan Radel,2001,M
Lisa Gherardini,2001,F
Jeremy J. Hawkes,2001,M
R. Konig,2001,M
Ch. Delouvroy,2001,M
Odile Bonnefous,1986,F
P. Pesque,1986,M
Xavier Bernard,1986,M
Fabio Viola,2005,F
W. Allan Walker,2005,M
M. Lewis,1982,M
Paul Muralt,2005,M
J. Antifakos,2005,M
Marco Cantoni,2005,M
R. Lanz,2005,M
F. Martin,2005,M
Thanssis Misaridis,1999,M
Jørgen Arendt Jensen,1999,M
Bradley E. Treeby,2014,M
Jiri Jaros,2014,M
Daniel Rohrbach,2014,M
Bradley Cox,2014,M
Jørgen Arendt Jensen,2000,M
I. Nikolov,2000,M
Tsutomu Takai,2016,M
Hideki Iwamoto,2016,M
Yuichi Takamine,2016,M
Hisashi Yamazaki,2016,M
Toshiyuki Fuyutsume,2016,M
Haruki Kyoya,2016,F
Takeshi Nakao,2016,M
Hajime Kando,2016,M
Masahiro Hiramoto,2016,M
Takanori Toi,2016,M
Masayoshi Koshino,2016,M
Norio Nakajima,2016,M
Takanobu Amano,1998,M
T. Ishii,1998,M
K. Nakamura,1998,F
S. Ueha,1998,F
Richard Yung Chiao,2000,M
L.J. Thomas,2000,M
Kenneth Meade Lakin,1992,M
G.R. Kline,1992,M
K.T. McCarron,1992,M
Ken Hashimoto,2011,M
Michio Kadota,2011,M
Takeshi Nakao,2011,M
Masanori Ueda,2011,F
Michio Miura,2011,F
Hiroyuki Nakamura,2011,F
Hidekazu Nakanishi,2011,M
Kenji Suzuki,2011,F
Gary J. Saulnier,2006,M
Henry A. Scarton,2006,M
A.J. Gavens,2006,M
David Shoudy,2006,M
T.L. Murphy,2006,M
M. Wetzel,2006,M
S. Bard,2006,M
Sebastian Roa-Prada,2006,M
P. Das,2006,M
Matthew O'Donnell,1993,M
Stanislav Emelianov,1993,M
A.R. Skovoroda,1993,F
M.A. Lubinski,1993,F
William F. Weitzel,1993,M
Roger C. Wiggins,1993,M
Tuomas Pensala,2011,M
Antti Jaakkola,2011,F
Mika Prunnila,2011,F
James Dekker,2011,M
Timothy J. Hall,2013,M
Andy Milkowski,2013,M
Brian S. Garra,2013,M
Paul L. Carson,2013,M
Mark L. Palmeri,2013,M
Kathy Nightingale,2013,F
Ted Lynch,2013,M
Abdullah Alturki,2013,M
Michael P. Andre,2013,M
Stephane Audiere,2013,F
Jeffery C. Bamber,2013,M
Richard G. Barr,2013,M
Jeremy Bercoff,2013,M
Jessica Bercoff,2013,F
Miguel Bernal,2013,M
Javier Brum,2013,M
Huan Wee Chan,2013,M
Shigao Chen,2013,F
Claude Cohen-Bacrie,2013,M
Mathieu Couade,2013,M
Allison Arden Daniels,2013,M
Ryan J. DeWall,2013,M
Jonathan R. Dillman,2013,M
Richard L. Ehman,2013,M
Stéphanie Franchi-Abella,2013,F
Jérémie Fromageau,2013,M
Jean-Luc Gennisson,2013,M
Jean-Pierre Henry,2013,M
N.M. Ivancevich,2013,M
Jan Kalin,2013,M
Sarah Kohn,2013,F
Jennifer F. Kugel,2013,F
Ken Lee,2013,M
N. Liu,2013,M
Thanasis Loupas,2013,M
Joan Mazernik,2013,M
Stephen A. McAleavey,2013,F
Véronique Miette,2013,F
Stephen Metz,2013,M
B. M. Morel,2013,M
Thomas R. Nelson,2013,M
Eric J. Nordberg,2013,M
Jennifer Oudry,2013,F
Monali Padwal,2013,F
Ned C. Rouze,2013,M
Anthony E. Samir,2013,M
Laurent Sandrin,2013,M
Janet Schaccitti,2013,F
Cédric Schmitt,2013,M
Vijay Shamdasani,2013,M
Pehngfei Song,2013,F
Pamela Switalski,2013,F
Michael Wang,2013,M
Keith A. Wear,2013,F
Hua Xie,2013,F
Heng Zhao,2013,M
Timothy L. Bagwell,1987,M
R.C. Bray,1987,M
Yasuhiro Suzuki,1976,F
Hiroshi Shimizu,1976,M
Masahiro Takeuchi,1976,M
K. Nakamura,1976,F
Akimasa Yamada,1976,F
Ross A. Lemons,1973,M
Calvin F. Quate,1973,M
P.J. Stephanou,2006,M
Albert P. Pisano,2006,M
Clinton S. Hartmann,1988,M
Benjamin P. Abbott,1988,M
Matthew O'Donnell,1991,M
A.R. Skovorada,1991,F
B.M. Shapo,1991,M
B.A. Auld,1984,F
Yu Wang,1984,M
R. Inaba,1987,F
A. Tokushima,1987,F
Osamu Kawasaki,1987,M
Y. Ise,1987,F
