Name,Year,Gender
Rainer Lienhart,2002,M
Jochen Maydt,2002,F
Nicolai Wojke,2017,M
Alex Bewley,2017,M
Dietrich Paulus,2017,M
R.G. van Schyndel,1994,M
Andrew Z. Tirkel,1994,M
Charles F Osborne,1994,M
Eero P. Simoncelli,1995,F
William R. Freeman,1995,M
Yong Rui,1997,M
Thomas S. Huang,1997,M
Sharad Mehrotra,1997,F
Zhou Wang,2002,M
Hamid R. Sheikh,2002,M
Alan C. Bovik,2002,M
Lei Zhang,2016,F
Fan Yang,2016,M
Yimin D. Zhang,2016,M
Ying Zhu,2016,F
Eero P. Simoncelli,1996,F
Edward H. Adelson,1996,M
Wujun Ma,1997,F
B.S. Manjunath,1997,M
Hong-Wei Ng,2014,M
Stefan Winkler,2014,M
Lenny I. Rudin,1994,M
Stanley Osher,1994,M
Gemma Piella,2003,F
Henk J. A. M. Heijmans,2003,M
Pina Marziliano,2002,F
Frederic Dufaux,2002,M
Stefan Winkler,2002,M
Touradj Ebrahimi,2002,M
Chen Chen,2015,F
Roozbeh Jafari,2015,M
Nasser Kehtarnavaz,2015,M
Raymond B. Wolfgang,1996,M
Edward J. Delp,1996,M
Ingemar J. Cox,1996,M
J. Kilian,1996,M
T. Leighton,1996,M
Talal G. Shamoon,1996,M
Ramarathnam Venkatesan,2000,M
S.-M. Koon,2000,M
Mariusz H. Jakubowski,2000,M
Pierre Moulin,2000,M
Patrick Teo,1994,M
David J. Heeger,1994,M
Minerva M. Yeung,1997,F
Frederick Cole Mintzer,1997,M
John Daugman,2002,M
Shamik Sural,2002,F
Gang Qian,2002,M
Sakti Pramanik,2002,F
Pierre Charbonnier,1994,M
Laure Blanc-Féraud,1994,M
G. Aubert,1994,M
Michel Barlaud,1994,M
Rajarathnam Chandramouli,2001,M
Nasir Memon,2001,M
Zia-ur Rahman,1996,M
D.J. Jobson,1996,M
G.A. Woodell,1996,F
Jan P. Allebach,1996,M
Ping Kwan Johnny Wong,1996,M
Simon Masnou,1998,M
J. Morel,1998,M
Marc Schneider,1996,M
Shih-Fu Chang,1996,M
Huizhong Chen,2011,M
Sam S. Tsai,2011,M
Georg Schroth,2011,M
David J. Chen,2011,M
Radek Grzeszczuk,2011,M
Bernd Girod,2011,M
Bin Li,2014,F
Ming Wang,2014,M
Jiwu Huang,2014,M
Xiaolong Li,2014,M
Minh N. Do,2002,M
Martin Vetterli,2002,F
Aude Oliva,2003,F
Antonio Torralba,2003,M
Monica S. Castelhano,2003,F
John M. Henderson,2003,M
Alessandro Piva,1997,M
Mauro Barni,1997,M
Franco Bartolini,1997,F
Vito Cappellini,1997,M
J. G. Smith,1994,M
Shih-Fu Chang,1994,M
Mahdyar Ravanbakhsh,2017,M
Moin Nabi,2017,M
Enver Sangineto,2017,F
Lucio Marcenaro,2017,M
Carlo S. Regazzoni,2017,M
Nicu Sebe,2017,M
Nick Kingsbury,2000,M
Radhakrishna Achanta,2010,F
Sabine Süsstrunk,2010,F
Mitchell D. Swanson,1996,M
Bin Zhu,1996,M
A.H. Tewfik,1996,M
Xiang-Gen Xia,1997,F
Charles G. Boncelet,1997,M
Gonzalo R. Arce,1997,M
Oliver Rockinger,1997,M
Zhou Wang,2000,M
Alan C. Bovik,2000,M
B.L. Evan,2000,M
Yunqiang Chen,2001,M
Xiang Zhou,2001,M
Thomas S. Huang,2001,M
Meng Yang,2010,M
Lei Zhang,2010,F
Jian Yang,2010,M
A.R. Calderbank,1997,F
Ingrid Daubechies,1997,M
Wim Sweldens,1997,M
Boon-Lock Yeo,1997,M
Joséph John O'Ruanaidh,1997,M
T. P. Pun,1997,M
Martin Szummer,1996,M
Rosalind W. Picard,1996,M
Giulio Marin,2014,M
Fabio Dominio,2014,M
Pietro Zanuttigh,2014,M
Allen Y. Yang,2010,F
Srikanth Sastry,2010,M
Arvind Ganesh,2010,M
Yi Ma,2010,F
Yueting Zhuang,1998,F
Yong Rui,1998,M
Thomas S. Huang,1998,M
Sharad Mehrotra,1998,F
