Name,Year,Gender
Johan Löfberg,2004,M
Radu Bogdan Rusu,2011,M
Steve B. Cousins,2011,M
Morgan Quigley,2009,F
Radu Bogdan Rusu,2009,M
Nico Blodow,2009,M
Michael Beetz,2009,M
James J. Kuffner,2000,M
Steven M. LaValle,2000,M
Katsuya Hirai,1998,M
Hirose M,1998,F
Y. Haikawa,1998,F
Toru Takenaka,1998,F
Shin Kajita,2003,F
Fumio Kanehiro,2003,M
Katsumi Kaneko,2003,M
Koji Fujiwara,2003,F
Kensuke Harada,2003,M
Kazuhito Yokoi,2003,F
Hirohisa Hirukawa,2003,M
Rainer Kümmerle,2011,M
Giorgio Grisetti,2011,M
Hauke Strasdat,2011,M
Kurt Konolige,2011,M
Wolfram Burgard,2011,M
Hans P. Moravec,1985,M
Alberto Elfes,1985,M
Daniel Mellinger,2011,M
Vijay Kumar,2011,M
Christian Forster,2014,M
Matia Pizzoli,2014,F
Davide Scaramuzza,2014,F
Frank Dellaert,1999,M
D. B. Fox,1999,M
Wolfram Burgard,1999,M
Sebastian Thrun,1999,M
Yoram Koren,1991,M
Johann Borenstein,1991,M
Y. Kanayama,1990,F
Yuki Kimura,1990,F
Fumio Miyazaki,1990,M
Takaaki Noguchi,1990,M
Kevin Lai,2011,M
Liefeng Bo,2011,M
Xiaofeng Ren,2011,M
Dieter Fox,2011,M
YangQuan Chen,1991,M
Gerard Medioni,1991,M
J. A. van den Berg,2008,M
Ming C. Lin,2008,M
Dinesh Manocha,2008,M
Wolfgang Hess,2016,M
Damon Kohler,2016,M
H. Rapp,2016,M
Daniel Andor,2016,M
Shixiang Gu,2017,M
Ethan Holly,2017,M
Timothy P. Lillicrap,2017,M
Sergey Levine,2017,M
Edwin Olson,2011,M
Lerrel Pinto,2016,M
Abhinav Gupta,2016,M
Antonio Bicchi,2000,M
Vijay Kumar,2000,M
Michael Milford,2012,M
Gordon Wyeth,2012,M
Samir Bouabdallah,2005,M
Roland Siegwart,2005,M
Carlo Ferrari,1992,F
John Canny,1992,M
Katsumi Kaneko,2004,M
Fumio Kanehiro,2004,M
Shin Kajita,2004,F
Hirohisa Hirukawa,2004,M
T. Kawasaki,2004,M
Masayuki Hirata,2004,F
Kazuhiko Akachi,2004,M
Takakatsu Isozumi,2004,F
Samir Bouabdallah,2004,M
Pierpaolo Murrieri,2004,F
Roland Siegwart,2004,M
Robert Bohlin,2000,M
Lydia E. Kavraki,2000,F
Ankur Handa,2014,F
Thomas A. Whelan,2014,M
John F. McDonald,2014,M
Andrew J. Davison,2014,M
Nathan Ratliff,2009,M
Matt Zucker,2009,M
J. Andrew Bagnell,2009,M
Siddhartha S. Srinivasa,2009,M
Mrinal Kalakrishnan,2011,M
Sachin Chitta,2011,F
Evangelos A. Theodorou,2011,M
Peter Pastor,2011,M
Stefan Schaal,2011,M
Sean Quinlan,1993,M
Oussama Khatib,1993,M
Felipe Codevilla,2018,M
Matthias A. Miiller,2018,M
Antonio M. López,2018,M
Vladlen Koltun,2018,M
Alexey Dosovitskiy,2018,F
Auke Jan Ijspeert,2002,M
Jun Nakanishi,2002,M
Stefan Schaal,2002,M
Dirk Hähnel,2004,M
Wolfram Burgard,2004,M
Dieter Fox,2004,M
Kenneth P. Fishkin,2004,M
Matthai Philipose,2004,M
Anusha Nagabandi,2018,F
Gregory Kahn,2018,M
Ronald S. Fearing,2018,M
Sergey Levine,2018,M
Jaydev P. Desai,1998,M
James Ostrowski,1998,M
Vineet Kumar,1998,M
Wolfram Burgard,2000,M
Mark Moors,2000,M
D. B. Fox,2000,M
Simmons Rl,2000,M
Sebastian Thrun,2000,M
Felix Endres,2012,M
Jurgen Hess,2012,M
Nikolas Engelhard,2012,M
Jürgen Sturm,2012,M
Daniel Cremers,2012,M
Wolfram Burgard,2012,M
A.T. Miller,2003,F
Steffen Knoop,2003,M
Henrik I. Christensen,2003,M
Peter K. Allen,2003,M
Peter Pastor,2009,M
Heiko Hoffmann,2009,M
Tamim Asfour,2009,M
Stefan Schaal,2009,M
J. Butterfass,2001,M
Markus Grebenstein,2001,M
Hongfang Liu,2001,M
Gerd Hirzinger,2001,M
Sebastian Thrun,2000,M
Wolfram Burgard,2000,M
D. B. Fox,2000,M
Joseph Redmon,2015,M
Anelia Angelova,2015,F
Gary S. Guthart,2000,M
J.K. Salisbury,2000,M
Sertac Karaman,2011,M
Matthew J. Walter,2011,M
Alejandro Perez,2011,M
Emilio Frazzoli,2011,M
Seth Teller,2011,M
Chelsea Finn,2017,F
Sergey Levine,2017,M
Sameera Poduri,2004,F
Gaurav S. Sukhatme,2004,M
Sebastian Thrun,1999,M
Maren Bennewitz,1999,F
Wolfram Burgard,1999,M
Armin B. Cremers,1999,M
Frank Dellaert,1999,M
D. B. Fox,1999,M
Dirk Hähnel,1999,M
Charles J. Rosenberg,1999,F
Nicholas Roy,1999,M
Jamieson Schulte,1999,M
Dirk Schulz,1999,M
John Baillieul,1985,M
Nate Kohl,2004,M
Peter Stone,2004,M
Mark Yim,2000,M
David G. Duff,2000,M
Kimon Roufas,2000,M
J.E. Colgate,1994,M
Jason M. Brown,1994,M
Iwan Ulrich,1998,M
Johann Borenstein,1998,M
Steven M. LaValle,1999,M
James J. Kuffner,1999,M
Jesse Levinson,2010,M
Sebastian Thrun,2010,M
G. Grisettiyz,2005,F
Cyrill Stachniss,2005,M
Wolfram Burgard,2005,M
Christian Kerl,2013,M
Jürgen Sturm,2013,M
Daniel Cremers,2013,M
Konstantinos Bousmalis,2018,M
Alex Irpan,2018,M
Paul Wohlhart,2018,M
Yunfei Bai,2018,F
Matthew Kelcey,2018,M
Mrinal Kalakrishnan,2018,M
Laura Lee Downs,2018,F
Julian Ibarz,2018,M
Peter Pastor,2018,M
Kurt Konolige,2018,M
Sergey Levine,2018,M
Vincent Vanhoucke,2018,M
Michael Rubenstein,2012,M
Christian Ahler,2012,M
Radhika Nagpal,2012,F
Christopher S. Lovchik,1999,M
M.A. Diftler,1999,F
Raja Chatila,1985,F
Jean-Paul Laumond,1985,M
James L. Crowley,1989,M
Jerry Pratt,2004,M
Benjamin T. Krupp,2004,M
C.J. Morse,2004,M
Steven H. Collins,2004,M
Brian S. R. Armstrong,1986,M
Oussama Khatib,1986,M
J. Burdick,1986,M
G. Y. Robinson,1999,M
Jane C. Davies,1999,M
Martin Engelcke,2017,M
Dushyant Rao,2017,M
Dominic Zeng Wang,2017,M
Chi Hay Tong,2017,M
Ingmar Posner,2017,M
Herman Bruyninckx,2001,M
Reid Simmons,1996,M
Anirudh Vemula,2018,F
Katharina Muelling,2018,F
Jean Oh,2018,M
Sebastian Wolf,2008,M
Gerd Hirzinger,2008,M
Oliver Brock,1999,M
Oussama Khatib,1999,M
V. Boor,1999,M
Mark H. Overmars,1999,M
A. Frank van der Stappen,1999,M
Iwan Ulrich,2000,M
Illah Nourbakhsh,2000,F
Eitan Marder-Eppstein,2010,M
Eric Berger,2010,M
Tully Foote,2010,M
Brian P. Gerkey,2010,M
Kurt Konolige,2010,M
Ashvin Nair,2018,M
Bob McGrew,2018,M
Marcin Andrychowicz,2018,M
Wojciech Zaremba,2018,M
Pieter Abbeel,2018,M
Ji Zhang,2015,F
Sanjiv Singh,2015,M
Tad McGeer,1990,M
Stephen Se,2001,M
Derek Lowe,2001,M
Jared David Little,2001,M
Homayoon Kazerooni,2005,M
J.-L. Racine,2005,F
Lihua Huang,2005,M
Ryan Steger,2005,M
Vijay Badrinarayanan,2016,M
Roberto Cipolla,2016,M
Stephen C. Jacobsen,1986,M
E. K. Iversen,1986,M
David F. Knutti,1986,M
Richard T. Johnson,1986,M
Klaus B. Biggers,1986,M
Christopher I. Connolly,1990,M
J.B. Burns,1990,M
Rainer Weiss,1990,M
Adam Bry,2011,M
Nicholas Roy,2011,M
Ming C. Lin,1991,M
John Canny,1991,M
Leslie Pack Kaelbling,2011,M
Tomás Lozano-Pérez,2011,M
Andrea Censi,2008,F
Robert Zlot,2002,M
Anthony Stentz,2002,M
Maria Isabel Dias,2002,F
Scott M. Thayer,2002,M
G. Tonietti,2005,F
R. Schiavi,2005,F
Antonio Bicchi,2005,M
Mayor John E. McCORMAC,2017,M
Ankur Handa,2017,F
Andrew J. Davison,2017,M
Stefan Leutenegger,2017,M
Michael Montemerlo,2003,M
Sebastian Thrun,2003,M
Ruihao Li,2018,F
Sen Wang,2018,M
Zhiqiang Long,2018,M
Dongbing Gu,2018,M
Neville Hogan,1987,M
Lorenz Meier,2015,M
Dominik Honegger,2015,M
Marc Pollefeys,2015,M
Chelsea Finn,2016,F
Xin Tan,2016,M
Yan Duan,2016,M
Trevor Darrell,2016,M
Sergey Levine,2016,M
Pieter Abbeel,2016,M
Hauke Strasdat,2010,M
J. M. M. Montiel,2010,M
Andrew J. Davison,2010,M
Pierre Sermanet,2018,F
Corey Lynch,2018,F
Yevgen Chebotar,2018,M
Jasmine Hsu,2018,F
Eric B. Jang,2018,M
Stefan Schaal,2018,M
Sergey Levine,2018,M
Fangchang Mal,2018,F
Sertac Karaman,2018,M
Erdinc Altug,2002,M
James Ostrowski,2002,M
Robert Mahony,2002,M
Siddharth Srivastava,2014,M
Eugene Fang,2014,M
Lorenzo Riano,2014,M
Rohan Chitnis,2014,M
Stuart D. Russell,2014,M
Pieter Abbeel,2014,M
Claude Samson,1991,M
Karim Ait-Abderrahim,1991,M
Andreas Geiger,2012,M
Frank Moosmann,2012,M
Omer Car,2012,M
Bernhard Schuster,2012,M
Bertrand Douillard,2011,M
James H. Underwood,2011,M
Nancy L. Kuntz,2011,M
Vsevolod Vlaskine,2011,M
A. Quadros,2011,M
Peter Morton,2011,M
A. David Frenkel,2011,M
Peter Kazanzides,2014,M
Zihan Chen,2014,M
Anton Deguet,2014,M
Gregory S. Fischer,2014,M
Russell H. Taylor,2014,M
Simon P. DiMaio,2014,M
Andy Zeng,2017,M
Kuan-Ting Yu,2017,M
Shuran Song,2017,F
Daniel Suo,2017,M
Ed Walker Jr.,2017,M
Alberto Rodriguez,2017,M
Jianxiong Xiao,2017,M
Stephane Ross,2013,F
Narek Melik-Barkhudarov,2013,M
Kumar Shaurya Shankar,2013,M
Andreas Wendel,2013,M
Debadeepta Dey,2013,F
J. Andrew Bagnell,2013,M
Martial Hebert,2013,M
Jung-Hyun Kim,1991,F
Pradeep K. Khosla,1991,M
Sean L. Bowman,2017,M
Nikolay Atanasov,2017,M
Vijay Kumar,2017,M
George J. Pappas,2017,M
Marcus Blosch,2010,M
Stephan Weiss,2010,M
Davide Scaramuzza,2010,F
Roland Siegwart,2010,M
Moritz Werling,2010,M
Julius Ziegler,2010,M
Sören Kammel,2010,M
Sebastian Thrun,2010,M
Allison M. Okamura,2000,F
N. Smaby,2000,F
Mark R. Cutkosky,2000,M
Gabe Sibley,2002,M
M. Rahimi,2002,M
Gaurav S. Sukhatme,2002,M
Satoshi Murata,1994,F
Haruhisa Kurokawa,1994,M
Shigeru Kokaji,1994,M
Stephan Weiss,2012,M
Markus W. Achtelik,2012,M
Simon Lynen,2012,M
Margarita Chli,2012,F
Roland Siegwart,2012,M
Markus Kuderer,2015,M
Shilpa Gulati,2015,F
Wolfram Burgard,2015,M
Gunter Niemeyer,1998,M
Jean-Jacques E. Slotine,1998,F
Jeremy Maitin-Shepard,2010,M
Marco F. Cusumano-Towner,2010,M
Jinna Lei,2010,F
Pieter Abbeel,2010,M
Dirk Schulz,2001,M
Wolfram Burgard,2001,M
D. B. Fox,2001,M
Armin B. Cremers,2001,M
Shin Kajita,1991,F
K. Tani,1991,M
Sharon Anne Quinlan,1994,F
Myron A. Diftler,2011,M
Joshua S. Mehling,2011,M
Muhammad E. Abdallah,2011,M
Nicolaus A. Radford,2011,M
Lyndon Bridgwater,2011,M
Adam M. Sanders,2011,M
R.S. Askew,2011,M
Douglas Martin Linn,2011,M
John D. Yamokoski,2011,M
F.A. Permenter,2011,F
Brian Hargrave,2011,M
Robert W. Platt,2011,M
Robert T. Savely,2011,M
Robert O. Ambrose,2011,M
J. Yamaguchi,1999,M
E. Soga,1999,F
Susumu Inoue,1999,F
Atsuo Takanishi,1999,M
Shaojie Shen,2011,M
Nathan Michael,2011,M
Vijay Kumar,2011,M
Tianhao Zhang,2018,F
Zoe McCarthy,2018,M
Owen Jowl,2018,M
Dennis Lee,2018,M
Xi Chen,2018,F
Ken Goldberg,2018,M
Pieter Abbeel,2018,M
Yuval Tassa,2014,F
Nicolas Mansard,2014,M
Emo Todorov,2014,M
Ronald C. Arkin,1987,M
Iwan Ulrich,2000,M
Johann Borenstein,2000,M
Andreas J. Bircher,2016,M
Mina Kamel,2016,F
Kostas Alexis,2016,M
Helen Oleynikova,2016,F
Roland Siegwart,2016,M
Rajesh Vellore Arumugam,2010,M
Vikas Reddy Enti,2010,M
Liu Bingbing,2010,M
Wu Xiaojun,2010,M
Krishnamoorthy Baskaran,2010,M
Foong Foo Kong,2010,M
A. Senthil Kumar,2010,M
Kang Dee Meng,2010,M
Goh Wai Kit,2010,M
Takashi Sugihara,2002,F
Yusuke Nakamura,2002,M
Hiroshi Inoue,2002,M
Jia Pan,2012,F
Sachin Chitta,2012,F
Dinesh Manocha,2012,M
Edwin Olson,2006,M
John J. Leonard,2006,M
Seth Teller,2006,M
Joel Chestnutt,2005,M
Manfred Lau,2005,M
G.K.M. Cheung,2005,M
James J. Kuffner,2005,M
Jessica K. Hodgins,2005,F
Takeo Kanade,2005,M
R. Schiavi,2008,F
Giorgio Grioli,2008,M
Soumen Sen,2008,M
Antonio Bicchi,2008,M
Matthew Johnson-Roberson,2017,M
Charles Barto,2017,M
Rounak Mehta,2017,F
Sharath Nittur Sridhar,2017,M
Karl Rosaen,2017,M
Ram Vasudevan,2017,M
Steven H. Collins,2005,M
Andy Ruina,2005,F
C. Connolly,1985,M
Neville Hogan,1989,M
N. M. Amato,1996,M
Yanwen Wu,1996,F
William D. Smart,2002,M
L. Pack Kaelbling,2002,M
Fabrizio Flacco,2012,M
Torsten Kröger,2012,M
Alessandro De Luca,2012,M
Oussama Khatib,2012,M
M. Rahimi,2003,M
H. A. Shah,2003,F
Gaurav S. Sukhatme,2003,M
J. Heideman,2003,M
Deborah Estrin,2003,F
Dylan Hsu,1997,M
Jean-Claude Latombe,1997,F
Rajeev Motwani,1997,M
Samad Hayati,1986,M
Ken Goldberg,1995,M
Michael Mascha,1995,M
Steven Gentner,1995,M
N. Rothenberg,1995,M
C. Sutter,1995,M
J. Wiegley,1995,M
Michael Bosse,2003,M
Paul Newman,2003,M
John J. Leonard,2003,M
M. Soika,2003,F
Wendelin Feiten,2003,F
Seth Teller,2003,M
Georgios Pavlakos,2017,M
Xiaowei Zhou,2017,F
Aaron Chan,2017,M
Konstantinos G. Derpanis,2017,M
Vijay Kumar,2017,M
Steven Albert Wilmarth,1999,M
Nancy M. Amato,1999,F
Peter F. Stiller,1999,M
Pinxin Long,2018,M
Tingxiang Fanl,2018,M
Xinyi Liao,2018,F
Wenxi Liu,2018,F
Hao Zhang,2018,M
Jia Pan,2018,F
Corey Goldfeder,2009,M
Matei Ciocarlie,2009,F
Hao Dang,2009,M
Peter J. Allen,2009,M
Grady Williams,2017,M
Nolan Wagener,2017,M
Brian Goldfain,2017,M
Paul Drews,2017,M
James M. Rehg,2017,M
Byron Boots,2017,M
Evangelos A. Theodorou,2017,M
Dylan Hsu,2003,M
Tingting Jiang,2003,F
John H. Reif,2003,M
Zheng Sun,2003,M
Koichi Suzumori,1991,F
Shoichi Iikura,1991,M
Hiroshi Tanaka,1991,M
Koji Hashimoto,1991,M
Tsunenobu Kimoto,1991,M
Takumi Ebine,1991,F
Hisamichi Kimura,1991,F
M. Nakao,1987,M
Kouhei Ohnishi,1987,M
Kunio Miyachi,1987,F
Sangok Seok,2013,M
Albert Wang,2013,M
Meng Inn Chuah,2013,M
David J. Perreault,2013,M
Jeffrey H. Lang,2013,M
Sangbae Kim,2013,M
Hyunggi Cho,2014,M
Young-Woo Seo,2014,M
B. V. K. Vijaya Kumar,2014,M
Ragunathan Rajkumar,2014,M
Thomas A. Whelan,2013,M
Hordur Johannsson,2013,M
Michael Kaess,2013,M
John P. Leonard,2013,M
John F. McDonald,2013,M
Yuichiro Ogura,2006,M
Hisanori Aikawa,2006,F
Kazushi Shimomura,2006,F
A. Morishima,2006,F
Hun-ok Lim,2006,M
Atsuo Takanishi,2006,M
Vijay Badrinarayanan,2019,M
Jeffrey Hawke,2019,M
David M. Janz,2019,M
Przemysław Mazur,2019,M
Daniele Reda,2019,F
John-Mark A. Allen,2019,M
Vinh-Dieu Lam,2019,M
Alex Bewley,2019,M
Amar Shah,2019,M
Nancy S. Pollard,2002,M
