Name,Year,Gender
S.A. Manavski,2007,F
Venkata Sasank Pagolu,2016,M
Kamal Chandra Reddy,2016,M
Ganapati Panda,2016,F
Babita Majhi,2016,F
Bhupendra Ingre,2015,M
Anamika Yadav,2015,F
Wen Jin,2000,F
Zhao Li,2000,F
Luo Wei,2000,M
Han Zhen,2000,M
A. Bose,2007,F
Chuan Heng Foh,2007,M
Juanjuan Wang,2006,M
Mantao Xu,2006,M
Hui Wang,2006,M
Ji-Wu Zhang,2006,F
Erik Cambria,2010,F
Amir Hussain,2010,M
Tariq S. Durrani,2010,M
Catherine Havasi,2010,F
Chris Eckl,2010,M
James B. Munro,2010,M
Jing Yu,2010,M
Chuangbai Xiao,2010,M
Dapeng Li,2010,M
Alok Kumar Tripathi,2011,M
Abhinav Mishra,2011,F
Jérôme Daniel,2003,M
Aakanksha Rastogi,2015,F
Ritika Arora,2015,F
Shanu Sharma,2015,F
Bai Tianyang,2012,M
Rahul Vaze,2012,M
Robert W. Heath,2012,M
Xiaofeng Xie,2002,F
Wenjun Zhang,2002,M
Zhi-Lian Yang,2002,F
G Balamurugan,2016,M
J. Valarmathi,2016,M
Vps Naidu,2016,M
Parveen,2015,F
Amritpal Singh,2015,M
M.A. Aabed,2007,F
Sameh M. Awaideh,2007,M
A.-R.M. Elshafei,2007,F
Adnan Gutub,2007,M
Soujanya Poria,2012,F
Alexander Gelbukh,2012,M
Erik Cambria,2012,F
Pei-Pei Yang,2012,F
Amir Hussain,2012,M
Tariq S. Durrani,2012,M
Li Wang,2012,M
Suresh Rangapillai,2012,M
Ratul Ghosh,2017,M
Kuntal Ghosh,2017,M
Sanjit Maitra,2017,F
Jerzy Lopatka,2000,F
Maciej Pedzisz,2000,M
Jianhua Wu,2006,F
Pingping Zeng,2006,M
Yuan Zhou,2006,M
Christian Olivier,2006,M
I. Gogul,2017,M
Vineet Kumar,2017,M
Yusuf Khan,2012,M
Nidal Rafiuddin,2012,M
Omar Farooq,2012,M
Vikas Vippalapalli,2016,M
Snigdha Ananthula,2016,F
J. L. A. de Carvalho,2002,M
A. F. da Rocha,2002,F
F.A. de O. Nascimento,2002,M
J. S. Neto,2002,M
Luiz Fernando Junqueira,2002,M
Shaoming Shan,2010,M
Tao Yuan,2010,M
R. P. Desale,2013,F
Sarita Verma,2013,F
Amitava Nag,2011,M
Jyoti Prakash Singh,2011,M
Srabani Khan,2011,M
Saswati Ghosh,2011,M
Sushanta Biswas,2011,M
Debojit Sarkar,2011,M
Partha Pratim Sarkar,2011,M
Ruiping Wang,2014,M
Wenyan Jia,2014,F
Zhi-Hong Mao,2014,M
Robert J. Sclabassi,2014,M
Mingui Sun,2014,F
Aayush Bhardwaj,2015,M
Ankit Gupta,2015,F
Pallav Jain,2015,M
Asha Rani,2015,F
Jyoti Yadav,2015,M
Homa Foroughi,2008,F
Ali Naseri,2008,M
A. Saberi,2008,F
H. Sadoghi Yazdi,2008,M
A Reema Mathew,2017,F
P. Babu Anto,2017,M
Preeti Sinha,2017,F
Vijay Kumar Jha,2017,M
Amit Kumar,2017,M
Bharat Bhushan,2017,M
D. Sridhar,2013,M
Iyyanki V. Murali Krishna,2013,F
K. S. Kumar,2007,M
Ravindra P. Joshi,2007,M
K. P. Singh,2007,M
