Name,Year,Gender
Hecht-Nielsen,1989,M
Guang-Bin Huang,2004,M
Qin-Yu Zhu,2004,F
Chee-Kheong Siew,2004,M
D Nguyen,1990,M
Bernard Widrow,1990,M
Marco Gori,2005,M
Gabriele Monfardini,2005,F
Franco Scarselli,2005,M
Alex Graves,2005,M
Jürgen Schmidhuber,2005,M
Haibo He,2008,M
Yang Bai,2008,M
Edwardo A Garcia,2008,M
Shutao Li,2008,F
P. Diehl,2015,M
Daniel Neil,2015,M
Jonathan Binas,2015,M
Matthew C. Cook,2015,M
Shih-Chii Liu,2015,F
Michael Pfeiffer,2015,M
Johannes Stallkamp,2011,M
Marc Schlipsing,2011,M
Jan Salmen,2011,M
Christian Igel,2011,M
Gregory H. Cohen,2017,M
Saeed Afshar,2017,M
Jonathan Tapson,2017,M
André van Schaik,2017,M
Srinivas Mukkamala,2002,M
Guadalupe I. Janoski,2002,F
Andrew H. Sung,2002,M
Marcus D. Odom,1990,M
Ramesh Sharda,1990,F
Takashi Kimoto,1990,M
Kazuo Asakawa,1990,F
M. Yoda,1990,F
M. Takeoka,1990,F
Pierre Sermanet,2011,F
Yann LeCun,2011,M
Sebastian Houben,2013,M
Johannes Stallkamp,2013,M
Jan Salmen,2013,M
Marc Schlipsing,2013,M
Christian Igel,2013,M
Felix A. Gers,2000,M
Jürgen Schmidhuber,2000,M
Jürgen Schmidhuber,1991,M
Teuvo Kohonen,1990,M
Nguyen,1989,F
Widrow,1989,M
Holler,1989,F
Tam,1989,M
Castro,1989,M
Benson,1989,M
Kai Keng Ang,2008,M
Zhang Yang Chin,2008,M
Haihong Zhang,2008,F
Cuntai Guan,2008,M
Tao Xiong,2005,M
Vladimir Cherkassky,2005,M
Samuel J. Lawrence,2000,M
C. Lee Giles,2000,M
Samuel Kaski,1998,M
David R. Nelson,2017,M
Adriano C. M. Pereira,2017,M
Renato Aparecido Negrao De Oliveira,2017,F
Dan Ciresan,2011,M
Ueli Meier,2011,M
Jonathan Masci,2011,M
Jürgen Schmidhuber,2011,M
Sascha Lange,2010,M
Martin Riedmiller,2010,M
Shoujin Wang,2016,M
Wei Liu,2016,M
Jia Wu,2016,F
Longbing Cao,2016,M
Qinxue Meng,2016,F
Paul J. Kennedy,2016,M
Foldiak,1989,M
