Name,Year,Gender
E. Hammerstad,1980,M
O. Jensen,1980,M
Charles H. Goldsmith,2001,M
John C. Ehmke,2001,M
A. Malczewski,2001,F
Brandon W. Pillans,2001,M
S. Eshelman,2001,M
Zhonghua Yao,2001,M
James Brank,2001,M
Matthew D. Eberly,2001,M
Ashwin K. Iyer,2002,M
George V. Eleftheriades,2002,M
Christophe Caloz,2003,M
Tatsuo Itoh,2003,M
H. Miyake,1997,F
Shoichi Kitazawa,1997,M
Takashi Ishizaki,1997,M
Toru Yamada,1997,M
Y. Nagatomi,1997,F
Ulrich Emanuel Gysel,1975,M
Daniel M. Dobkin,2005,M
Steven Weigand,2005,M
Yoshihisa Takayama,1976,M
Ching-Luh Hsu,2005,M
Fu-Chieh Hsu,2005,M
J.F. Kuo,2005,M
Amy Droitcour,2001,M
Victor Lubecke,2001,M
Jiali Lin,2001,F
Olga Boric-Lubecke,2001,M
Kang Li,2005,F
Daisaku Kurita,2005,F
Toshiaki Matsui,2005,M
Charles H. Goldsmith,1996,M
John N. Randall,1996,M
S. Eshelman,1996,M
Tai-Hua Lin,1996,F
D. Denniston,1996,M
S. J. Chen,1996,M
Beth Norvell,1996,F
S. H. Kim,1996,M
Dean P. Neikirk,1996,M
Hiroshi Shigesawa,1988,M
M. Tsjui,1988,M
Arthur A. Oliner,1988,F
S.P. Pacheco,2000,M
Linda P. B. Katehi,2000,F
C. N. Nguyen,2000,M
J.A. Curtis,1991,M
S.J. Fiedziuszko,1991,M
Mitsumasa Iwamoto,2001,M
Alexander T. Williams,2001,M
P.F. Chen,2001,M
A. Metzger,2001,F
Chengzhou Wang,2001,M
Lawrence E. Larson,2001,M
Peter M. Asbeck,2001,M
Yoke-Choy Leong,1999,M
Sander Weinreb,1999,M
Charles H. Goldsmith,1995,M
Tsen-Hwang Lin,1995,M
Billy Powers,1995,M
Wen-Rong Wu,1995,M
Bill R. Norvell,1995,M
S.C. Cripps,1983,M
David K. Lovelace,1994,M
J. Ribamar Costa,1994,M
N. Camilleri,1994,F
Deslandes,2010,F
T. Krems,1996,M
W.H. Haydl,1996,M
