Name,Year,Gender
F. Brglez,1989,M
D. Bryan,1989,M
K. Kozminski,1989,M
Yann LeCun,2010,M
Koray Kavukcuoglu,2010,M
Clement Farabet,2010,M
C.W. Farrow,1988,M
Johannes Schemmel,2010,M
Daniel Briiderle,2010,M
Andreas Griibl,2010,M
Matthias Hock,2010,M
Karlheinz Meier,2010,M
Sebastian Millner,2010,M
L.P.P.P. van Ginneken,1990,M
Lothar Thiele,2000,M
Sudip Chakraborty,2000,M
Martin Naedele,2000,F
Jason N. Laska,2007,F
S. Kirolos,2007,M
M. Teresa Duarte,2007,F
T. Ragheb,2007,M
Richard G. Baraniuk,2007,M
Yehia Massoud,2007,M
Woogeun Rhee,1999,M
Brian P. Ginsburg,2005,M
Anantha P. Chandrakasan,2005,M
"Wong, Kwan-wai, Sammy.",2002,M
Chi-Ying Tsui,2002,F
Roger Shu Kwan Cheng,2002,M
Wai Ho Mow,2002,M
T.C. Weigandt,1994,M
Beomsup Kim,1994,M
Paul R. Gray,1994,M
Jerry Hughes,1989,M
Neil C. Bird,1989,M
I.C. Macbeth,1989,F
Leon O. Chua,1988,M
L. Yang,1988,M
Johan A. K. Suykens,2000,M
L. Lukas,2000,M
Joos Vandewalle,2000,M
Reid R. Harrison,2007,M
Byung-Do Yang,2007,M
Jae-Eun Lee,2007,F
Jangsu Kim,2007,F
Junghyun Cho,2007,M
Seung-Yun Lee,2007,F
Byoung-Gon Yu,2007,M
Lang Tong,1990,M
V.C. Soon,1990,M
Y. Huang,1990,M
Ru-Shi Liu,1990,F
Clement Farabet,2010,M
Berin Martini,2010,F
Polina Akselrod,2010,M
S. Talay,2010,M
Yann LeCun,2010,M
Eugenio Culurciello,2010,M
James Llinas,1998,M
D. Hall,1998,M
Hisham Abdalla,2011,M
Matthew D. Pickett,2011,M
Chunhua Chen,2008,F
Yuankai Shi,2008,F
Tobi Delbruck,2010,M
Bernabe Linares-Barranco,2010,M
Eugenio Culurciello,2010,M
Christoph Posch,2010,M
Saket Srivastava,2011,M
Arjun Asthana,2011,F
Sanjukta Bhanja,2011,F
Sudeep Sarkar,2011,M
Giacomo Indiveri,2003,F
Eric A. Vittoz,1990,M
Partha Pratim Pande,2003,M
C. Grecu,2003,M
Andrew Ivanov,2003,M
Resve A. Saleh,2003,F
Tobi Delbruck,1994,M
Carver A. Mead,1994,M
Jui-Cheng,2000,M
Jiun-In Guo,2000,M
Xiaomin Chen,2002,F
Sayfe Kiaei,2002,M
Raffaele Parisi,1998,F
E.D. Di Claudio,1998,M
G. Lucarelli,1998,M
G. Orlandi,1998,M
Shujun Li,2002,F
Xuan Zheng,2002,M
R.B. Deokar,1994,M
Sachin S. Sapatnekar,1994,M
Wei Han,2006,M
Cheong-Fat Chan,2006,M
Chiu-Sing Choy,2006,M
Kong-Pang Pun,2006,M
Youngsik Hur,2006,M
Jong-Kyu Park,2006,M
Wai Lok Woo,2006,M
K. E. Lim,2006,M
Chun-Sing Lee,2006,M
Hyun-Chul Kim,2006,M
J. Laskar,2006,M
Jacek M. Zurada,1994,M
Aleksander Malinowski,1994,M
Ian Cloete,1994,F
Jaime Ramirez-Angulo,2002,M
Ramon G. Carvajal,2002,M
Antonio Torralba,2002,M
Javier Galan,2002,M
A.P. Vega-Leal,2002,F
J. Tombs,2002,M
Christian Enz,1996,M
Eric A. Vittoz,1996,M
M. Wenk,2006,M
Martin Zellweger,2006,M
Andreas Burg,2006,M
Norbert Felber,2006,M
Wolfgang Fichtner,2006,M
Yining Deng,1999,M
Charles Kenney,1999,M
M.S. Moore,1999,M
B.S. Manjunath,1999,M
Mohamad Kachuee,2015,M
Mohammad F. Kiani,2015,M
Hoda Mohammadzade,2015,F
Mahdi Shabany,2015,M
Thitiporn Chanwimaluang,2003,F
Guoliang Fan,2003,M
Yajuan He,2005,M
Chip-Hong Chang,2005,M
Jiangmin Gu,2005,M
T.C. Leslie,1990,F
Baljinder Singh,1990,M
Beomsup Kim,1994,M
Todd Weigandt,1994,M
Paul R. Gray,1994,M
Shih-Ta Hsiang,2000,F
James H. Woods,2000,M
Weerakorn Ongsakul,2005,M
P. Jirapong,2005,M
Hirotaka Sawada,2007,M
Shukuro Araki,2007,M
Shoji Makino,2007,M
Ljupco Kocarev,2003,M
Zarko Tasev,2003,M
S. Brigati,1999,M
F. Francesconi,1999,F
