Name,Year,Gender
Lee Freitag,2005,F
Martin Grund,2005,M
S. K. Singh,2005,M
Jim Partan,2005,M
Peter Koski,2005,M
Keenan Ball,2005,M
Milica Stojanovic,2006,F
Donald E. Barrick,1972,M
Justin Manley,2008,M
Charles E. Thorpe,1984,M
Larry Matthies,1984,M
Peng Xie,2009,M
Zhong Zhou,2009,M
Zheng Peng,2009,M
Hai Yan,2009,M
Tiansi Hu,2009,M
Jun-Hong Cui,2009,M
Zhijie Shi,2009,F
Yunsi Fei,2009,F
Shengli Zhou,2009,F
Volkan Rodoplu,2005,M
Min S. Park,2005,M
M. Kocic,1995,M
David J. Brady,1995,M
Milan Stojanovic,1995,M
Musa Morena Marcusso Manhaes,2016,F
Sebastian Scherer,2016,M
Martin H. Voss,2016,M
Luiz Ricardo Douat,2016,M
Thomas Rauschenbach,2016,M
B. Allen,1997,M
R. Stokey,1997,M
T. Austin,1997,M
Forrester Ned C,1997,M
R. Goldsborough,1997,M
M. Purcell,1997,M
C. von Alt,1997,M
J. Curcio,2005,M
John J. Leonard,2005,M
A. Patrikalakis,2005,F
F. Salva-Garau,2003,M
Milan Stojanovic,2003,M
James Evans,2003,M
Paul Redmond,2003,M
Costas Plakas,2003,M
K. Hamilton,2003,M
David A. Lane,2003,F
Mandar Chitre,2008,M
Shiraz Shahabudeen,2008,M
Lee Freitag,2008,F
Milica Stojanovic,2008,F
B. Allen,2006,M
T. Austin,2006,M
Forrester Ned C,2006,M
R. Goldsborough,2006,M
A. Kukulya,2006,F
G. Packard,2006,M
M. Purcell,2006,M
R. Stokey,2006,M
N. Fair,2005,M
Alan D. Chave,2005,M
Lee Freitag,2005,F
James C. Preisig,2005,M
S. N. White,2005,M
Dana R. Yoerger,2005,M
Frederick Sonnichsen,2005,M
M.B. Larsen,2000,M
Baosheng Li,2006,F
Shengli Zhou,2006,F
Milica Stojanovic,2006,F
Lee Freitag,2006,F
Riccardo Masiero,2012,M
Saiful Azad,2012,M
Federico Favaro,2012,M
Matteo Petrani,2012,M
Giovanni Toso,2012,M
Federico Guerra,2012,M
Paolo Casari,2012,M
Michele Zorzi,2012,F
José Carlos Pinto,2013,M
Paulo Dias,2013,M
Ricardo Silveira Martins,2013,M
João Fortuna,2013,F
Eduardo Marques,2013,M
João M. C. Sousa,2013,M
Eric Gallimore,2010,M
Jim Partan,2010,M
Ian Vaughn,2010,M
Sandipa Singh,2010,M
Jon Shusta,2010,F
Lee Freitag,2010,F
Morten Breivik,2004,M
Thor I. Fossen,2004,M
Antonio M. Pascoal,2000,M
Pedro Oliveira,2000,F
C. Silvestre,2000,M
L. Sebastiao,2000,M
Margarita Rufino,2000,F
Victor Barroso,2000,M
José R. B. Gomes,2000,M
G. Ayela,2000,F
P. Coince,2000,M
M. Cardew,2000,M
Anthony J. Ryan,2000,M
H. Braithwaite,2000,M
N. Cardew,2000,M
J. Trepte,2000,M
N. Seube,2000,M
Joël Champeau,2000,M
Philippe Dhaussy,2000,M
V. Sauce,2000,M
R. Moitie,2000,F
Renato L. Santos,2000,M
Frederico Cardigos,2000,M
M. Brussieux,2000,M
Paul R. Dando,2000,M
Mandar Chitre,2004,M
John F. Potter,2004,M
O.S. Heng,2004,M
J. E. Rice,2000,M
B. Creber,2000,M
Christopher D.M. Fletcher,2000,M
Paul A. Baxley,2000,F
Keith Rogers,2000,M
K. T. McDonald,2000,M
D. L. Rees,2000,M
Matthias Wolf,2000,M
S Merriam,2000,F
Rami Mehio,2000,F
John G. Proakis,2000,M
K.F. Scussel,2000,M
David J. Porta,2000,M
J. B. H. Baker,2000,M
Jill M. Hardiman,2000,M
Dan Green,2000,M
J. Curcio,2005,M
John J. Leonard,2005,M
J. Vaganay,2005,M
A. Patrikalakis,2005,F
André Bahr,2005,M
D Battle,2005,M
Hans Rudolf Schmidt,2005,M
M. Grund,2005,M
Roger Skjetne,2001,F
Thor I. Fossen,2001,M
Mandar Chitre,2005,M
Sim Heng Ong,2005,M
John F. Potter,2005,M
S. Cowen,1997,M
S. Briest,1997,M
J. Dombrowski,1997,M
R. F. Naranjo Garcia,2002,M
Tudor Nicosevici,2002,F
Xavier Cufí,2002,M
R. Stokey,2005,M
A. Roup,2005,F
C. von Alt,2005,M
B. Allen,2005,M
Forrester Ned C,2005,M
T. Austin,2005,M
R. Goldsborough,2005,M
M. Purcell,2005,M
Frederic Jaffre,2005,M
G. Packard,2005,M
A. Kukulya,2005,F
John J. Sojdehei,2001,M
Paul N. Wrathall,2001,M
