Name,Year,Gender
Jack Kennedy,1997,M
Russell C. Eberhart,1997,M
Rodney A. Brooks,1983,F
Nikunj C. Oza,2005,M
F. Lau,2000,M
Stuart H. Rubin,2000,M
M.H. Smith,2000,M
Ljiljana Trajkovic,2000,M
Du Mingxiao,2017,M
Ma Xiaofeng,2017,F
Zhang Zhe,2017,M
Wang Xiangwei,2017,M
Chen Qijun,2017,M
Timothy J. Vogus,2007,M
Kathleen M. Sutcliffe,2007,F
Andre Gensler,2016,M
Janosch Henze,2016,M
Bernhard Sick,2016,M
Nils Raabe,2016,M
D. Engels,2002,M
Sanjay E. Sarma,2002,F
Alessandro Giua,1992,M
Frank DiCesare,1992,M
M. L. Gonzalez Silva,1992,M
Harald Vogt,2002,M
Georg Frey,2000,M
Lothar Litz,2000,M
Hitoshi Kawamoto,2003,M
Suwoong Lee,2003,F
S. Kanbe,2003,M
Yoshiyuki Sankai,2003,M
Haruhisa Kitano,1999,M
Satoshi Tadokoro,1999,M
Itsuki Noda,1999,F
Hiroshi Matsubara,1999,F
Tadayuki Takahashi,1999,M
Ayano Shinjou,1999,F
Shiro Shimada,1999,F
F. van den Bergh,2002,M
Andries P. Engelbrecht,2002,M
Danijela Vukadinovic,2005,M
Maja Pantic,2005,M
Jani Mäntyjärvi,2001,F
Johan Himberg,2001,M
Tapio Seppänen,2001,M
Holly A. Yanco,2004,F
Jill L. Drury,2004,M
Yuqing Chen,2015,F
Yang Xue,2015,M
Kashif Iqbal,2010,M
M.O. Odetayo,2010,M
Anne James,2010,M
Rosalina Abdul Salam,2010,F
Abdullah Zawawi Talib,2010,M
Zhenyu He,2009,F
Lianwen Jin,2009,F
Dipankar Dasgupta,1997,M
Nii Attoh-Okine,1997,M
T.L. Brooks,1990,M
Jessica Fridrich,1997,F
Ronald M. Pickett,1988,M
Georges Grinstein,1988,M
Mehmet Ergezer,2009,M
Dan Simon,2009,M
Dawei Du,2009,M
Jill L. Drury,2003,M
Jean Scholtz,2003,M
Holly A. Yanco,2003,F
Anil K. Jain,1990,M
Farshid Farrokhnia,1990,F
Yang Cheng,2005,M
Mark Maimone,2005,F
Larry Matthies,2005,M
Ching-Ping Wong,2002,M
Panos M. Pardalos,2002,M
Aznifa Mahyam Zaharudin,2002,F
Vivek Agarwal,2002,M
Jacob W. Crandall,2001,M
Michael A. Goodrich,2001,M
Zvi Boger,1997,M
H. Guterman,1997,M
Ludmila I. Kuncheva,2004,F
Stefan Hadjitodorov,2004,M
Jun Sun,2005,F
Wenbo Xu,2005,F
Shengyu Xu,2005,F
Christian Vogler,1997,M
Dimitris N. Metaxas,1997,M
Wen-Jun Zhang,2003,M
Xiao-Feng Xie,2003,F
D.D. Cox,1992,M
S. John,1992,M
Peng Ning,2003,M
Kun Sun,2003,F
Dawei Du,2009,M
Dan Simon,2009,M
Mehmet Ergezer,2009,M
Thorsten Holz,2005,M
F. Raynal,2005,M
Dominic Greenwood,2004,M
Monique Calisti,2004,F
N.N. Karnik,1998,M
Jerry M. Mendel,1998,M
A. Helsinger,2004,F
Margot Thome,2004,F
T. Wright,2004,M
Chunkai Zhang,2000,M
Huihe Shao,2000,M
Yu You Li,2000,F
Hisao Ishibuchi,2009,M
Yuji Sakane,2009,F
Noritaka Tsukamoto,2009,M
Yusuke Nojima,2009,M
Christopher D. Wickens,1992,M
Masaaki Tanaka,1995,M
Hiroshi Watanabe,1995,M
Yoshio Furukawa,1995,M
Tetsuzo Tanino,1995,M
Hitoshi Kawamoto,2002,M
Yoshiyuki Sankai,2002,M
Sinan Kockara,2007,F
Tansel Halic,2007,M
Khalid Iqbal,2007,M
Coskun Bayrak,2007,M
Richard Rowe,2007,M
Marian Stewart Bartlett,2004,M
Gwen Littlewort,2004,M
Claudia Lainscsek,2004,F
Ian Fasel,2004,M
Javier R. Movellan,2004,M
Kazunori Nagasaka,1999,M
Hiroshi Inoue,1999,M
Motoi Inaba,1999,F
M. Brownfield,2005,M
Yatharth Gupta,2005,M
N. Davis,2005,M
Huaglory Tianfield,2012,M
Holly A. Yanco,2004,F
Jill L. Drury,2004,M
Toshimitsu Ushio,1998,M
I. Onishi,1998,F
Kunio Okuda,1998,F
D. Welch,2003,M
S. Lathrop,2003,M
Michael E. Locasto,2005,M
Janak Parekh,2005,M
Angelos D. Keromytis,2005,M
Salvatore J. Stolfo,2005,M
Mei Yu,2000,F
Yong Jin Kim,2000,M
Rick Rarick,2009,M
Dan Simon,2009,M
F. Eugenio Villaseca,2009,F
Bharat Vyakaranam,2009,M
Daniel Billings,2006,M
Jiann-Shiou Yang,2006,F
M. Baranski,2004,M
J. Voss,2004,M
John G. Levine,2003,M
R. Labella,2003,F
Hywel Owen,2003,M
Didier Contis,2003,M
B. Culver,2003,M
Beat Wüthrich,1998,M
Vincent Cho,1998,M
Sumie Leung,1998,F
D. Permunetilleke,1998,F
K. Sankaran,1998,M
Jie Zhang,1998,F
Hatice Gunes,2005,F
Massimo Piccardi,2005,M
Raghavendra V. Kulkarni,2009,M
Ganesh K. Venayagamoorthy,2009,M
Maggie X. Cheng,2009,F
Ninh Nguyen,2003,F
Peter Reiher,2003,M
Geoff Kuenning,2003,M
R.A. Lindemann,2005,F
C.J. Voorhees,2005,M
Luca Tonin,2010,M
Robert Leeb,2010,M
Michele Tavella,2010,F
Serafeim Perdikis,2010,M
José del R. Millán,2010,M
Dipankar Dasgupta,1997,M
Hans Hegt,1998,M
R. J. De La Haye,1998,F
N.A. Khan,1998,M
Dan Simon,2009,M
Mehmet Ergezer,2009,M
Dawei Du,2009,M
Yaneer Bar-Yam,2003,M
Ulysse Côté-Allard,2017,M
Cheikh Latyr Fall,2017,M
Alexandre Campeau-Lecours,2017,M
Clément Gosselin,2017,M
François Laviolette,2017,F
Benoit Gosselin,2017,M
G. Canet,2000,F
S. Couffin,2000,M
Jean-Jacques Lesage,2000,M
Antoine Petit,2000,M
Ph. Schnoebelen,2000,M
Alexander Kosorukoff,2001,M
Taeshik Shon,2005,M
Min-Hye Kim,2005,F
Cheol-Won Lee,2005,M
Jongsub Moon,2005,M
Sojeong Ha,2015,F
Jeong-Min Yun,2015,F
Seungjin Choi,2015,M
Akira Hiraiwa,1989,F
Katsunori Shimohara,1989,M
Yo Tokunaga,1989,F
W. J. Li,2005,M
Ke Wang,2005,M
Salvatore J. Stolfo,2005,M
B. Herzog,2005,M
Guillaume Chanel,2007,M
Karim Ansari-Asl,2007,F
Thierry Pun,2007,M
Yuenan Hou,2017,M
Lifeng Liu,2017,M
Qing Wei,2017,M
Xudong Xu,2017,M
Chunlin Chen,2017,M
Brian P. Bailey,2000,M
Joseph A. Konstan,2000,F
John V. Carlis,2000,M
Xiyuan Hou,2015,M
Yisi Liu,2015,F
Olga Sourina,2015,F
Yun Long Tan,2015,M
Lipo Wang,2015,M
Wolfgang Mueller-Wittig,2015,M
Michael A. Goodrich,2003,M
Dan R. Olsen,2003,M
D.G. Caldwell,1993,M
Gustavo A. Medrano-Cerda,1993,F
M. Goodwin,1993,M
Michel Valstar,2004,M
Maja Pantic,2004,M
Ioannis Patras,2004,M
A. Karim Ahmed,2005,F
Issa Traore,2005,M
M. Baker,2004,M
R. Casey,2004,M
Brenden Keyes,2004,M
Holly A. Yanco,2004,F
Qixin Wang,2006,M
Wook Shin,2006,M
Xue Liu,2006,F
Zheng Zeng,2006,M
Cham Oh,2006,M
Bedoor K. AlShebli,2006,F
Marco Caccamo,2006,M
Carl A. Gunter,2006,M
Elsa L. Gunter,2006,F
Jennifer C. Hou,2006,F
Karrie Karahalios,2006,F
Lui Sha,2006,F
T. A. Shibata,1997,F
Michitoshi Yoshida,1997,F
Junji Yamato,1997,M
Anand J. Kulkarni,2013,M
Ishan Durugkar,2013,M
Mrinal Kumar,2013,M
Wang Wei-Ning,2006,M
Yu Yinglin,2006,F
Jiang Sheng-ming,2006,M
Zhang Yun-peng,2009,M
Liu Wei,2009,M
Cao Shui-ping,2009,F
Zhai Zheng-jun,2009,M
Nie Xuan,2009,F
